"metric","value"
"source_gpkg","C:/tmp/landskapsanalys-v1-bornholm/data/processed/landskapsanalys_bornholm.gpkg"
"source_layer","bornholm_karta_linjer__landskapstyper_bornholm_kopia"
"source_crs","SWEREF99 TM"
"processing_crs","EPSG:25833"
"source_features","7"
"source_landscape_types","5"
"h3_r10_candidate_hex","47110"
"h3_r10_classified_hex","47110"
"app_geojson_hex","47110"
"dominant_review_flags","771"
"output_gpkg","C:/tmp/landskapsanalys-v1-bornholm/data/processed/bornholm/lablab_landscape_h3/bornholm_lablab_landscape_r10_review.gpkg"
"app_geojson","C:/tmp/landskapsanalys-v1-bornholm/data/processed/bornholm/lablab_landscape_h3/bornholm_lablab_landscape_r10_app.geojson"
