"type_id","source_hex","sample_note","class_value","type_name"
"LT01","#8DB5BD","legend / light coastal blue",1,"Klippigt kustlandskap"
"LT01","#416B74","coastal blue mixed with dark orthophoto",1,"Klippigt kustlandskap"
"LT01","#426C77","coastal blue mixed with dark orthophoto",1,"Klippigt kustlandskap"
"LT02","#C0BE8E","legend / sand coast",2,"Sandigt kustlandskap"
"LT02","#BDBB8B","sand coast mixed with orthophoto",2,"Sandigt kustlandskap"
"LT02","#A5A5A5","grey sand/coastal mixed tone",2,"Sandigt kustlandskap"
"LT03","#A58B75","legend / agricultural fracture valley",3,"Jordbruksdominerat sprickdalslandskap"
"LT03","#A28872","agricultural fracture valley mixed tone",3,"Jordbruksdominerat sprickdalslandskap"
"LT03","#83735F","darker agricultural mixed tone",3,"Jordbruksdominerat sprickdalslandskap"
"LT04","#94AF9C","legend / forested fracture valley",4,"Skogsklätt sprickdalslandskap"
"LT04","#507258","forested fracture valley mixed tone",4,"Skogsklätt sprickdalslandskap"
"LT04","#53755B","forested fracture valley mixed tone",4,"Skogsklätt sprickdalslandskap"
"LT05","#E2E5BD","legend / open plain agriculture",5,"Slätt- och jordbrukslandskap"
"LT05","#C3C191","open plain agriculture mixed tone",5,"Slätt- och jordbrukslandskap"
"LT05","#A0A87A","darker open plain mixed tone",5,"Slätt- och jordbrukslandskap"
