layer_id,layer_key,label,group_id,source_path,source_exists,geometry_family,feature_count,geojson_path,distance_path,analysis_rds_path,analysis_base_buffer_m,status,message
population_points,fastboendebefolkningmapinfo,Population points,settlement,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Inkommande_SL01/IN_Bornholm_SL01/DATAKÄLLA_INNEHÅLL_BOL_SL01/Bornholms_Regionskommune-BRK_(Anka-Nordvig-Sonne)/FastboendeBefolkningMapInfo/FastboendeBefolkningMapInfo.TAB,TRUE,point,38954,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/population_points.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/population_points.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/population_points.rds,100,ok,
buildings_low,buildings_low_gd_v_buildings_low_bol_33,Buildings Low,settlement,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Buildings-Low_BOL_33.shp,TRUE,polygon,3966,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/buildings_low.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/buildings_low.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/buildings_low.rds,0,ok,
buildings_high,buildings_high_gd_v_buildings_high_bol_33,Buildings High,settlement,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Buildings-High_BOL_33.shp,TRUE,polygon,5,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/buildings_high.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/buildings_high.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/buildings_high.rds,0,ok,
built_centre,built_centre_gd_v_bykerne_built_centre_bol_33,Built Centre,settlement,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Bykerne-Built-Centre_BOL_33.shp,TRUE,polygon,3,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/built_centre.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/built_centre.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/built_centre.rds,0,ok,
built_low_selection,built_low_gd_v_buildings_low_selection_by_bol_33,Built - Low (Selection),settlement,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Buildings-Low_Selection-BY_BOL_33.shp,TRUE,polygon,254,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/built_low_selection.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/built_low_selection.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/built_low_selection.rds,0,ok,
roads_small,roads_simplified_gd_v_vej_road_merged_bol_33,Small roads,transport,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Vej-Road_Merged_BOL_33.shp,TRUE,empty,0,NA,NA,NA,0,empty_after_filter,"No features found after applying filter vejkategor -> small, then clipping to Bornholm landmass."
roads_medium,roads_simplified_gd_v_vej_road_merged_bol_33,Medium roads,transport,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Vej-Road_Merged_BOL_33.shp,TRUE,line,1,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/roads_medium.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/roads_medium.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/roads_medium.rds,0,ok,
roads_large,roads_simplified_gd_v_vej_road_merged_bol_33,Large roads,transport,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Basmap_BOR/GD-V_Vej-Road_Merged_BOL_33.shp,TRUE,line,1,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/roads_large.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/roads_large.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/roads_large.rds,0,ok,
high_voltage_lines,high_voltage_line_osm_high_voltage_line_jf_181224_bor,High-voltage lines,electrical,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Protected-Areas_BOR/OSM_high-voltage-line_JF-181224_BOR.shp,TRUE,line,14,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/high_voltage_lines.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/high_voltage_lines.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/high_voltage_lines.rds,0,ok,
underground_cables,underground_cable_osm_underground_cable_land_jf_181224_bor,Underground cables,electrical,C:/gislab/data/dataraw/SL01_from_usb/Geodatakatalog_SL01/Utkommande_SL01/UT_Bornholm_SL01/Energy_BOR/OSM_Underground-cable-land_JF-181224_BOR.shp,TRUE,line,18,docs/geocontext/acceptance_framework/data/prototype_assets/source_geojson/underground_cables.geojson,docs/geocontext/acceptance_framework/data/prototype_assets/distance_tables/underground_cables.csv,docs/geocontext/acceptance_framework/data/prototype_assets/analysis_rds/underground_cables.rds,0,ok,
