hex_id,distance_m,intersects
891f0c9a673ffff,357.9,FALSE
891f2a72b57ffff,742.6,FALSE
891f0c995cfffff,1157.4,FALSE
891f2a6c993ffff,1234.6,FALSE
891f2a70a0fffff,193.8,FALSE
891f2a75b2fffff,16.4,TRUE
891f2a6060bffff,137.4,TRUE
891f2a74a8bffff,139.7,TRUE
891f2a64687ffff,50.9,TRUE
891f0c9b503ffff,83.9,TRUE
891f2a6e8c7ffff,117.1,TRUE
891f2a72943ffff,780.7,FALSE
891f2a665bbffff,569.3,FALSE
891f2a7591bffff,153.2,TRUE
891f2a65517ffff,360.5,FALSE
891f2a74877ffff,39.3,TRUE
891f2a64473ffff,206,FALSE
891f2a6e6b3ffff,109.9,TRUE
891f2a633cfffff,1129.2,FALSE
891f0c9a24bffff,153.5,TRUE
891f2a6232bffff,45.2,TRUE
891f2a6744bffff,227.5,FALSE
891f2a663a7ffff,111.1,TRUE
891f2a65303ffff,65.9,TRUE
891f2a74663ffff,243.7,FALSE
891f0c9b0dbffff,82.1,TRUE
891f2a631bbffff,88,TRUE
891f0c9a037ffff,1120.9,FALSE
891f2a7763bffff,115.3,TRUE
891f2a62117ffff,42.1,TRUE
891f2a67237ffff,35.7,TRUE
891f2a0dd2bffff,1080.4,FALSE
891f2a66193ffff,40.4,TRUE
891f2a7444fffff,173.4,FALSE
891f2a6404bffff,166.5,TRUE
891f2a77427ffff,83.4,TRUE
891f2a67023ffff,371.9,FALSE
891f2a0db17ffff,82.8,TRUE
891f2a64edbffff,117.2,TRUE
891f2a7423bffff,142.5,TRUE
891f2a6e077ffff,96.7,TRUE
891f2a62d93ffff,275.2,FALSE
891f2a77213ffff,0,TRUE
891f2a66e0fffff,98.8,TRUE
891f2a0d903ffff,514.1,FALSE
891f2a60c4bffff,228.9,FALSE
891f2a65d6bffff,64,TRUE
891f2a750cbffff,140.1,TRUE
891f2a64cc7ffff,0,TRUE
891f2a74027ffff,296.8,FALSE
891f2a60a37ffff,0,TRUE
891f2a65b57ffff,136.5,TRUE
891f2a74eb7ffff,770.9,FALSE
891f2a64ab3ffff,653.2,FALSE
891f2a6296bffff,159.9,TRUE
891f2a618c7ffff,302.9,FALSE
891f0c93623ffff,526.5,FALSE
891f2a70c27ffff,19.7,TRUE
891f2a75d47ffff,156,TRUE
891f2a60823ffff,108.8,TRUE
891f2a65943ffff,15.3,TRUE
891f0c9a677ffff,132.3,TRUE
891f2a72b5bffff,1005,FALSE
891f2a6c997ffff,1304.1,FALSE
891f0c995d3ffff,550.2,FALSE
891f2a70a13ffff,557.8,FALSE
891f2a75b33ffff,207.6,FALSE
891f2a6060fffff,0,TRUE
891f2a74a8fffff,85.9,TRUE
891f2a6468bffff,595.7,FALSE
891f0c9b507ffff,153.3,TRUE
891f2a6e8cbffff,151.4,TRUE
891f0c9a463ffff,130.6,TRUE
891f2a72947ffff,537.9,FALSE
891f2a62543ffff,142.2,TRUE
891f2a67663ffff,576.7,FALSE
891f2a6551bffff,483.4,FALSE
891f2a7487bffff,0,TRUE
891f2a64477ffff,200.4,FALSE
891f2a6e6b7ffff,15.5,TRUE
891f0c9a24fffff,166.1,TRUE
891f2a6232fffff,21.5,TRUE
891f2a6744fffff,261.5,FALSE
891f2a663abffff,52.6,TRUE
891f2a65307ffff,116.9,TRUE
891f2a74667ffff,127.4,TRUE
891f2a64263ffff,1107.3,FALSE
891f2a6e4a3ffff,147.9,TRUE
891f0c9a03bffff,832.6,FALSE
891f2a6211bffff,247.5,FALSE
891f2a6723bffff,109.7,TRUE
891f2a66197ffff,36.1,TRUE
891f2a74453ffff,62.5,TRUE
891f2a6404fffff,109.6,TRUE
891f2a7742bffff,135.5,TRUE
891f2a67027ffff,599.7,FALSE
891f2a0db1bffff,294.4,FALSE
891f2a60e63ffff,207.6,FALSE
891f2a6e07bffff,354.9,FALSE
891f2a62d97ffff,186.1,FALSE
891f2a77217ffff,126.4,TRUE
891f2a66e13ffff,77.8,TRUE
891f2a0d907ffff,730.1,FALSE
891f2a60c4fffff,57,TRUE
891f2a65d6fffff,260.7,FALSE
891f2a750cfffff,89.6,TRUE
891f2a64ccbffff,139.4,TRUE
891f2a7402bffff,0.6,TRUE
891f2a62b83ffff,115.8,TRUE
891f2a6cdc3ffff,161.8,TRUE
891f2a77003ffff,166.6,TRUE
891f2a60a3bffff,194.8,FALSE
891f2a65b5bffff,118.8,TRUE
891f2a74ebbffff,551.4,FALSE
891f2a64ab7ffff,342.1,FALSE
891f2a6296fffff,318.8,FALSE
891f2a618cbffff,826.2,FALSE
891f0c93627ffff,832.7,FALSE
891f2a70c2bffff,35.1,TRUE
891f2a75d4bffff,48.5,TRUE
891f2a60827ffff,244.6,FALSE
891f2a65947ffff,50.2,TRUE
891f2a648a3ffff,94.4,TRUE
891f0c9a67bffff,221.1,FALSE
891f2a6c99bffff,1458.7,FALSE
891f0c995d7ffff,739.4,FALSE
891f2a70a17ffff,223.3,FALSE
891f2a75b37ffff,76,TRUE
891f2a60613ffff,0,TRUE
891f2a74a93ffff,239.4,FALSE
891f2a6468fffff,307.6,FALSE
891f2a6e8cfffff,22.7,TRUE
891f0c9b50bffff,130.8,TRUE
891f0c9a467ffff,0,TRUE
891f2a7294bffff,823.2,FALSE
891f2a62547ffff,143.5,TRUE
891f2a67667ffff,695,FALSE
891f2a614a3ffff,1500.3,FALSE
891f2a665c3ffff,56.6,TRUE
891f2a70803ffff,180.5,FALSE
891f2a75923ffff,82.8,TRUE
891f2a6447bffff,166.2,FALSE
891f2a6e6bbffff,70.6,TRUE
891f2a633d7ffff,1096.9,FALSE
891f0c9a253ffff,181.4,FALSE
891f2a62333ffff,219.6,FALSE
891f2a67453ffff,166.4,FALSE
891f2a663afffff,92.8,TRUE
891f2a6530bffff,169.9,TRUE
891f2a7466bffff,369.9,FALSE
891f2a64267ffff,984.8,FALSE
891f2a6e4a7ffff,98.3,TRUE
891f2a631c3ffff,866,FALSE
891f2a77643ffff,171.9,FALSE
891f2a6619bffff,149.2,TRUE
891f2a74457ffff,93.3,TRUE
891f2a64053ffff,197,FALSE
891f2a6e293ffff,1053,FALSE
891f2a7742fffff,33.8,TRUE
891f2a6702bffff,590.2,FALSE
891f2a60e67ffff,0,TRUE
891f2a74243ffff,354.9,FALSE
891f2a62d9bffff,169.4,TRUE
891f2a7721bffff,45.7,TRUE
891f2a66e17ffff,47,TRUE
891f2a0d90bffff,202.2,FALSE
891f2a60c53ffff,188.6,FALSE
891f2a65d73ffff,130.8,TRUE
891f2a750d3ffff,293.9,FALSE
891f2a64ccfffff,74.3,TRUE
891f2a7402fffff,179.1,FALSE
891f2a62b87ffff,66.3,TRUE
891f2a6cdc7ffff,195.3,FALSE
891f2a77007ffff,243.1,FALSE
891f2a66c03ffff,735.7,FALSE
891f2a64abbffff,576.8,FALSE
891f2a62973ffff,106.3,TRUE
891f2a618cfffff,488.3,FALSE
891f0c9362bffff,262.1,FALSE
891f2a70c2fffff,30,TRUE
891f2a75d4fffff,177,FALSE
891f2a6082bffff,115.7,TRUE
891f2a6594bffff,125.6,TRUE
891f2a648a7ffff,312.3,FALSE
891f2a72b63ffff,89.7,TRUE
891f0c995dbffff,673.7,FALSE
891f2a70a1bffff,695.6,FALSE
891f2a75b3bffff,51.1,TRUE
891f2a60617ffff,0,TRUE
891f2a74a97ffff,102.9,TRUE
891f2a64693ffff,578.7,FALSE
891f0c9b50fffff,178.4,FALSE
891f2a6e8d3ffff,182.1,TRUE
891f0c9a46bffff,51.3,TRUE
891f2a7294fffff,507,FALSE
891f2a6254bffff,116.5,TRUE
891f2a6766bffff,338.2,FALSE
891f2a614a7ffff,1190.6,FALSE
891f0c93203ffff,964.2,FALSE
891f2a665c7ffff,193.3,FALSE
891f2a70807ffff,239.8,FALSE
891f2a75927ffff,73.2,TRUE
891f2a60403ffff,161.6,TRUE
891f2a65523ffff,345.3,FALSE
891f2a74883ffff,381,FALSE
891f0c9a257ffff,195.7,FALSE
891f2a62337ffff,59.2,TRUE
891f2a67457ffff,297.5,FALSE
891f2a663b3ffff,91.4,TRUE
891f2a6530fffff,6.8,TRUE
891f2a7466fffff,104.4,TRUE
891f2a6426bffff,817.9,FALSE
891f2a6e4abffff,205,FALSE
891f2a631c7ffff,530.2,FALSE
891f0c9a043ffff,211,FALSE
891f2a77647ffff,6.4,TRUE
891f2a62123ffff,83,TRUE
891f2a67243ffff,227.2,FALSE
891f2a7445bffff,189.1,FALSE
891f2a64057ffff,0,TRUE
891f2a6e297ffff,870.8,FALSE
891f2a2920bffff,1138.7,FALSE
891f2a77433ffff,168.8,TRUE
891f2a6702fffff,676.3,FALSE
891f2a0db23ffff,130.8,TRUE
891f2a60e6bffff,36.3,TRUE
891f2a74247ffff,16.6,TRUE
891f2a6e083ffff,309.8,FALSE
891f2a66e1bffff,311.3,FALSE
891f2a0d90fffff,429.3,FALSE
891f2a60c57ffff,221.6,FALSE
891f2a65d77ffff,73,TRUE
891f2a750d7ffff,148.5,TRUE
891f2a64cd3ffff,0,TRUE
891f2a74033ffff,107.7,TRUE
891f2a62b8bffff,35.6,TRUE
891f2a6cdcbffff,370.9,FALSE
891f2a7700bffff,109.1,TRUE
891f2a66c07ffff,949.2,FALSE
891f2a60a43ffff,62.6,TRUE
891f2a65b63ffff,0,TRUE
891f2a74ec3ffff,43.4,TRUE
891f2a62977ffff,45.5,TRUE
891f2a618d3ffff,791.2,FALSE
891f0c9362fffff,600.6,FALSE
891f2a70c33ffff,212,FALSE
891f2a75d53ffff,310.1,FALSE
891f2a6082fffff,189.3,FALSE
891f2a6594fffff,36,TRUE
891f2a648abffff,151.1,TRUE
891f0c9a683ffff,54.2,TRUE
891f2a72b67ffff,9.5,TRUE
891f2a6c9a3ffff,1749,FALSE
891f2a6061bffff,3.3,TRUE
891f2a74a9bffff,55.1,TRUE
891f2a64697ffff,262.9,FALSE
891f0c9b513ffff,152.7,TRUE
891f2a6e8d7ffff,109.1,TRUE
891f0c9a46fffff,74.9,TRUE
891f2a72953ffff,1070.3,FALSE
891f2a6254fffff,152.4,TRUE
891f2a6766fffff,375.6,FALSE
891f2a614abffff,1774.3,FALSE
891f2a665cbffff,181.4,TRUE
891f2a7080bffff,243.7,FALSE
891f2a7592bffff,181.5,FALSE
891f2a60407ffff,215.5,FALSE
891f2a65527ffff,670.1,FALSE
891f2a74887ffff,625.8,FALSE
891f2a64483ffff,14.4,TRUE
891f2a6e6c3ffff,547.6,FALSE
891f0c9a25bffff,350.5,FALSE
891f2a6233bffff,15.2,TRUE
891f2a6745bffff,80.4,TRUE
891f2a663b7ffff,71.2,TRUE
891f2a65313ffff,65.9,TRUE
891f2a74673ffff,266.1,FALSE
