hex_id,distance_m,intersects
891f0c9a673ffff,476.4,FALSE
891f2a72b57ffff,781.1,FALSE
891f0c995cfffff,1242.4,FALSE
891f2a6c993ffff,1557.2,FALSE
891f2a70a0fffff,238.6,FALSE
891f2a75b2fffff,537.1,FALSE
891f2a6060bffff,420.9,FALSE
891f2a74a8bffff,855.4,FALSE
891f2a64687ffff,1551,FALSE
891f0c9b503ffff,544.2,FALSE
891f2a6e8c7ffff,987,FALSE
891f2a72943ffff,1043,FALSE
891f2a665bbffff,789.5,FALSE
891f2a7591bffff,752,FALSE
891f2a65517ffff,3179.8,FALSE
891f2a74877ffff,48.8,TRUE
891f2a64473ffff,911.1,FALSE
891f2a6e6b3ffff,2869.5,FALSE
891f2a633cfffff,1347.4,FALSE
891f0c9a24bffff,514,FALSE
891f2a6232bffff,207.7,FALSE
891f2a6744bffff,321.1,FALSE
891f2a663a7ffff,382.4,FALSE
891f2a65303ffff,774.3,FALSE
891f2a74663ffff,1317.6,FALSE
891f0c9b0dbffff,176.9,FALSE
891f2a631bbffff,264.9,FALSE
891f0c9a037ffff,1148.6,FALSE
891f2a7763bffff,168.2,TRUE
891f2a62117ffff,1474.9,FALSE
891f2a67237ffff,708.7,FALSE
891f2a0dd2bffff,1120.3,FALSE
891f2a66193ffff,279.9,FALSE
891f2a7444fffff,229.4,FALSE
891f2a6404bffff,623.8,FALSE
891f2a77427ffff,935.2,FALSE
891f2a67023ffff,1041.4,FALSE
891f2a0db17ffff,815.4,FALSE
891f2a64edbffff,1938.5,FALSE
891f2a7423bffff,1156.8,FALSE
891f2a6e077ffff,1300.4,FALSE
891f2a62d93ffff,379.7,FALSE
891f2a77213ffff,681.5,FALSE
891f2a66e0fffff,719.8,FALSE
891f2a0d903ffff,558.3,FALSE
891f2a60c4bffff,408.6,FALSE
891f2a65d6bffff,1221.7,FALSE
891f2a750cbffff,920.3,FALSE
891f2a64cc7ffff,469.9,FALSE
891f2a74027ffff,354.4,FALSE
891f2a60a37ffff,927.8,FALSE
891f2a65b57ffff,706.3,FALSE
891f2a74eb7ffff,938.2,FALSE
891f2a64ab3ffff,886.9,FALSE
891f2a6296bffff,1215.3,FALSE
891f2a618c7ffff,396.8,FALSE
891f0c93623ffff,538.4,FALSE
891f2a70c27ffff,343.3,FALSE
891f2a75d47ffff,1126.3,FALSE
891f2a60823ffff,418.3,FALSE
891f2a65943ffff,182.6,FALSE
891f0c9a677ffff,812.3,FALSE
891f2a72b5bffff,1039.1,FALSE
891f2a6c997ffff,1412.1,FALSE
891f0c995d3ffff,644.4,FALSE
891f2a70a13ffff,591,FALSE
891f2a75b33ffff,405.1,FALSE
891f2a6060fffff,490.6,FALSE
891f2a74a8fffff,561.4,FALSE
891f2a6468bffff,1659.7,FALSE
891f0c9b507ffff,231.6,FALSE
891f2a6e8cbffff,1212.1,FALSE
891f0c9a463ffff,188.2,FALSE
891f2a72947ffff,729,FALSE
891f2a62543ffff,800.3,FALSE
891f2a67663ffff,838.8,FALSE
891f2a6551bffff,2891.5,FALSE
891f2a7487bffff,218.5,FALSE
891f2a64477ffff,589.2,FALSE
891f2a6e6b7ffff,2689.1,FALSE
891f0c9a24fffff,586.5,FALSE
891f2a6232fffff,455.1,FALSE
891f2a6744fffff,446,FALSE
891f2a663abffff,138.9,TRUE
891f2a65307ffff,784.8,FALSE
891f2a74667ffff,1076.1,FALSE
891f2a64263ffff,2426.8,FALSE
891f2a6e4a3ffff,1129,FALSE
891f0c9a03bffff,1005.8,FALSE
891f2a6211bffff,1018.1,FALSE
891f2a6723bffff,315.5,FALSE
891f2a66197ffff,61.5,TRUE
891f2a74453ffff,247.5,FALSE
891f2a6404fffff,511.6,FALSE
891f2a7742bffff,964.8,FALSE
891f2a67027ffff,1368.3,FALSE
891f2a0db1bffff,399.1,FALSE
891f2a60e63ffff,274.7,FALSE
891f2a6e07bffff,1871.8,FALSE
891f2a62d97ffff,462.6,FALSE
891f2a77217ffff,942.5,FALSE
891f2a66e13ffff,185.7,FALSE
891f2a0d907ffff,771.3,FALSE
891f2a60c4fffff,379.2,FALSE
891f2a65d6fffff,986.4,FALSE
891f2a750cfffff,870.3,FALSE
891f2a64ccbffff,563.7,FALSE
891f2a7402bffff,78.6,TRUE
891f2a62b83ffff,508.6,FALSE
891f2a6cdc3ffff,507.5,FALSE
891f2a77003ffff,598.1,FALSE
891f2a60a3bffff,664.3,FALSE
891f2a65b5bffff,453.7,FALSE
891f2a74ebbffff,666.2,FALSE
891f2a64ab7ffff,927.1,FALSE
891f2a6296fffff,1080.9,FALSE
891f2a618cbffff,941.5,FALSE
891f0c93627ffff,843,FALSE
891f2a70c2bffff,59.8,TRUE
891f2a75d4bffff,1221.2,FALSE
891f2a60827ffff,634.1,FALSE
891f2a65947ffff,30.5,TRUE
891f2a648a3ffff,724.5,FALSE
891f0c9a67bffff,334.8,FALSE
891f2a6c99bffff,1844.2,FALSE
891f0c995d7ffff,925.4,FALSE
891f2a70a17ffff,271.4,FALSE
891f2a75b37ffff,90.2,TRUE
891f2a60613ffff,221.6,FALSE
891f2a74a93ffff,713.6,FALSE
891f2a6468fffff,1764.6,FALSE
891f2a6e8cfffff,1053.6,FALSE
891f0c9b50bffff,705.2,FALSE
891f0c9a467ffff,141.5,TRUE
891f2a7294bffff,1183,FALSE
891f2a62547ffff,640.9,FALSE
891f2a67667ffff,867.4,FALSE
891f2a614a3ffff,1856.4,FALSE
891f2a665c3ffff,122.4,TRUE
891f2a70803ffff,704,FALSE
891f2a75923ffff,273.6,FALSE
891f2a6447bffff,1064.5,FALSE
891f2a6e6bbffff,2874.5,FALSE
891f2a633d7ffff,1293.8,FALSE
891f0c9a253ffff,270.1,FALSE
891f2a62333ffff,139,TRUE
891f2a67453ffff,202.2,FALSE
891f2a663afffff,430.5,FALSE
891f2a6530bffff,1074.1,FALSE
891f2a7466bffff,1626.5,FALSE
891f2a64267ffff,2220.6,FALSE
891f2a6e4a7ffff,802.4,FALSE
891f2a631c3ffff,913.9,FALSE
891f2a77643ffff,440.3,FALSE
891f2a6619bffff,520.3,FALSE
891f2a74457ffff,368.7,FALSE
891f2a64053ffff,331.2,FALSE
891f2a6e293ffff,3055.8,FALSE
891f2a7742fffff,962.8,FALSE
891f2a6702bffff,994.9,FALSE
891f2a60e67ffff,563.8,FALSE
891f2a74243ffff,2150.1,FALSE
891f2a62d9bffff,612.1,FALSE
891f2a7721bffff,406.1,FALSE
891f2a66e17ffff,478,FALSE
891f2a0d90bffff,270,FALSE
891f2a60c53ffff,12.5,TRUE
891f2a65d73ffff,809.5,FALSE
891f2a750d3ffff,1439.1,FALSE
891f2a64ccfffff,688.2,FALSE
891f2a7402fffff,263.1,FALSE
891f2a62b87ffff,661.2,FALSE
891f2a6cdc7ffff,256.3,FALSE
891f2a77007ffff,344.4,FALSE
891f2a66c03ffff,875,FALSE
891f2a64abbffff,596.5,FALSE
891f2a62973ffff,1047.2,FALSE
891f2a618cfffff,616.6,FALSE
891f0c9362bffff,270.5,FALSE
891f2a70c2fffff,312.6,FALSE
891f2a75d4fffff,986.3,FALSE
891f2a6082bffff,646.4,FALSE
891f2a6594bffff,235.7,FALSE
891f2a648a7ffff,400.9,FALSE
891f2a72b63ffff,234.2,FALSE
891f0c995dbffff,753.9,FALSE
891f2a70a1bffff,723.1,FALSE
891f2a75b3bffff,574,FALSE
891f2a60617ffff,509.4,FALSE
891f2a74a97ffff,457.1,FALSE
891f2a64693ffff,1161.8,FALSE
891f0c9b50fffff,397.4,FALSE
891f2a6e8d3ffff,687.5,FALSE
891f0c9a46bffff,133.1,TRUE
891f2a7294fffff,1020.3,FALSE
891f2a6254bffff,743.2,FALSE
891f2a6766bffff,919.1,FALSE
891f2a614a7ffff,1567.6,FALSE
891f0c93203ffff,1463.7,FALSE
891f2a665c7ffff,335,FALSE
891f2a70807ffff,442,FALSE
891f2a75927ffff,0,TRUE
891f2a60403ffff,1023.3,FALSE
891f2a65523ffff,2787.2,FALSE
891f2a74883ffff,417.6,FALSE
891f0c9a257ffff,273.7,FALSE
891f2a62337ffff,0,TRUE
891f2a67457ffff,392.8,FALSE
891f2a663b3ffff,227.8,FALSE
891f2a6530fffff,1023,FALSE
891f2a7466fffff,1394.3,FALSE
891f2a6426bffff,2235.6,FALSE
891f2a6e4abffff,1382.9,FALSE
891f2a631c7ffff,577.4,FALSE
891f0c9a043ffff,803.4,FALSE
891f2a77647ffff,549.1,FALSE
891f2a62123ffff,931,FALSE
891f2a67243ffff,876.8,FALSE
891f2a7445bffff,240.8,FALSE
891f2a64057ffff,13.1,TRUE
891f2a6e297ffff,2745.6,FALSE
891f2a2920bffff,1068.8,FALSE
891f2a77433ffff,878.9,FALSE
891f2a6702fffff,1286,FALSE
891f2a0db23ffff,221.5,FALSE
891f2a60e6bffff,60.7,TRUE
891f2a74247ffff,1820.9,FALSE
891f2a6e083ffff,1348.2,FALSE
891f2a66e1bffff,411.2,FALSE
891f2a0d90fffff,464.1,FALSE
891f2a60c57ffff,0,TRUE
891f2a65d77ffff,583.5,FALSE
891f2a750d7ffff,1352.6,FALSE
891f2a64cd3ffff,178.4,FALSE
891f2a74033ffff,500,FALSE
891f2a62b8bffff,253.6,FALSE
891f2a6cdcbffff,803.8,FALSE
891f2a7700bffff,624.6,FALSE
891f2a66c07ffff,1128.5,FALSE
891f2a60a43ffff,327.9,FALSE
891f2a65b63ffff,8.9,TRUE
891f2a74ec3ffff,657.8,FALSE
891f2a62977ffff,1019.3,FALSE
891f2a618d3ffff,941,FALSE
891f0c9362fffff,608.5,FALSE
891f2a70c33ffff,218.1,FALSE
891f2a75d53ffff,1448.5,FALSE
891f2a6082fffff,722.1,FALSE
891f2a6594fffff,246.7,FALSE
891f2a648abffff,894.5,FALSE
891f0c9a683ffff,649.9,FALSE
891f2a72b67ffff,553.5,FALSE
891f2a6c9a3ffff,1835.6,FALSE
891f2a6061bffff,191.6,FALSE
891f2a74a9bffff,868.2,FALSE
891f2a64697ffff,1266.7,FALSE
891f0c9b513ffff,318.8,FALSE
891f2a6e8d7ffff,723.7,FALSE
891f0c9a46fffff,397.8,FALSE
891f2a72953ffff,1148.8,FALSE
891f2a6254fffff,765.1,FALSE
891f2a6766fffff,943.4,FALSE
891f2a614abffff,2147.2,FALSE
891f2a665cbffff,231.8,FALSE
891f2a7080bffff,799.7,FALSE
891f2a7592bffff,286.8,FALSE
891f2a60407ffff,918.1,FALSE
891f2a65527ffff,2667.2,FALSE
891f2a74887ffff,652.9,FALSE
891f2a64483ffff,86.3,TRUE
891f2a6e6c3ffff,2181,FALSE
891f0c9a25bffff,589.6,FALSE
891f2a6233bffff,105.3,TRUE
891f2a6745bffff,192.2,FALSE
891f2a663b7ffff,110.3,TRUE
891f2a65313ffff,582.3,FALSE
891f2a74673ffff,1309,FALSE
891f2a6426fffff,2209.8,FALSE
891f2a6e4afffff,1076,FALSE
891f2a631cbffff,1146.1,FALSE
891f0c9a047ffff,1069.1,FALSE
891f2a7764bffff,717.6,FALSE
891f2a62127ffff,796.6,FALSE
891f2a67247ffff,542.8,FALSE
891f2a0dd3bffff,1083.5,FALSE
891f2a661a3ffff,51.6,TRUE
891f2a75503ffff,1283.9,FALSE
891f2a6405bffff,570.9,FALSE
891f2a77437ffff,776.8,FALSE
891f2a67033ffff,837.6,FALSE
891f2a0db27ffff,299.9,FALSE
891f2a60e6fffff,322.6,FALSE
891f2a7424bffff,2290.8,FALSE
891f2a6e087ffff,1019.3,FALSE
891f2a62da3ffff,637.2,FALSE
891f2a77223ffff,416.6,FALSE
891f2a0d913ffff,529.6,FALSE
891f2a60c5bffff,229.2,FALSE
891f2a65d7bffff,1119.4,FALSE
891f2a750dbffff,1205.2,FALSE
891f2a64cd7ffff,169,FALSE
891f2a74037ffff,575.3,FALSE
891f2a62b8fffff,345.2,FALSE
891f2a6cdcfffff,574.6,FALSE
891f2a7700fffff,366.1,FALSE
891f2a66c0bffff,559.2,FALSE
891f2a60a47ffff,401.7,FALSE
891f2a65b67ffff,329.8,FALSE
891f2a74ec7ffff,507.8,FALSE
891f2a64ac3ffff,971.2,FALSE
891f2a6ed03ffff,1483.4,FALSE
891f2a6297bffff,1350.4,FALSE
891f2a618d7ffff,630.2,FALSE
891f0c93633ffff,629.2,FALSE
891f2a70c37ffff,146.5,TRUE
891f2a75d57ffff,1428.1,FALSE
891f2a60833ffff,122.2,TRUE
891f2a65953ffff,288.2,FALSE
891f2a648afffff,558.9,FALSE
891f0c9a687ffff,883.9,FALSE
891f2a72b6bffff,101.6,TRUE
891f2a6c9a7ffff,1692.3,FALSE
891f2a70a23ffff,188,FALSE
891f2a75b43ffff,247.1,FALSE
891f2a6469bffff,1373.1,FALSE
891f0c9b517ffff,366.9,FALSE
891f2a6e8dbffff,983.3,FALSE
891f0c9a473ffff,259.8,FALSE
891f2a72957ffff,811.1,FALSE
891f2a62553ffff,753.8,FALSE
891f2a67673ffff,562,FALSE
891f2a614afffff,1870.2,FALSE
891f0c9320bffff,1463.4,FALSE
891f2a665cfffff,204.6,FALSE
891f2a7080fffff,464.5,FALSE
891f2a7592fffff,69,TRUE
891f2a6040bffff,917.7,FALSE
891f2a6552bffff,2482.7,FALSE
891f2a7488bffff,105.4,TRUE
891f2a64487ffff,154.4,TRUE
891f2a6e6c7ffff,2388.3,FALSE
891f0c9b303ffff,402.1,FALSE
891f2a663bbffff,386.8,FALSE
891f2a65317ffff,499.5,FALSE
