hex_id,distance_m,intersects
891f0c9a673ffff,1337.6,FALSE
891f2a72b57ffff,1339.8,FALSE
891f0c995cfffff,4360.8,FALSE
891f2a6c993ffff,3505.2,FALSE
891f2a70a0fffff,2241.9,FALSE
891f2a75b2fffff,1242.6,FALSE
891f2a6060bffff,2532,FALSE
891f2a74a8bffff,1167.7,FALSE
891f2a64687ffff,1432.8,FALSE
891f0c9b503ffff,711.4,FALSE
891f2a6e8c7ffff,3089.3,FALSE
891f2a72943ffff,2802.9,FALSE
891f2a665bbffff,1688.8,FALSE
891f2a7591bffff,3056.4,FALSE
891f2a65517ffff,3869.4,FALSE
891f2a74877ffff,2853.4,FALSE
891f2a64473ffff,414.1,FALSE
891f2a6e6b3ffff,1631.4,FALSE
891f2a633cfffff,4073.2,FALSE
891f0c9a24bffff,510.1,FALSE
891f2a6232bffff,2257.8,FALSE
891f2a6744bffff,1269,FALSE
891f2a663a7ffff,303.6,FALSE
891f2a65303ffff,1121.6,FALSE
891f2a74663ffff,2671.5,FALSE
891f0c9b0dbffff,762.1,FALSE
891f2a631bbffff,1074.2,FALSE
891f0c9a037ffff,4621.3,FALSE
891f2a7763bffff,1538.5,FALSE
891f2a62117ffff,1056.4,FALSE
891f2a67237ffff,3202.4,FALSE
891f2a0dd2bffff,8453.8,FALSE
891f2a66193ffff,963.7,FALSE
891f2a7444fffff,3934.1,FALSE
891f2a6404bffff,2494.2,FALSE
891f2a77427ffff,3160.3,FALSE
891f2a67023ffff,2186.1,FALSE
891f2a0db17ffff,5506.4,FALSE
891f2a64edbffff,2586.5,FALSE
891f2a7423bffff,721.8,FALSE
891f2a6e077ffff,1496.6,FALSE
891f2a62d93ffff,2417.8,FALSE
891f2a77213ffff,244.2,FALSE
891f2a66e0fffff,1722.2,FALSE
891f2a0d903ffff,7316.7,FALSE
891f2a60c4bffff,2777.2,FALSE
891f2a65d6bffff,1989.7,FALSE
891f2a750cbffff,986.6,FALSE
891f2a64cc7ffff,1975.8,FALSE
891f2a74027ffff,2845.6,FALSE
891f2a60a37ffff,1797.8,FALSE
891f2a65b57ffff,632.9,FALSE
891f2a74eb7ffff,1763.3,FALSE
891f2a64ab3ffff,4778.3,FALSE
891f2a6296bffff,1009.3,FALSE
891f2a618c7ffff,5995.7,FALSE
891f0c93623ffff,2558.3,FALSE
891f2a70c27ffff,668.5,FALSE
891f2a75d47ffff,2270,FALSE
891f2a60823ffff,417.6,FALSE
891f2a65943ffff,1036.1,FALSE
891f0c9a677ffff,1647.5,FALSE
891f2a72b5bffff,1465.8,FALSE
891f2a6c997ffff,3419.7,FALSE
