hex_id,distance_m,intersects
891f0c9a673ffff,2622.9,FALSE
891f2a72b57ffff,5795.9,FALSE
891f0c995cfffff,8841.5,FALSE
891f2a6c993ffff,7749.1,FALSE
891f2a70a0fffff,1759.6,FALSE
891f2a75b2fffff,196.5,FALSE
891f2a6060bffff,1117,FALSE
891f2a74a8bffff,4912.7,FALSE
891f2a64687ffff,2211.9,FALSE
891f0c9b503ffff,3329.3,FALSE
891f2a6e8c7ffff,3394.4,FALSE
891f2a72943ffff,4995.4,FALSE
891f2a665bbffff,5366.8,FALSE
891f2a7591bffff,2220.6,FALSE
891f2a65517ffff,3995.9,FALSE
891f2a74877ffff,6532.9,FALSE
891f2a64473ffff,1060.9,FALSE
891f2a6e6b3ffff,3224.3,FALSE
891f2a633cfffff,3751.6,FALSE
891f0c9a24bffff,4527.5,FALSE
891f2a6232bffff,27.6,TRUE
891f2a6744bffff,3183,FALSE
891f2a663a7ffff,2512,FALSE
891f2a65303ffff,82.1,TRUE
891f2a74663ffff,1391,FALSE
891f0c9b0dbffff,4857.2,FALSE
891f2a631bbffff,2552.2,FALSE
891f0c9a037ffff,5337.4,FALSE
891f2a7763bffff,2413.1,FALSE
891f2a62117ffff,215.7,FALSE
891f2a67237ffff,4819.4,FALSE
891f2a0dd2bffff,7183,FALSE
891f2a66193ffff,4447.3,FALSE
891f2a7444fffff,2629.6,FALSE
891f2a6404bffff,1970.6,FALSE
891f2a77427ffff,1996.3,FALSE
891f2a67023ffff,2932,FALSE
891f2a0db17ffff,4297,FALSE
891f2a64edbffff,289.5,FALSE
891f2a7423bffff,2252.1,FALSE
891f2a6e077ffff,3747.2,FALSE
891f2a62d93ffff,2015.2,FALSE
891f2a77213ffff,1868.7,FALSE
891f2a66e0fffff,3305.2,FALSE
891f2a0d903ffff,5932,FALSE
891f2a60c4bffff,1858.2,FALSE
891f2a65d6bffff,337.5,FALSE
891f2a750cbffff,109.3,TRUE
891f2a64cc7ffff,2928.5,FALSE
891f2a74027ffff,4750.5,FALSE
891f2a60a37ffff,287.4,FALSE
891f2a65b57ffff,1717.7,FALSE
891f2a74eb7ffff,6785.6,FALSE
891f2a64ab3ffff,2854.2,FALSE
891f2a6296bffff,4170.1,FALSE
891f2a618c7ffff,3495,FALSE
891f0c93623ffff,7894.6,FALSE
891f2a70c27ffff,4715.9,FALSE
891f2a75d47ffff,2805.2,FALSE
891f2a60823ffff,1561.8,FALSE
891f2a65943ffff,147.3,TRUE
891f0c9a677ffff,2856.4,FALSE
891f2a72b5bffff,6306.2,FALSE
891f2a6c997ffff,7752,FALSE
891f0c995d3ffff,8297,FALSE
891f2a70a13ffff,2334.6,FALSE
891f2a75b33ffff,497.8,FALSE
891f2a6060fffff,937.6,FALSE
891f2a74a8fffff,5080,FALSE
891f2a6468bffff,2697.2,FALSE
891f0c9b507ffff,3393.3,FALSE
891f2a6e8cbffff,3769.3,FALSE
891f0c9a463ffff,3175.6,FALSE
891f2a72947ffff,4678.5,FALSE
891f2a62543ffff,268.3,FALSE
891f2a67663ffff,4907,FALSE
891f2a6551bffff,3620,FALSE
891f2a7487bffff,6049.9,FALSE
891f2a64477ffff,768.1,FALSE
891f2a6e6b7ffff,3111.6,FALSE
891f0c9a24fffff,4683.9,FALSE
891f2a6232fffff,290.1,FALSE
891f2a6744fffff,3015.8,FALSE
891f2a663abffff,1969.8,FALSE
891f2a65307ffff,158.8,TRUE
891f2a74667ffff,1704.7,FALSE
