hex_id,distance_m,intersects
891f0c9a673ffff,3589,FALSE
891f2a72b57ffff,3535.6,FALSE
891f0c995cfffff,10114.6,FALSE
891f2a6c993ffff,8699.3,FALSE
891f2a70a0fffff,8624.2,FALSE
891f2a75b2fffff,1874.7,FALSE
891f2a6060bffff,7924.5,FALSE
891f2a74a8bffff,6142.1,FALSE
891f2a64687ffff,37.7,TRUE
891f0c9b503ffff,4652.9,FALSE
891f2a6e8c7ffff,5606.6,FALSE
891f2a72943ffff,1695.8,FALSE
891f2a665bbffff,6768.1,FALSE
891f2a7591bffff,3519.7,FALSE
891f2a65517ffff,0,TRUE
891f2a74877ffff,8007,FALSE
891f2a64473ffff,963.1,FALSE
891f2a6e6b3ffff,5655.9,FALSE
891f2a633cfffff,10721,FALSE
891f0c9a24bffff,5667.5,FALSE
891f2a6232bffff,4784,FALSE
891f2a6744bffff,0,TRUE
891f2a663a7ffff,4312.5,FALSE
891f2a65303ffff,2466.8,FALSE
891f2a74663ffff,7490.9,FALSE
891f0c9b0dbffff,5919.7,FALSE
891f2a631bbffff,8407,FALSE
891f0c9a037ffff,3875.1,FALSE
891f2a7763bffff,2597.2,FALSE
891f2a62117ffff,5693.3,FALSE
891f2a67237ffff,464.8,FALSE
891f2a0dd2bffff,2416.3,FALSE
891f2a66193ffff,5898.3,FALSE
891f2a7444fffff,7447,FALSE
891f2a6404bffff,84,TRUE
891f2a77427ffff,2726.3,FALSE
891f2a67023ffff,0,TRUE
891f2a0db17ffff,2107.9,FALSE
891f2a64edbffff,0,TRUE
891f2a7423bffff,5877,FALSE
891f2a6e077ffff,6290.5,FALSE
891f2a62d93ffff,3027.7,FALSE
891f2a77213ffff,3977.5,FALSE
891f2a66e0fffff,4157,FALSE
891f2a0d903ffff,2910.6,FALSE
891f2a60c4bffff,2016.4,FALSE
891f2a65d6bffff,234.7,FALSE
891f2a750cbffff,6945.3,FALSE
891f2a64cc7ffff,1243.7,FALSE
891f2a74027ffff,7691.2,FALSE
891f2a60a37ffff,2862.4,FALSE
891f2a65b57ffff,2948,FALSE
891f2a74eb7ffff,7935.4,FALSE
891f2a64ab3ffff,0,TRUE
891f2a6296bffff,346.9,FALSE
891f2a618c7ffff,7465.4,FALSE
891f0c93623ffff,5114.2,FALSE
891f2a70c27ffff,4790.3,FALSE
891f2a75d47ffff,4003,FALSE
891f2a60823ffff,969.2,FALSE
891f2a65943ffff,1506.2,FALSE
891f0c9a677ffff,3565,FALSE
891f2a72b5bffff,4095.2,FALSE
891f2a6c997ffff,8687.6,FALSE
891f0c995d3ffff,9552.4,FALSE
891f2a70a13ffff,8275.8,FALSE
891f2a75b33ffff,2066.7,FALSE
891f2a6060fffff,7591.9,FALSE
891f2a74a8fffff,6359.8,FALSE
891f2a6468bffff,0,TRUE
891f0c9b507ffff,4752.1,FALSE
891f2a6e8cbffff,6164.2,FALSE
891f0c9a463ffff,2082.4,FALSE
891f2a72947ffff,1419.8,FALSE
891f2a62543ffff,7819.1,FALSE
891f2a67663ffff,0,TRUE
891f2a6551bffff,0,TRUE
891f2a7487bffff,7452.8,FALSE
891f2a64477ffff,1296.4,FALSE
891f2a6e6b7ffff,5505.1,FALSE
891f0c9a24fffff,5654.8,FALSE
891f2a6232fffff,4473.8,FALSE
891f2a6744fffff,0,TRUE
891f2a663abffff,3733,FALSE
891f2a65307ffff,2325.4,FALSE
891f2a74667ffff,7394,FALSE
891f2a64263ffff,0,TRUE
891f2a6e4a3ffff,3631,FALSE
891f0c9a03bffff,3819.4,FALSE
891f2a6211bffff,5860.3,FALSE
891f2a6723bffff,452.9,FALSE
891f2a66197ffff,6109.5,FALSE
891f2a74453ffff,6921.1,FALSE
891f2a6404fffff,95,TRUE
891f2a7742bffff,2363.7,FALSE
891f2a67027ffff,0,TRUE
891f2a0db1bffff,1688.3,FALSE
891f2a60e63ffff,3381.6,FALSE
891f2a6e07bffff,6624.1,FALSE
891f2a62d97ffff,2796.5,FALSE
891f2a77217ffff,4097.5,FALSE
891f2a66e13ffff,4712.6,FALSE
891f2a0d907ffff,3237.6,FALSE
891f2a60c4fffff,1711.3,FALSE
891f2a65d6fffff,493.4,FALSE
891f2a750cfffff,6702,FALSE
891f2a64ccbffff,789.9,FALSE
891f2a7402bffff,7384.5,FALSE
891f2a62b83ffff,1085.6,FALSE
891f2a6cdc3ffff,7923.2,FALSE
891f2a77003ffff,3468.9,FALSE
891f2a60a3bffff,3406.8,FALSE
891f2a65b5bffff,3166.9,FALSE
891f2a74ebbffff,7456,FALSE
891f2a64ab7ffff,0,TRUE
891f2a6296fffff,89.1,TRUE
891f2a618cbffff,8022.3,FALSE
891f0c93627ffff,5358.1,FALSE
891f2a70c2bffff,5267.2,FALSE
891f2a75d4bffff,3594.7,FALSE
891f2a60827ffff,739.4,FALSE
891f2a65947ffff,1686.8,FALSE
891f2a648a3ffff,1183,FALSE
891f0c9a67bffff,3854,FALSE
891f2a6c99bffff,8973.1,FALSE
891f0c995d7ffff,9598.6,FALSE
891f2a70a17ffff,8132.8,FALSE
891f2a75b37ffff,2302.5,FALSE
891f2a60613ffff,7817,FALSE
891f2a74a93ffff,6573.7,FALSE
891f2a6468fffff,0,TRUE
891f2a6e8cfffff,5921.5,FALSE
891f0c9b50bffff,4865.4,FALSE
891f0c9a467ffff,2164.6,FALSE
891f2a7294bffff,1992.9,FALSE
891f2a62547ffff,7576.7,FALSE
891f2a67667ffff,0,TRUE
891f2a614a3ffff,10847.8,FALSE
891f2a665c3ffff,6020.2,FALSE
891f2a70803ffff,6264.2,FALSE
891f2a75923ffff,4193.1,FALSE
891f2a6447bffff,761,FALSE
891f2a6e6bbffff,5972.2,FALSE
891f2a633d7ffff,10647.5,FALSE
891f0c9a253ffff,5141.8,FALSE
891f2a62333ffff,4987.6,FALSE
891f2a67453ffff,0,TRUE
891f2a663afffff,4019.1,FALSE
891f2a6530bffff,2784.5,FALSE
891f2a7466bffff,7301.5,FALSE
891f2a64267ffff,0,TRUE
891f2a6e4a7ffff,3520.5,FALSE
891f2a631c3ffff,9568.8,FALSE
891f2a77643ffff,2748.3,FALSE
891f2a6619bffff,5579.5,FALSE
891f2a74457ffff,7210.4,FALSE
891f2a64053ffff,609,FALSE
891f2a6e293ffff,6991.6,FALSE
891f2a7742fffff,2669.9,FALSE
891f2a6702bffff,0,TRUE
891f2a60e67ffff,3177.2,FALSE
891f2a74243ffff,5920.5,FALSE
891f2a62d9bffff,2990.5,FALSE
891f2a7721bffff,4175.6,FALSE
891f2a66e17ffff,4677.7,FALSE
891f2a0d90bffff,2821.9,FALSE
891f2a60c53ffff,1781.2,FALSE
891f2a65d73ffff,0,TRUE
891f2a750d3ffff,7294.6,FALSE
891f2a64ccfffff,924.4,FALSE
891f2a7402fffff,7411.2,FALSE
891f2a62b87ffff,1094,FALSE
891f2a6cdc7ffff,7839.4,FALSE
891f2a77007ffff,3727.2,FALSE
891f2a66c03ffff,6251.9,FALSE
891f2a64abbffff,0,TRUE
891f2a62973ffff,672.7,FALSE
891f2a618cfffff,7780.1,FALSE
891f0c9362bffff,4800,FALSE
891f2a70c2fffff,5105.9,FALSE
891f2a75d4fffff,3694.3,FALSE
891f2a6082bffff,1279.7,FALSE
891f2a6594bffff,1681.7,FALSE
891f2a648a7ffff,1460.2,FALSE
891f2a72b63ffff,3532.4,FALSE
891f0c995dbffff,9794,FALSE
891f2a70a1bffff,8591.2,FALSE
891f2a75b3bffff,1749.6,FALSE
891f2a60617ffff,7480.9,FALSE
891f2a74a97ffff,6778.8,FALSE
891f2a64693ffff,0,TRUE
891f0c9b50fffff,4947.9,FALSE
891f2a6e8d3ffff,5797.2,FALSE
891f0c9a46bffff,2317.9,FALSE
891f2a7294fffff,1728.5,FALSE
891f2a6254bffff,7778,FALSE
891f2a6766bffff,0,TRUE
891f2a614a7ffff,10518.6,FALSE
891f0c93203ffff,4375.5,FALSE
891f2a665c7ffff,6162.1,FALSE
891f2a70807ffff,6153.5,FALSE
891f2a75927ffff,4388.5,FALSE
891f2a60403ffff,6353.2,FALSE
891f2a65523ffff,0,TRUE
891f2a74883ffff,8689.6,FALSE
891f0c9a257ffff,5129.4,FALSE
891f2a62337ffff,4692.8,FALSE
891f2a67457ffff,0,TRUE
891f2a663b3ffff,4067.7,FALSE
891f2a6530fffff,2636.7,FALSE
891f2a7466fffff,7194.3,FALSE
891f2a6426bffff,0,TRUE
891f2a6e4abffff,3940.4,FALSE
891f2a631c7ffff,9231.5,FALSE
891f0c9a043ffff,3679.2,FALSE
891f2a77647ffff,2724.9,FALSE
891f2a62123ffff,4874.6,FALSE
891f2a67243ffff,0,TRUE
891f2a7445bffff,6887.5,FALSE
891f2a64057ffff,464,FALSE
891f2a6e297ffff,6877.6,FALSE
891f2a2920bffff,7194.2,FALSE
891f2a77433ffff,2168.1,FALSE
891f2a6702fffff,0,TRUE
891f2a0db23ffff,2886.8,FALSE
891f2a60e6bffff,3700.5,FALSE
891f2a74247ffff,5813.5,FALSE
891f2a6e083ffff,5064.5,FALSE
891f2a66e1bffff,4483.7,FALSE
891f2a0d90fffff,3138.5,FALSE
891f2a60c57ffff,1476.9,FALSE
891f2a65d77ffff,133.4,TRUE
891f2a750d7ffff,7064.5,FALSE
891f2a64cd3ffff,1306,FALSE
891f2a74033ffff,7908.4,FALSE
891f2a62b8bffff,856.1,FALSE
891f2a6cdcbffff,8225.7,FALSE
891f2a7700bffff,3519.1,FALSE
891f2a66c07ffff,6286,FALSE
891f2a60a43ffff,4420.8,FALSE
891f2a65b63ffff,3452,FALSE
891f2a74ec3ffff,6738.9,FALSE
891f2a62977ffff,410.5,FALSE
891f2a618d3ffff,7650.1,FALSE
891f0c9362fffff,5046.9,FALSE
891f2a70c33ffff,4807.2,FALSE
