hex_id,distance_m,intersects
891f0c9a673ffff,3592.1,FALSE
891f2a72b57ffff,3354.8,FALSE
891f0c995cfffff,663.4,FALSE
891f2a6c993ffff,502,FALSE
891f2a70a0fffff,8280,FALSE
891f2a75b2fffff,1900.4,FALSE
891f2a6060bffff,6374.5,FALSE
891f2a74a8bffff,4363.7,FALSE
891f2a64687ffff,228.4,FALSE
891f0c9b503ffff,4239.2,FALSE
891f2a6e8c7ffff,4180.3,FALSE
891f2a72943ffff,1620.3,FALSE
891f2a665bbffff,1287.9,FALSE
891f2a7591bffff,4047.6,FALSE
891f2a65517ffff,124.3,TRUE
891f2a74877ffff,4693.9,FALSE
891f2a64473ffff,1328.9,FALSE
891f2a6e6b3ffff,2358.6,FALSE
891f2a633cfffff,8581.5,FALSE
891f0c9a24bffff,3741.5,FALSE
891f2a6232bffff,4685,FALSE
891f2a6744bffff,452.5,FALSE
891f2a663a7ffff,1968.1,FALSE
891f2a65303ffff,3093.6,FALSE
891f2a74663ffff,1125,FALSE
891f0c9b0dbffff,2412.5,FALSE
891f2a631bbffff,8339.6,FALSE
891f0c9a037ffff,3965.4,FALSE
891f2a7763bffff,2142.2,FALSE
891f2a62117ffff,5617.4,FALSE
891f2a67237ffff,739.2,FALSE
891f2a0dd2bffff,965.5,FALSE
891f2a66193ffff,61.1,TRUE
891f2a7444fffff,1852.9,FALSE
891f2a6404bffff,298.2,FALSE
891f2a77427ffff,2216.8,FALSE
891f2a67023ffff,127.6,TRUE
891f2a0db17ffff,883,FALSE
891f2a64edbffff,333.7,FALSE
891f2a7423bffff,410.6,FALSE
891f2a6e077ffff,4832.3,FALSE
891f2a62d93ffff,3151.8,FALSE
891f2a77213ffff,3522.5,FALSE
891f2a66e0fffff,1686.4,FALSE
891f2a0d903ffff,1581.3,FALSE
891f2a60c4bffff,2461.6,FALSE
891f2a65d6bffff,260.6,FALSE
891f2a750cbffff,5068.8,FALSE
891f2a64cc7ffff,1292.2,FALSE
891f2a74027ffff,160.2,FALSE
891f2a60a37ffff,2931.4,FALSE
891f2a65b57ffff,2975,FALSE
891f2a74eb7ffff,3367.2,FALSE
891f2a64ab3ffff,185.1,TRUE
891f2a6296bffff,1196.6,FALSE
891f2a618c7ffff,877,FALSE
891f0c93623ffff,5265.2,FALSE
891f2a70c27ffff,4472.3,FALSE
891f2a75d47ffff,3509.1,FALSE
891f2a60823ffff,1089.4,FALSE
891f2a65943ffff,1557.6,FALSE
891f0c9a677ffff,3588.4,FALSE
891f2a72b5bffff,3928.1,FALSE
891f2a6c997ffff,449.7,FALSE
891f0c995d3ffff,52.4,TRUE
891f2a70a13ffff,7951.3,FALSE
891f2a75b33ffff,2228.2,FALSE
891f2a6060fffff,6175.9,FALSE
891f2a74a8fffff,4614.1,FALSE
891f2a6468bffff,265.9,FALSE
891f0c9b507ffff,4317,FALSE
891f2a6e8cbffff,4273,FALSE
891f0c9a463ffff,2107.6,FALSE
891f2a72947ffff,1303.8,FALSE
891f2a62543ffff,7727.8,FALSE
891f2a67663ffff,283.8,FALSE
891f2a6551bffff,343.6,FALSE
891f2a7487bffff,4822.7,FALSE
891f2a64477ffff,1652.7,FALSE
891f2a6e6b7ffff,2683.6,FALSE
891f0c9a24fffff,3864.7,FALSE
891f2a6232fffff,4372.4,FALSE
891f2a6744fffff,184.7,FALSE
891f2a663abffff,2520.1,FALSE
891f2a65307ffff,3105.3,FALSE
891f2a74667ffff,869.9,FALSE
891f2a64263ffff,537.6,FALSE
891f2a6e4a3ffff,3631.9,FALSE
891f0c9a03bffff,3895.7,FALSE
891f2a6211bffff,5770.7,FALSE
891f2a6723bffff,490,FALSE
891f2a66197ffff,0,TRUE
891f2a74453ffff,2301.6,FALSE
891f2a6404fffff,161.3,TRUE
891f2a7742bffff,1911.3,FALSE
891f2a67027ffff,0,TRUE
891f2a0db1bffff,496.9,FALSE
891f2a60e63ffff,3228.7,FALSE
891f2a6e07bffff,4490.1,FALSE
891f2a62d97ffff,2940.6,FALSE
891f2a77217ffff,3643.7,FALSE
891f2a66e13ffff,1312.7,FALSE
891f2a0d907ffff,1919.4,FALSE
891f2a60c4fffff,2288.7,FALSE
891f2a65d6fffff,552,FALSE
891f2a750cfffff,4765.2,FALSE
891f2a64ccbffff,959.5,FALSE
891f2a7402bffff,601.2,FALSE
891f2a62b83ffff,1124.8,FALSE
891f2a6cdc3ffff,329.8,FALSE
891f2a77003ffff,3022.2,FALSE
891f2a60a3bffff,3048,FALSE
891f2a65b5bffff,3204.9,FALSE
891f2a74ebbffff,2975.9,FALSE
891f2a64ab7ffff,298.9,FALSE
891f2a6296fffff,940,FALSE
891f2a618cbffff,1376.7,FALSE
891f0c93627ffff,5492.7,FALSE
891f2a70c2bffff,4971.9,FALSE
891f2a75d4bffff,3372.3,FALSE
891f2a60827ffff,807.5,FALSE
891f2a65947ffff,1742.1,FALSE
891f2a648a3ffff,1336.9,FALSE
891f0c9a67bffff,3866.2,FALSE
891f2a6c99bffff,818.6,FALSE
891f0c995d7ffff,245.8,FALSE
891f2a70a17ffff,7796,FALSE
891f2a75b37ffff,2367.9,FALSE
891f2a60613ffff,6784.9,FALSE
891f2a74a93ffff,4039.5,FALSE
891f2a6468fffff,298.6,FALSE
891f2a6e8cfffff,4064.5,FALSE
891f0c9b50bffff,3948.6,FALSE
891f0c9a467ffff,2215,FALSE
891f2a7294bffff,1885.9,FALSE
891f2a62547ffff,7489.7,FALSE
891f2a67667ffff,78.7,TRUE
891f2a614a3ffff,7744.6,FALSE
891f2a665c3ffff,1944.7,FALSE
891f2a70803ffff,5910.8,FALSE
891f2a75923ffff,4272.3,FALSE
891f2a6447bffff,1086.5,FALSE
891f2a6e6bbffff,2284.4,FALSE
891f2a633d7ffff,8897.3,FALSE
891f0c9a253ffff,4249.1,FALSE
891f2a62333ffff,4880.7,FALSE
891f2a67453ffff,431.7,FALSE
891f2a663afffff,2283.6,FALSE
891f2a6530bffff,3364.3,FALSE
891f2a7466bffff,1148.8,FALSE
891f2a64267ffff,573.9,FALSE
891f2a6e4a7ffff,3520.2,FALSE
891f2a631c3ffff,9307.7,FALSE
891f2a77643ffff,2339,FALSE
891f2a6619bffff,372.4,FALSE
891f2a74457ffff,1991.7,FALSE
891f2a64053ffff,755.9,FALSE
891f2a6e293ffff,3390.3,FALSE
891f2a7742fffff,2207.5,FALSE
891f2a6702bffff,413.8,FALSE
891f2a60e67ffff,3386.4,FALSE
891f2a74243ffff,1060.8,FALSE
891f2a62d9bffff,3089.6,FALSE
891f2a7721bffff,3719.9,FALSE
891f2a66e17ffff,1172.8,FALSE
891f2a0d90bffff,1411.6,FALSE
891f2a60c53ffff,2031.2,FALSE
891f2a65d73ffff,132.1,TRUE
891f2a750d3ffff,4842.4,FALSE
891f2a64ccfffff,990.7,FALSE
