hex_id,distance_m,intersects
891f0c9a673ffff,455.5,FALSE
891f2a72b57ffff,752.8,FALSE
891f0c995cfffff,1152.7,FALSE
891f2a6c993ffff,955.9,FALSE
891f2a70a0fffff,291.8,FALSE
891f2a75b2fffff,61.1,TRUE
891f2a6060bffff,166,TRUE
891f2a74a8bffff,212.1,FALSE
891f2a64687ffff,85.7,TRUE
891f0c9b503ffff,415,FALSE
891f2a6e8c7ffff,291.3,FALSE
891f2a72943ffff,1144.5,FALSE
891f2a665bbffff,627,FALSE
891f2a7591bffff,174.5,TRUE
891f2a65517ffff,410.6,FALSE
891f2a74877ffff,83.1,TRUE
891f2a64473ffff,225.3,FALSE
891f2a6e6b3ffff,221.6,FALSE
891f2a633cfffff,1299.6,FALSE
891f0c9a24bffff,189.7,FALSE
891f2a6232bffff,69.3,TRUE
891f2a6744bffff,315.7,FALSE
891f2a663a7ffff,194.2,FALSE
891f2a65303ffff,143.4,TRUE
891f2a74663ffff,567.2,FALSE
891f0c9b0dbffff,140.7,TRUE
891f2a631bbffff,135.6,TRUE
891f0c9a037ffff,1132.3,FALSE
891f2a7763bffff,137.7,TRUE
891f2a62117ffff,278.6,FALSE
891f2a67237ffff,202.2,FALSE
891f2a0dd2bffff,1127.9,FALSE
891f2a66193ffff,152.9,FALSE
891f2a7444fffff,230.2,FALSE
891f2a6404bffff,218.7,FALSE
891f2a77427ffff,194,FALSE
891f2a67023ffff,1155.8,FALSE
891f2a0db17ffff,310.4,FALSE
891f2a64edbffff,162.9,FALSE
891f2a7423bffff,200.1,FALSE
891f2a6e077ffff,130.5,TRUE
891f2a62d93ffff,340.2,FALSE
891f2a77213ffff,49.2,TRUE
891f2a66e0fffff,168.6,TRUE
891f2a0d903ffff,609.3,FALSE
891f2a60c4bffff,594.1,FALSE
891f2a65d6bffff,202.8,FALSE
891f2a750cbffff,162.5,FALSE
891f2a64cc7ffff,22.6,TRUE
891f2a74027ffff,355.4,FALSE
891f2a60a37ffff,40.4,TRUE
891f2a65b57ffff,151,TRUE
891f2a74eb7ffff,913.1,FALSE
891f2a64ab3ffff,733.9,FALSE
891f2a6296bffff,208.7,FALSE
891f2a618c7ffff,391.3,FALSE
891f0c93623ffff,695.9,FALSE
891f2a70c27ffff,32.4,TRUE
891f2a75d47ffff,177.5,TRUE
891f2a60823ffff,133.8,TRUE
891f2a65943ffff,183.5,FALSE
891f0c9a677ffff,156.4,TRUE
