hex_id,distance_m,intersects
891f0c9a673ffff,2281,FALSE
891f2a72b57ffff,5797.2,FALSE
891f0c995cfffff,4667.2,FALSE
891f2a6c993ffff,4228.3,FALSE
891f2a70a0fffff,1773.8,FALSE
891f2a75b2fffff,229.3,FALSE
891f2a6060bffff,289.4,FALSE
891f2a74a8bffff,169.3,TRUE
891f2a64687ffff,4858.8,FALSE
891f0c9b503ffff,1878.4,FALSE
891f2a6e8c7ffff,5688.2,FALSE
891f2a72943ffff,4993.6,FALSE
891f2a665bbffff,4455.1,FALSE
891f2a7591bffff,2503,FALSE
891f2a65517ffff,5358.7,FALSE
891f2a74877ffff,1895.4,FALSE
891f2a64473ffff,4359.4,FALSE
891f2a6e6b3ffff,4252,FALSE
891f2a633cfffff,2607.8,FALSE
891f0c9a24bffff,2980.7,FALSE
891f2a6232bffff,4913.4,FALSE
891f2a6744bffff,3558.3,FALSE
891f2a663a7ffff,5948.9,FALSE
891f2a65303ffff,4306.8,FALSE
891f2a74663ffff,3788.6,FALSE
891f0c9b0dbffff,1064.2,FALSE
891f2a631bbffff,2515.2,FALSE
891f0c9a037ffff,2294.3,FALSE
891f2a7763bffff,2414.2,FALSE
891f2a62117ffff,3784.9,FALSE
891f2a67237ffff,4820.2,FALSE
891f2a0dd2bffff,3170.9,FALSE
891f2a66193ffff,5513.2,FALSE
891f2a7444fffff,3678.3,FALSE
891f2a6404bffff,3056.3,FALSE
891f2a77427ffff,1998.6,FALSE
891f2a67023ffff,3267.6,FALSE
891f2a0db17ffff,870.8,FALSE
891f2a64edbffff,294.7,FALSE
891f2a7423bffff,5246.4,FALSE
891f2a6e077ffff,3769.4,FALSE
891f2a62d93ffff,6086.9,FALSE
891f2a77213ffff,2302.7,FALSE
891f2a66e0fffff,5152.8,FALSE
891f2a0d903ffff,1880.2,FALSE
891f2a60c4bffff,5701.3,FALSE
891f2a65d6bffff,1263.9,FALSE
891f2a750cbffff,4715.8,FALSE
891f2a64cc7ffff,2963.4,FALSE
891f2a74027ffff,4240.2,FALSE
891f2a60a37ffff,3123,FALSE
891f2a65b57ffff,2083.2,FALSE
891f2a74eb7ffff,1988.9,FALSE
891f2a64ab3ffff,3304.4,FALSE
891f2a6296bffff,5026.7,FALSE
891f2a618c7ffff,4683.8,FALSE
891f0c93623ffff,1483.7,FALSE
891f2a70c27ffff,4737.7,FALSE
