hex_id,distance_m,intersects
891f0c9a673ffff,727.8,FALSE
891f2a72b57ffff,1347.7,FALSE
891f0c995cfffff,1233.5,FALSE
891f2a6c993ffff,1318.2,FALSE
891f2a70a0fffff,335.5,FALSE
891f2a75b2fffff,422.4,FALSE
891f2a6060bffff,176,TRUE
891f2a74a8bffff,876.1,FALSE
891f2a64687ffff,225.8,FALSE
891f0c9b503ffff,608.9,FALSE
891f2a6e8c7ffff,340.9,FALSE
891f2a72943ffff,1457.5,FALSE
891f2a665bbffff,634.8,FALSE
891f2a7591bffff,337.7,FALSE
891f2a65517ffff,434.6,FALSE
891f2a74877ffff,88,TRUE
891f2a64473ffff,274.3,FALSE
891f2a6e6b3ffff,610.4,FALSE
891f2a633cfffff,1371,FALSE
891f0c9a24bffff,482.7,FALSE
891f2a6232bffff,43.7,TRUE
891f2a6744bffff,767.1,FALSE
891f2a663a7ffff,219.9,FALSE
891f2a65303ffff,602.4,FALSE
891f2a74663ffff,257.4,FALSE
891f0c9b0dbffff,179.9,FALSE
891f2a631bbffff,335.8,FALSE
891f0c9a037ffff,1150.9,FALSE
891f2a7763bffff,701.9,FALSE
891f2a62117ffff,137.1,TRUE
891f2a67237ffff,463.2,FALSE
891f2a0dd2bffff,1126.6,FALSE
891f2a66193ffff,429.5,FALSE
891f2a7444fffff,285,FALSE
891f2a6404bffff,495,FALSE
891f2a77427ffff,81.6,TRUE
891f2a67023ffff,1021.5,FALSE
891f2a0db17ffff,461.8,FALSE
891f2a64edbffff,1479.9,FALSE
891f2a7423bffff,840.6,FALSE
891f2a6e077ffff,962.5,FALSE
891f2a62d93ffff,333.7,FALSE
891f2a77213ffff,444.4,FALSE
891f2a66e0fffff,374.1,FALSE
891f2a0d903ffff,617.6,FALSE
891f2a60c4bffff,237.5,FALSE
891f2a65d6bffff,265.6,FALSE
891f2a750cbffff,224.1,FALSE
891f2a64cc7ffff,772.9,FALSE
891f2a74027ffff,614.2,FALSE
891f2a60a37ffff,191.7,FALSE
891f2a65b57ffff,351.2,FALSE
891f2a74eb7ffff,1082.4,FALSE
891f2a64ab3ffff,560.6,FALSE
891f2a6296bffff,257,FALSE
891f2a618c7ffff,411.5,FALSE
891f0c93623ffff,797.1,FALSE
891f2a70c27ffff,145.1,TRUE
891f2a75d47ffff,64,TRUE
891f2a60823ffff,194.3,FALSE
891f2a65943ffff,596.3,FALSE
891f0c9a677ffff,576.9,FALSE
891f2a72b5bffff,1776.3,FALSE
891f2a6c997ffff,1322.6,FALSE
891f0c995d3ffff,782.3,FALSE
891f2a70a13ffff,578.2,FALSE
891f2a75b33ffff,399.9,FALSE
891f2a6060fffff,34.8,TRUE
891f2a74a8fffff,1182.3,FALSE
891f2a6468bffff,798.4,FALSE
891f0c9b507ffff,606.9,FALSE
891f2a6e8cbffff,815,FALSE
891f0c9a463ffff,380.4,FALSE
891f2a72947ffff,1439.3,FALSE
891f2a62543ffff,248.9,FALSE
891f2a67663ffff,1615.3,FALSE
891f2a6551bffff,590.8,FALSE
891f2a7487bffff,301.2,FALSE
891f2a64477ffff,352.8,FALSE
891f2a6e6b7ffff,943,FALSE
891f0c9a24fffff,166.1,TRUE
891f2a6232fffff,16.2,TRUE
891f2a6744fffff,1083.2,FALSE
891f2a663abffff,580.2,FALSE
891f2a65307ffff,267.4,FALSE
891f2a74667ffff,68.9,TRUE
891f2a64263ffff,1237.5,FALSE
891f2a6e4a3ffff,661.7,FALSE
891f0c9a03bffff,1003,FALSE
891f2a6211bffff,185.4,FALSE
891f2a6723bffff,438,FALSE
891f2a66197ffff,722.5,FALSE
891f2a74453ffff,323.9,FALSE
891f2a6404fffff,652.1,FALSE
891f2a7742bffff,155.9,TRUE
891f2a67027ffff,732.6,FALSE
891f2a0db1bffff,289.2,FALSE
891f2a60e63ffff,245.2,FALSE
891f2a6e07bffff,1096.2,FALSE
891f2a62d97ffff,439,FALSE
891f2a77217ffff,396.6,FALSE
891f2a66e13ffff,116.8,TRUE
891f2a0d907ffff,799.7,FALSE
891f2a60c4fffff,99.4,TRUE
891f2a65d6fffff,603.8,FALSE
891f2a750cfffff,367.4,FALSE
891f2a64ccbffff,601.9,FALSE
891f2a7402bffff,483.7,FALSE
891f2a62b83ffff,317.4,FALSE
891f2a6cdc3ffff,1141.6,FALSE
891f2a77003ffff,578.6,FALSE
891f2a60a3bffff,13.9,TRUE
891f2a65b5bffff,7.8,TRUE
891f2a74ebbffff,745.7,FALSE
891f2a64ab7ffff,242.4,FALSE
891f2a6296fffff,477.2,FALSE
891f2a618cbffff,915.7,FALSE
891f0c93627ffff,1122.4,FALSE
891f2a70c2bffff,118.2,TRUE
891f2a75d4bffff,107.8,TRUE
