hex_id,distance_m,intersects
891f0c9a673ffff,1132.6,FALSE
891f2a72b57ffff,720.9,FALSE
891f0c995cfffff,667.7,FALSE
891f2a6c993ffff,493.4,FALSE
891f2a70a0fffff,151.8,TRUE
891f2a75b2fffff,5101.7,FALSE
891f2a6060bffff,1173.1,FALSE
891f2a74a8bffff,993.5,FALSE
891f2a64687ffff,6439.5,FALSE
891f0c9b503ffff,1965.2,FALSE
891f2a6e8c7ffff,1902.4,FALSE
891f2a72943ffff,536,FALSE
891f2a665bbffff,477.3,FALSE
891f2a7591bffff,3466.3,FALSE
891f2a65517ffff,8564.4,FALSE
891f2a74877ffff,455.9,FALSE
891f2a64473ffff,5304,FALSE
891f2a6e6b3ffff,115.7,TRUE
891f2a633cfffff,1601.6,FALSE
891f0c9a24bffff,795.8,FALSE
891f2a6232bffff,3450.2,FALSE
891f2a6744bffff,8751.5,FALSE
891f2a663a7ffff,1677.6,FALSE
891f2a65303ffff,5185.8,FALSE
891f2a74663ffff,2537.2,FALSE
891f0c9b0dbffff,2255.8,FALSE
891f2a631bbffff,80.9,TRUE
891f0c9a037ffff,1314.3,FALSE
891f2a7763bffff,1916.3,FALSE
891f2a62117ffff,4149.3,FALSE
891f2a67237ffff,8465.6,FALSE
891f2a0dd2bffff,968.8,FALSE
891f2a66193ffff,0,TRUE
891f2a7444fffff,834.7,FALSE
891f2a6404bffff,6712.5,FALSE
891f2a77427ffff,2099.3,FALSE
891f2a67023ffff,7609.6,FALSE
891f2a0db17ffff,1217.3,FALSE
891f2a64edbffff,5472.2,FALSE
891f2a7423bffff,2504.9,FALSE
891f2a6e077ffff,0,TRUE
891f2a62d93ffff,7252.8,FALSE
891f2a77213ffff,2955.2,FALSE
891f2a66e0fffff,1237.3,FALSE
891f2a0d903ffff,479.5,FALSE
891f2a60c4bffff,4762.6,FALSE
891f2a65d6bffff,4555,FALSE
891f2a750cbffff,5376,FALSE
891f2a64cc7ffff,3110.1,FALSE
891f2a74027ffff,0,TRUE
891f2a60a37ffff,3072.1,FALSE
891f2a65b57ffff,3787.3,FALSE
891f2a74eb7ffff,613.7,FALSE
891f2a64ab3ffff,2783.3,FALSE
891f2a6296bffff,9317.1,FALSE
891f2a618c7ffff,0,TRUE
891f0c93623ffff,770.6,FALSE
891f2a70c27ffff,72.8,TRUE
891f2a75d47ffff,2753.2,FALSE
891f2a60823ffff,4897.9,FALSE
891f2a65943ffff,3587.6,FALSE
891f0c9a677ffff,813.8,FALSE
891f2a72b5bffff,984.4,FALSE
891f2a6c997ffff,424.7,FALSE
891f0c995d3ffff,55.8,TRUE
891f2a70a13ffff,657.4,FALSE
891f2a75b33ffff,4971.3,FALSE
891f2a6060fffff,1445.6,FALSE
891f2a74a8fffff,1063.6,FALSE
891f2a6468bffff,6981.3,FALSE
891f0c9b507ffff,1627.8,FALSE
891f2a6e8cbffff,1396.6,FALSE
891f0c9a463ffff,727.3,FALSE
891f2a72947ffff,276.3,FALSE
891f2a62543ffff,2071.9,FALSE
891f2a67663ffff,8519.1,FALSE
891f2a6551bffff,8034.8,FALSE
891f2a7487bffff,411.1,FALSE
891f2a64477ffff,5053.2,FALSE
891f2a6e6b7ffff,261.3,FALSE
891f0c9a24fffff,506.3,FALSE
891f2a6232fffff,3786.5,FALSE
891f2a6744fffff,8581.7,FALSE
891f2a663abffff,2230.3,FALSE
891f2a65307ffff,5336.9,FALSE
891f2a74667ffff,2246.4,FALSE
891f2a64263ffff,8327.1,FALSE
891f2a6e4a3ffff,2173.2,FALSE
891f0c9a03bffff,980.5,FALSE
891f2a6211bffff,3661.4,FALSE
891f2a6723bffff,7981.6,FALSE
891f2a66197ffff,0,TRUE
891f2a74453ffff,499.4,FALSE
891f2a6404fffff,6516.2,FALSE
891f2a7742bffff,2142.6,FALSE
891f2a67027ffff,7364.8,FALSE
891f2a0db1bffff,1396,FALSE
891f2a60e63ffff,2969.4,FALSE
891f2a6e07bffff,230.9,FALSE
891f2a62d97ffff,7073.4,FALSE
891f2a77217ffff,3251.1,FALSE
891f2a66e13ffff,964.9,FALSE
891f2a0d907ffff,812.8,FALSE
891f2a60c4fffff,4890.8,FALSE
891f2a65d6fffff,4266.3,FALSE
891f2a750cfffff,5708.9,FALSE
891f2a64ccbffff,3553.9,FALSE
891f2a7402bffff,439.3,FALSE
891f2a62b83ffff,8532.7,FALSE
891f2a6cdc3ffff,89.3,TRUE
891f2a77003ffff,3047.1,FALSE
891f2a60a3bffff,2724.3,FALSE
891f2a65b5bffff,4219.3,FALSE
891f2a74ebbffff,448.2,FALSE
891f2a64ab7ffff,2451.6,FALSE
891f2a6296fffff,9495.4,FALSE
891f2a618cbffff,565.9,FALSE
891f0c93627ffff,1025,FALSE
891f2a70c2bffff,25,TRUE
891f2a75d4bffff,3267.2,FALSE
891f2a60827ffff,5028.8,FALSE
891f2a65947ffff,3280.4,FALSE
891f2a648a3ffff,1271.8,FALSE
891f0c9a67bffff,1115.3,FALSE
891f2a6c99bffff,811,FALSE
891f0c995d7ffff,264.7,FALSE
891f2a70a17ffff,476.4,FALSE
891f2a75b37ffff,4717.3,FALSE
891f2a60613ffff,1552.4,FALSE
891f2a74a93ffff,489.7,FALSE
