hex_id,distance_m,intersects
891f0c9a673ffff,1848.2,FALSE
891f2a72b57ffff,5799.7,FALSE
891f0c995cfffff,4667.9,FALSE
891f2a6c993ffff,4229.4,FALSE
891f2a70a0fffff,718.1,FALSE
891f2a75b2fffff,141,TRUE
891f2a6060bffff,98.7,TRUE
891f2a74a8bffff,97.5,TRUE
891f2a64687ffff,4846,FALSE
891f0c9b503ffff,1177,FALSE
891f2a6e8c7ffff,6308.6,FALSE
891f2a72943ffff,4913.2,FALSE
891f2a665bbffff,4406.4,FALSE
891f2a7591bffff,626.3,FALSE
891f2a65517ffff,5494.6,FALSE
891f2a74877ffff,1895.2,FALSE
891f2a64473ffff,4359.3,FALSE
891f2a6e6b3ffff,8653,FALSE
891f2a633cfffff,1574.4,FALSE
891f0c9a24bffff,2804.5,FALSE
891f2a6232bffff,3151.2,FALSE
891f2a6744bffff,3541.1,FALSE
891f2a663a7ffff,5479.8,FALSE
891f2a65303ffff,6414.2,FALSE
891f2a74663ffff,3793.4,FALSE
891f0c9b0dbffff,1059.3,FALSE
891f2a631bbffff,1004.9,FALSE
891f0c9a037ffff,2279.9,FALSE
891f2a7763bffff,2416.3,FALSE
891f2a62117ffff,3771.8,FALSE
891f2a67237ffff,4978.6,FALSE
891f2a0dd2bffff,3171.6,FALSE
891f2a66193ffff,5224.2,FALSE
891f2a7444fffff,3672.6,FALSE
891f2a6404bffff,3053,FALSE
891f2a77427ffff,768.6,FALSE
891f2a67023ffff,3250,FALSE
891f2a0db17ffff,880.9,FALSE
891f2a64edbffff,20.2,TRUE
891f2a7423bffff,5207.7,FALSE
891f2a6e077ffff,11147.4,FALSE
891f2a62d93ffff,6073.3,FALSE
891f2a77213ffff,2311,FALSE
891f2a66e0fffff,4041.9,FALSE
891f2a0d903ffff,1878.7,FALSE
891f2a60c4bffff,5229.9,FALSE
891f2a65d6bffff,1257,FALSE
891f2a750cbffff,4722.8,FALSE
891f2a64cc7ffff,551.2,FALSE
891f2a74027ffff,4232.5,FALSE
891f2a60a37ffff,7825.8,FALSE
891f2a65b57ffff,754.7,FALSE
891f2a74eb7ffff,1986.3,FALSE
891f2a64ab3ffff,1479,FALSE
891f2a6296bffff,5009.2,FALSE
891f2a618c7ffff,4669.2,FALSE
891f0c93623ffff,1475.7,FALSE
891f2a70c27ffff,4415.1,FALSE
891f2a75d47ffff,2092.2,FALSE
891f2a60823ffff,8314.7,FALSE
891f2a65943ffff,41.2,TRUE
891f0c9a677ffff,1818,FALSE
891f2a72b5bffff,5889.4,FALSE
891f2a6c997ffff,4025.9,FALSE
891f0c995d3ffff,4065.3,FALSE
891f2a70a13ffff,1325.1,FALSE
891f2a75b33ffff,316.4,FALSE
891f2a6060fffff,338.4,FALSE
891f2a74a8fffff,225.5,FALSE
891f2a6468bffff,4810,FALSE
891f0c9b507ffff,1507.7,FALSE
891f2a6e8cbffff,6767.8,FALSE
891f0c9a463ffff,152,TRUE
891f2a72947ffff,4579.3,FALSE
891f2a62543ffff,1553.2,FALSE
891f2a67663ffff,4965.6,FALSE
891f2a6551bffff,6015.9,FALSE
891f2a7487bffff,1316.2,FALSE
891f2a64477ffff,4121.2,FALSE
891f2a6e6b7ffff,8920.3,FALSE
891f0c9a24fffff,3135.2,FALSE
891f2a6232fffff,3375.5,FALSE
891f2a6744fffff,3263.3,FALSE
891f2a663abffff,5522.6,FALSE
891f2a65307ffff,6083.7,FALSE
891f2a74667ffff,4070.9,FALSE
891f2a64263ffff,3301.1,FALSE
891f2a6e4a3ffff,9043.1,FALSE
891f0c9a03bffff,2035.9,FALSE
891f2a6211bffff,3512.4,FALSE
891f2a6723bffff,5381.2,FALSE
891f2a66197ffff,5547.3,FALSE
891f2a74453ffff,3279.3,FALSE
891f2a6404fffff,2731.6,FALSE
891f2a7742bffff,1240,FALSE
