hex_id,distance_m,intersects
891f0c9a673ffff,0,TRUE
891f2a72b57ffff,707.1,FALSE
891f0c995cfffff,2978.9,FALSE
891f2a6c993ffff,1188.3,FALSE
891f2a70a0fffff,138.9,TRUE
891f2a75b2fffff,464.9,FALSE
891f2a6060bffff,370.1,FALSE
891f2a74a8bffff,1121.8,FALSE
891f2a64687ffff,1587.5,FALSE
891f0c9b503ffff,387.4,FALSE
891f2a6e8c7ffff,143,TRUE
891f2a72943ffff,536,FALSE
891f2a665bbffff,1459.2,FALSE
891f2a7591bffff,1463.8,FALSE
891f2a65517ffff,2421.7,FALSE
891f2a74877ffff,38.9,TRUE
891f2a64473ffff,1369,FALSE
891f2a6e6b3ffff,1357,FALSE
891f2a633cfffff,1229.7,FALSE
891f0c9a24bffff,0,TRUE
891f2a6232bffff,716.5,FALSE
891f2a6744bffff,623.2,FALSE
891f2a663a7ffff,1381.9,FALSE
891f2a65303ffff,949.2,FALSE
891f2a74663ffff,1443.6,FALSE
891f0c9b0dbffff,0,TRUE
891f2a631bbffff,0,TRUE
891f0c9a037ffff,1089,FALSE
891f2a7763bffff,1024.3,FALSE
891f2a62117ffff,1360.5,FALSE
891f2a67237ffff,270.8,FALSE
891f2a0dd2bffff,966.1,FALSE
891f2a66193ffff,2362.2,FALSE
891f2a7444fffff,171.5,FALSE
891f2a6404bffff,2444.2,FALSE
891f2a77427ffff,0,TRUE
891f2a67023ffff,1269.2,FALSE
891f2a0db17ffff,0,TRUE
891f2a64edbffff,697.5,FALSE
891f2a7423bffff,1554.8,FALSE
891f2a6e077ffff,205.3,FALSE
891f2a62d93ffff,2204.8,FALSE
891f2a77213ffff,387.2,FALSE
891f2a66e0fffff,383.8,FALSE
891f2a0d903ffff,479.5,FALSE
891f2a60c4bffff,592.9,FALSE
891f2a65d6bffff,0,TRUE
891f2a750cbffff,1216.1,FALSE
891f2a64cc7ffff,943,FALSE
891f2a74027ffff,803.8,FALSE
891f2a60a37ffff,421.6,FALSE
891f2a65b57ffff,332,FALSE
891f2a74eb7ffff,614.2,FALSE
891f2a64ab3ffff,938,FALSE
891f2a6296bffff,781.1,FALSE
891f2a618c7ffff,341.6,FALSE
891f0c93623ffff,389.2,FALSE
891f2a70c27ffff,61.9,TRUE
891f2a75d47ffff,2451.3,FALSE
891f2a60823ffff,0,TRUE
891f2a65943ffff,42.2,TRUE
891f0c9a677ffff,0,TRUE
891f2a72b5bffff,984.4,FALSE
891f2a6c997ffff,1176.8,FALSE
891f0c995d3ffff,2394,FALSE
891f2a70a13ffff,361.6,FALSE
891f2a75b33ffff,1008,FALSE
891f2a6060fffff,330.7,FALSE
891f2a74a8fffff,954.9,FALSE
891f2a6468bffff,1746.3,FALSE
891f0c9b507ffff,50.5,TRUE
891f2a6e8cbffff,0,TRUE
891f0c9a463ffff,103.9,TRUE
891f2a72947ffff,275.3,FALSE
891f2a62543ffff,1510.1,FALSE
891f2a67663ffff,0,TRUE
891f2a6551bffff,2283.9,FALSE
891f2a7487bffff,87.1,TRUE
891f2a64477ffff,1272.9,FALSE
891f2a6e6b7ffff,1602.4,FALSE
891f0c9a24fffff,0,TRUE
891f2a6232fffff,657.1,FALSE
891f2a6744fffff,514.1,FALSE
891f2a663abffff,822.6,FALSE
891f2a65307ffff,860.4,FALSE
891f2a74667ffff,1456.2,FALSE
891f2a64263ffff,1455.8,FALSE
891f2a6e4a3ffff,723.4,FALSE
891f0c9a03bffff,781.1,FALSE
891f2a6211bffff,968.8,FALSE
891f2a6723bffff,0,TRUE
891f2a66197ffff,2111.8,FALSE
891f2a74453ffff,336.7,FALSE
891f2a6404fffff,2231.5,FALSE
891f2a7742bffff,126.3,TRUE
891f2a67027ffff,1607.3,FALSE
891f2a0db1bffff,0,TRUE
891f2a60e63ffff,173,TRUE
891f2a6e07bffff,241,FALSE
891f2a62d97ffff,2504,FALSE
891f2a77217ffff,716.4,FALSE
891f2a66e13ffff,696.1,FALSE
891f2a0d907ffff,716.4,FALSE
891f2a60c4fffff,485,FALSE
891f2a65d6fffff,0,TRUE
891f2a750cfffff,1109.7,FALSE
891f2a64ccbffff,964.1,FALSE
891f2a7402bffff,416.5,FALSE
891f2a62b83ffff,995.4,FALSE
891f2a6cdc3ffff,115.1,TRUE
891f2a77003ffff,235.7,FALSE
891f2a60a3bffff,392.8,FALSE
891f2a65b5bffff,724.2,FALSE
891f2a74ebbffff,688,FALSE
891f2a64ab7ffff,1240.9,FALSE
891f2a6296fffff,832.5,FALSE
891f2a618cbffff,853.9,FALSE
891f0c93627ffff,714.4,FALSE
891f2a70c2bffff,0,TRUE
891f2a75d4bffff,2579.1,FALSE
891f2a60827ffff,0,TRUE
891f2a65947ffff,0,TRUE
891f2a648a3ffff,916.1,FALSE
891f0c9a67bffff,0,TRUE
891f2a6c99bffff,1316.2,FALSE
891f0c995d7ffff,2586.9,FALSE
891f2a70a17ffff,28.7,TRUE
891f2a75b37ffff,754.1,FALSE
891f2a60613ffff,120.5,TRUE
891f2a74a93ffff,706,FALSE
891f2a6468fffff,1789,FALSE
891f2a6e8cfffff,145,TRUE
891f0c9b50bffff,600.2,FALSE
891f0c9a467ffff,191,FALSE
891f2a7294bffff,485,FALSE
891f2a62547ffff,1845,FALSE
891f2a67667ffff,0,TRUE
891f2a614a3ffff,1320.7,FALSE
891f2a665c3ffff,956.3,FALSE
891f2a70803ffff,354,FALSE
891f2a75923ffff,344.5,FALSE
891f2a6447bffff,1683.2,FALSE
891f2a6e6bbffff,1405.9,FALSE
891f2a633d7ffff,1187.5,FALSE
891f0c9a253ffff,0,TRUE
