layer_id,status,message
population_points,ok,
buildings_low,ok,
buildings_high,ok,
built_centre,ok,
built_low_selection,ok,
roads_small,empty_after_filter,No features after filtering and DAGI clipping.
roads_medium,ok,
roads_large,ok,
high_voltage_lines,ok,
underground_cables,ok,
power_substations,ok,
existing_wind_turbines,ok,
cultural_preservation,ok,
valuable_cultural_environment,ok,
cultural_conservation_values,ok,
protected_areas,ok,
natura_designated_land,ok,
natura_bird_protection,ok,
natura_habitat_areas,ok,
natura_ramsar,ok,
nature_wildlife_reserve,ok,
nature_area_forest,ok,
aviation_approach_zones,ok,
aviation_bird_collision,ok,
military_areas,ok,
coastal_zone_3km,ok,
strand_protection,ok,
