hex_id,distance_m,intersects
891f0c91643ffff,17510.3,False
891f0c9164bffff,17331.1,False
891f0c91653ffff,17462.1,False
891f0c9165bffff,17260.3,False
891f0c916c3ffff,17535.4,False
891f0c916cbffff,17384.6,False
891f0c916cfffff,17609.0,False
891f0c916d3ffff,17523.8,False
891f0c916d7ffff,17754.6,False
891f0c916dbffff,17286.9,False
891f0c932c3ffff,18889.8,False
891f0c932c7ffff,19099.9,False
891f0c932cbffff,18635.0,False
891f0c932d3ffff,18787.9,False
891f0c932d7ffff,19042.3,False
891f0c932dbffff,18554.8,False
891f0c93603ffff,18861.7,False
891f0c9360bffff,18733.5,False
891f0c9360fffff,19001.6,False
891f0c93613ffff,18898.9,False
891f0c93617ffff,19062.1,False
891f0c9361bffff,18658.1,False
891f0c9362bffff,19334.5,False
891f0c9363bffff,19331.0,False
891f0c93643ffff,18174.8,False
891f0c93647ffff,18504.4,False
891f0c9364bffff,17936.8,False
891f0c9364fffff,18267.3,False
891f0c93653ffff,18087.0,False
891f0c93657ffff,18415.3,False
891f0c9365bffff,17845.6,False
891f0c93663ffff,18928.6,False
891f0c93667ffff,19136.8,False
891f0c9366bffff,18692.7,False
891f0c9366fffff,18993.5,False
891f0c93673ffff,18834.3,False
891f0c93677ffff,19165.1,False
891f0c9367bffff,18597.9,False
891f0c9368bffff,18701.3,False
891f0c9368fffff,19043.5,False
891f0c9369bffff,18694.4,False
891f0c936c3ffff,18251.1,False
891f0c936c7ffff,18573.5,False
891f0c936cbffff,18004.0,False
891f0c936cfffff,18330.8,False
891f0c936d3ffff,18176.2,False
891f0c936d7ffff,18500.4,False
891f0c936dbffff,17925.8,False
891f0c98453ffff,14909.1,False
891f0c9845bffff,14882.1,False
891f0c9849bffff,14987.8,False
891f0c984cbffff,14706.2,False
891f0c984d3ffff,14615.0,False
891f0c984dbffff,14548.1,False
891f0c98693ffff,14480.1,False
891f0c98697ffff,14710.3,False
891f0c9869bffff,14325.0,False
891f0c986c3ffff,14135.3,False
891f0c986cbffff,14061.3,False
891f0c986d3ffff,14006.2,False
891f0c986d7ffff,14220.2,False
891f0c986dbffff,13935.9,False
891f0c99483ffff,12211.5,False
891f0c99487ffff,12493.1,False
891f0c99493ffff,11931.9,False
891f0c99497ffff,12235.5,False
891f0c994a3ffff,13051.8,False
891f0c994a7ffff,13358.7,False
891f0c994afffff,13297.0,False
891f0c994b3ffff,12797.1,False
891f0c994b7ffff,13094.9,False
891f0c994bbffff,12805.6,False
891f0c99593ffff,13901.9,False
891f0c995d3ffff,13622.2,False
891f0c995dbffff,13532.0,False
891f0c9a013ffff,15401.3,False
891f0c9a017ffff,15623.7,False
891f0c9a01bffff,14995.8,False
891f0c9a043ffff,14776.5,False
891f0c9a04bffff,14626.7,False
891f0c9a04fffff,14855.3,False
891f0c9a053ffff,14629.1,False
891f0c9a057ffff,14855.6,False
891f0c9a05bffff,14456.3,False
891f0c9a083ffff,15367.4,False
891f0c9a087ffff,15659.0,False
891f0c9a08bffff,15176.1,False
891f0c9a08fffff,15515.3,False
891f0c9a093ffff,15224.2,False
891f0c9a097ffff,15562.9,False
891f0c9a09bffff,15028.4,False
891f0c9a0b3ffff,15944.7,False
891f0c9a0bbffff,15729.8,False
891f0c9a0c3ffff,14649.9,False
891f0c9a0c7ffff,14978.3,False
891f0c9a0cbffff,14467.5,False
891f0c9a0cfffff,14806.0,False
891f0c9a0d3ffff,14497.8,False
891f0c9a0d7ffff,14836.9,False
891f0c9a0dbffff,14310.6,False
891f0c9a20bffff,14133.6,False
891f0c9a213ffff,14002.6,False
