hex_id,distance_m,intersects
891f0c91643ffff,2093.3,False
891f0c9164bffff,1813.5,False
891f0c91653ffff,2210.2,False
891f0c9165bffff,1908.4,False
891f0c916c3ffff,2622.8,False
891f0c916cbffff,2345.9,False
891f0c916cfffff,2459.2,False
891f0c916d3ffff,2813.6,False
891f0c916d7ffff,2927.3,False
891f0c916dbffff,2497.2,False
891f0c932c3ffff,6140.6,False
891f0c932c7ffff,6251.9,False
891f0c932cbffff,5850.2,False
891f0c932d3ffff,6344.1,False
891f0c932d7ffff,6398.9,False
891f0c932dbffff,6047.9,False
891f0c93603ffff,7604.1,False
891f0c9360bffff,7280.6,False
891f0c9360fffff,7275.9,False
891f0c93613ffff,7824.6,False
891f0c93617ffff,7789.5,False
891f0c9361bffff,7552.2,False
891f0c9362bffff,7190.0,False
891f0c9363bffff,7319.0,False
891f0c93643ffff,6989.4,False
891f0c93647ffff,7029.5,False
891f0c9364bffff,6713.0,False
891f0c9364fffff,6745.6,False
891f0c93653ffff,7237.8,False
891f0c93657ffff,7269.3,False
891f0c9365bffff,6965.6,False
891f0c93663ffff,6860.8,False
891f0c93667ffff,6921.3,False
891f0c9366bffff,6566.3,False
891f0c9366fffff,6637.2,False
891f0c93673ffff,7085.6,False
891f0c93677ffff,7159.6,False
891f0c9367bffff,6795.0,False
891f0c9368bffff,8052.2,False
891f0c9368fffff,8026.6,False
891f0c9369bffff,8298.6,False
891f0c936c3ffff,7762.6,False
891f0c936c7ffff,7782.5,False
891f0c936cbffff,7490.5,False
891f0c936cfffff,7513.8,False
891f0c936d3ffff,8015.4,False
891f0c936d7ffff,8038.2,False
891f0c936dbffff,7746.9,False
891f0c98453ffff,4562.8,False
891f0c9845bffff,4805.1,False
891f0c9849bffff,3532.0,False
891f0c984cbffff,4335.1,False
891f0c984d3ffff,3806.1,False
891f0c984dbffff,4072.2,False
891f0c98693ffff,5169.8,False
891f0c98697ffff,5064.1,False
891f0c9869bffff,5496.7,False
891f0c986c3ffff,6186.6,False
891f0c986cbffff,6433.4,False
891f0c986d3ffff,5934.1,False
891f0c986d7ffff,5815.2,False
891f0c986dbffff,6246.5,False
891f0c99483ffff,8581.8,False
891f0c99487ffff,8473.6,False
891f0c99493ffff,8548.1,False
891f0c99497ffff,8357.9,False
891f0c994a3ffff,8430.6,False
891f0c994a7ffff,8286.0,False
891f0c994afffff,8482.4,False
891f0c994b3ffff,8303.0,False
891f0c994b7ffff,8130.4,False
891f0c994bbffff,8521.2,False
891f0c99593ffff,7396.4,False
891f0c995d3ffff,8135.2,False
891f0c995dbffff,8353.9,False
891f0c9a013ffff,200.1,False
891f0c9a017ffff,262.2,False
