hex_id,distance_m,intersects
891f0c91643ffff,880.5,False
891f0c9164bffff,592.7,False
891f0c91653ffff,1036.1,False
891f0c9165bffff,732.0,False
891f0c916c3ffff,1321.0,False
891f0c916cbffff,1235.8,False
891f0c916cfffff,1293.4,False
891f0c916d3ffff,1281.3,False
891f0c916d7ffff,1513.6,False
891f0c916dbffff,1067.1,False
891f0c932c3ffff,757.8,False
891f0c932c7ffff,918.6,False
891f0c932cbffff,698.4,False
891f0c932d3ffff,517.2,False
891f0c932d7ffff,760.2,False
891f0c932dbffff,499.9,False
891f0c93603ffff,10.4,True
891f0c9360bffff,28.8,True
891f0c9360fffff,70.9,True
891f0c93613ffff,63.4,True
891f0c93617ffff,102.9,False
891f0c9361bffff,3.7,True
891f0c9362bffff,108.6,False
891f0c9363bffff,177.4,False
891f0c93643ffff,26.3,True
891f0c93647ffff,0.0,True
891f0c9364bffff,310.1,False
891f0c9364fffff,175.8,False
891f0c93653ffff,179.2,False
891f0c93657ffff,0.0,True
891f0c9365bffff,193.9,False
891f0c93663ffff,191.1,False
891f0c93667ffff,220.5,False
891f0c9366bffff,373.1,False
891f0c9366fffff,467.7,False
891f0c93673ffff,23.1,True
891f0c93677ffff,13.7,True
891f0c9367bffff,220.7,False
891f0c9368bffff,177.8,False
891f0c9368fffff,110.3,False
891f0c9369bffff,299.6,False
891f0c936c3ffff,111.1,True
891f0c936c7ffff,24.2,True
891f0c936cbffff,299.5,False
891f0c936cfffff,157.3,False
891f0c936d3ffff,220.9,False
891f0c936d7ffff,71.6,True
891f0c936dbffff,175.9,False
891f0c98453ffff,281.1,False
891f0c9845bffff,39.4,True
891f0c9849bffff,227.7,False
891f0c984cbffff,516.3,False
891f0c984d3ffff,175.0,False
891f0c984dbffff,315.9,False
891f0c98693ffff,141.2,True
891f0c98697ffff,141.1,False
891f0c9869bffff,348.1,False
891f0c986c3ffff,497.2,False
891f0c986cbffff,558.4,False
891f0c986d3ffff,270.3,False
891f0c986d7ffff,254.3,False
891f0c986dbffff,343.5,False
891f0c99483ffff,982.4,False
891f0c99487ffff,709.7,False
891f0c99493ffff,1051.9,False
891f0c99497ffff,855.7,False
891f0c994a3ffff,453.8,False
891f0c994a7ffff,452.2,False
891f0c994afffff,573.2,False
891f0c994b3ffff,391.8,False
891f0c994b7ffff,167.6,True
891f0c994bbffff,579.9,False
891f0c99593ffff,1062.0,False
891f0c995d3ffff,611.9,False
891f0c995dbffff,626.1,False
891f0c9a013ffff,250.5,False
891f0c9a017ffff,288.5,False
891f0c9a01bffff,664.9,False
891f0c9a043ffff,789.9,False
891f0c9a04bffff,516.4,False
891f0c9a04fffff,727.7,False
891f0c9a053ffff,826.9,False
891f0c9a057ffff,884.1,False
891f0c9a05bffff,614.7,False
891f0c9a083ffff,58.2,True
891f0c9a087ffff,33.3,True
891f0c9a08bffff,78.5,True
891f0c9a08fffff,127.9,True
891f0c9a093ffff,60.3,True
891f0c9a097ffff,11.5,True
891f0c9a09bffff,116.7,True
891f0c9a0b3ffff,284.4,False
891f0c9a0bbffff,193.7,False
891f0c9a0c3ffff,482.3,False
891f0c9a0c7ffff,391.5,False
891f0c9a0cbffff,521.1,False
891f0c9a0cfffff,703.6,False
891f0c9a0d3ffff,296.2,False
891f0c9a0d7ffff,378.1,False
891f0c9a0dbffff,215.3,False
891f0c9a20bffff,498.5,False
891f0c9a213ffff,187.9,False
891f0c9a21bffff,314.1,False
891f0c9a243ffff,475.4,False
891f0c9a247ffff,578.2,False
891f0c9a24bffff,514.0,False
891f0c9a24fffff,586.5,False
891f0c9a253ffff,270.1,False
891f0c9a257ffff,273.7,False
891f0c9a25bffff,589.6,False
891f0c9a263ffff,255.7,False
891f0c9a26bffff,206.7,False
891f0c9a26fffff,39.3,True
891f0c9a273ffff,572.8,False
891f0c9a27bffff,450.8,False
891f0c9a283ffff,146.6,True
891f0c9a287ffff,175.1,False
891f0c9a28bffff,83.0,True
891f0c9a28fffff,51.7,True
891f0c9a293ffff,428.3,False
891f0c9a297ffff,312.4,False
891f0c9a29bffff,351.3,False
891f0c9a2b3ffff,406.7,False
891f0c9a2c3ffff,39.1,True
891f0c9a2c7ffff,113.2,True
891f0c9a2cbffff,326.4,False
891f0c9a2cfffff,50.3,True
891f0c9a2d3ffff,298.1,False
891f0c9a2d7ffff,190.8,False
891f0c9a2dbffff,324.4,False
891f0c9a403ffff,655.2,False
891f0c9a407ffff,387.3,False
891f0c9a40bffff,534.9,False
891f0c9a40fffff,360.7,False
891f0c9a413ffff,917.3,False
891f0c9a417ffff,597.7,False
891f0c9a41bffff,831.7,False
891f0c9a423ffff,4.3,True
891f0c9a427ffff,81.7,True
891f0c9a42bffff,75.0,True
891f0c9a42fffff,40.7,True
891f0c9a433ffff,49.9,True
891f0c9a437ffff,121.1,True
891f0c9a43bffff,280.7,False
891f0c9a443ffff,726.3,False
891f0c9a447ffff,538.6,False
891f0c9a44bffff,743.2,False
891f0c9a44fffff,437.6,False
891f0c9a453ffff,1024.9,False
891f0c9a457ffff,819.8,False
891f0c9a45bffff,973.0,False
891f0c9a463ffff,188.2,False
891f0c9a467ffff,141.5,True
891f0c9a46bffff,133.1,True
891f0c9a46fffff,397.8,False
891f0c9a473ffff,259.8,False
891f0c9a477ffff,133.5,True
891f0c9a47bffff,246.2,False
891f0c9a483ffff,996.1,False
891f0c9a487ffff,693.9,False
891f0c9a48bffff,1158.4,False
891f0c9a48fffff,866.8,False
891f0c9a493ffff,867.0,False
891f0c9a497ffff,748.8,False
891f0c9a49bffff,1024.9,False
891f0c9a4a3ffff,456.4,False
891f0c9a4a7ffff,512.6,False
891f0c9a4abffff,321.2,False
891f0c9a4afffff,197.2,False
891f0c9a4b3ffff,448.1,False
891f0c9a4b7ffff,387.1,False
891f0c9a4bbffff,619.2,False
891f0c9a4c3ffff,1278.9,False
891f0c9a4c7ffff,1133.3,False
891f0c9a4cbffff,1025.6,False
891f0c9a4cfffff,1088.2,False
891f0c9a4d3ffff,1258.1,False
891f0c9a4d7ffff,1246.3,False
891f0c9a4dbffff,973.4,False
891f0c9a513ffff,204.7,False
891f0c9a543ffff,46.0,False
891f0c9a54bffff,182.7,True
891f0c9a54fffff,249.8,False
891f0c9a553ffff,30.5,True
891f0c9a55bffff,17.8,True
891f0c9a583ffff,155.3,False
891f0c9a587ffff,264.0,False
891f0c9a58bffff,66.7,True
891f0c9a58fffff,89.2,True
891f0c9a593ffff,393.4,False
891f0c9a597ffff,421.8,False
891f0c9a59bffff,157.2,True
891f0c9a5c3ffff,216.3,False
891f0c9a5c7ffff,55.0,True
891f0c9a5cbffff,67.3,True
891f0c9a5cfffff,40.8,True
891f0c9a5d3ffff,432.6,False
891f0c9a5d7ffff,285.4,False
891f0c9a5dbffff,253.8,False
891f0c9a603ffff,786.7,False
891f0c9a607ffff,878.9,False
891f0c9a60bffff,468.4,False
891f0c9a60fffff,738.9,False
891f0c9a613ffff,937.4,False
891f0c9a617ffff,930.6,False
891f0c9a61bffff,631.4,False
891f0c9a623ffff,758.5,False
891f0c9a627ffff,717.3,False
891f0c9a62bffff,729.7,False
891f0c9a62fffff,583.2,False
891f0c9a633ffff,612.9,False
891f0c9a637ffff,456.8,False
891f0c9a63bffff,930.5,False
891f0c9a643ffff,226.1,False
891f0c9a647ffff,155.9,True
891f0c9a64bffff,427.9,False
891f0c9a64fffff,181.4,False
891f0c9a653ffff,486.4,False
891f0c9a657ffff,350.5,False
891f0c9a65bffff,418.2,False
891f0c9a663ffff,649.1,False
891f0c9a667ffff,653.4,False
891f0c9a66bffff,379.7,False
891f0c9a66fffff,496.1,False
891f0c9a673ffff,476.4,False
891f0c9a677ffff,812.3,False
891f0c9a67bffff,334.8,False
891f0c9a683ffff,649.9,False
891f0c9a687ffff,883.9,False
891f0c9a68bffff,649.5,False
891f0c9a68fffff,909.0,False
891f0c9a693ffff,453.3,False
891f0c9a697ffff,791.9,False
891f0c9a69bffff,352.6,False
891f0c9a6a3ffff,396.5,False
891f0c9a6a7ffff,88.8,True
891f0c9a6abffff,602.3,False
891f0c9a6afffff,299.5,False
891f0c9a6b3ffff,544.7,False
891f0c9a6b7ffff,205.9,False
891f0c9a6bbffff,732.6,False
891f0c9a6c3ffff,652.7,False
891f0c9a6c7ffff,787.4,False
891f0c9a6cbffff,405.1,False
891f0c9a6cfffff,638.9,False
891f0c9a6d3ffff,353.2,False
891f0c9a6d7ffff,484.2,False
891f0c9a6dbffff,527.4,False
891f0c9b003ffff,247.6,False
891f0c9b007ffff,564.7,False
891f0c9b00bffff,132.8,True
891f0c9b00fffff,389.2,False
891f0c9b013ffff,327.6,False
891f0c9b017ffff,494.9,False
891f0c9b01bffff,183.3,False
891f0c9b023ffff,958.3,False
891f0c9b027ffff,623.9,False
891f0c9b02bffff,948.2,False
891f0c9b02fffff,884.6,False
891f0c9b033ffff,898.2,False
891f0c9b037ffff,771.3,False
891f0c9b03bffff,717.9,False
891f0c9b043ffff,203.2,False
891f0c9b047ffff,234.0,False
891f0c9b04bffff,520.1,False
891f0c9b04fffff,400.5,False
891f0c9b053ffff,301.2,False
891f0c9b057ffff,127.1,True
891f0c9b05bffff,507.4,False
