hex_id,distance_m,intersects
891f0c91643ffff,2549.8,False
891f0c9164bffff,2253.7,False
891f0c91653ffff,2725.6,False
891f0c9165bffff,2422.2,False
891f0c916c3ffff,3202.1,False
891f0c916cbffff,2919.1,False
891f0c916cfffff,2983.0,False
891f0c916d3ffff,3424.5,False
891f0c916d7ffff,3499.4,False
891f0c916dbffff,3121.1,False
891f0c932c3ffff,2651.9,False
891f0c932c7ffff,2766.6,False
891f0c932cbffff,2685.0,False
891f0c932d3ffff,2367.0,False
891f0c932d7ffff,2577.3,False
891f0c932dbffff,2424.2,False
891f0c93603ffff,1554.2,False
891f0c9360bffff,1585.7,False
891f0c9360fffff,1879.1,False
891f0c93613ffff,1513.5,False
891f0c93617ffff,1702.9,False
891f0c9361bffff,1355.7,False
891f0c9362bffff,2300.9,False
891f0c9363bffff,2220.7,False
891f0c93643ffff,1240.8,False
891f0c93647ffff,1520.1,False
891f0c9364bffff,1302.4,False
891f0c9364fffff,1531.0,False
891f0c93653ffff,960.3,False
891f0c93657ffff,1259.7,False
891f0c9365bffff,999.3,False
891f0c93663ffff,2080.5,False
891f0c93667ffff,2260.2,False
891f0c9366bffff,2078.1,False
891f0c9366fffff,2324.7,False
891f0c93673ffff,1819.8,False
891f0c93677ffff,2130.6,False
891f0c9367bffff,1794.8,False
891f0c9368bffff,1258.4,False
891f0c9368fffff,1620.7,False
891f0c9369bffff,1257.4,False
891f0c936c3ffff,836.1,False
891f0c936c7ffff,1174.6,False
891f0c936cbffff,700.9,False
891f0c936cfffff,1024.5,False
891f0c936d3ffff,731.5,False
891f0c936d7ffff,1053.8,False
891f0c936dbffff,497.1,False
891f0c98453ffff,1849.2,False
891f0c9845bffff,1925.2,False
891f0c9849bffff,1806.7,False
891f0c984cbffff,1585.3,False
891f0c984d3ffff,1414.3,False
891f0c984dbffff,1369.1,False
891f0c98693ffff,1814.7,False
891f0c98697ffff,1920.8,False
891f0c9869bffff,1950.7,False
891f0c986c3ffff,2434.5,False
891f0c986cbffff,2626.8,False
891f0c986d3ffff,2151.7,False
891f0c986d7ffff,2151.8,False
891f0c986dbffff,2407.2,False
891f0c99483ffff,3321.5,False
891f0c99487ffff,3414.8,False
891f0c99493ffff,3118.6,False
891f0c99497ffff,3148.6,False
891f0c994a3ffff,3766.0,False
891f0c994a7ffff,3814.9,False
891f0c994afffff,3968.1,False
891f0c994b3ffff,3492.4,False
891f0c994b7ffff,3564.3,False
891f0c994bbffff,3662.9,False
891f0c99593ffff,3342.4,False
891f0c995d3ffff,3798.6,False
891f0c995dbffff,3949.5,False
891f0c9a013ffff,800.4,False
891f0c9a017ffff,632.3,False
891f0c9a01bffff,1380.1,False
891f0c9a043ffff,1870.3,False
891f0c9a04bffff,2146.4,False
891f0c9a04fffff,1966.3,False
891f0c9a053ffff,1789.9,False
891f0c9a057ffff,1604.6,False
891f0c9a05bffff,2098.5,False
891f0c9a083ffff,668.0,False
891f0c9a087ffff,375.6,False
891f0c9a08bffff,910.5,False
891f0c9a08fffff,608.2,False
891f0c9a093ffff,834.9,False
891f0c9a097ffff,501.4,False
891f0c9a09bffff,1005.9,False
891f0c9a0b3ffff,97.4,True
891f0c9a0bbffff,422.5,False
891f0c9a0c3ffff,1493.1,False
891f0c9a0c7ffff,1198.5,False
891f0c9a0cbffff,1773.3,False
891f0c9a0cfffff,1485.9,False
891f0c9a0d3ffff,1561.4,False
891f0c9a0d7ffff,1232.3,False
891f0c9a0dbffff,1809.1,False
891f0c9a20bffff,1307.0,False
891f0c9a213ffff,1643.2,False
891f0c9a21bffff,1394.0,False
891f0c9a243ffff,803.6,False
891f0c9a247ffff,1094.1,False
891f0c9a24bffff,510.1,False
891f0c9a24fffff,829.4,False
891f0c9a253ffff,889.2,False
891f0c9a257ffff,1111.6,False
891f0c9a25bffff,569.7,False
891f0c9a263ffff,1446.0,False
891f0c9a26bffff,1296.8,False
891f0c9a26fffff,1626.5,False
891f0c9a273ffff,1322.0,False
891f0c9a27bffff,1160.1,False
891f0c9a283ffff,2167.9,False
891f0c9a287ffff,2369.3,False
891f0c9a28bffff,1838.7,False
891f0c9a28fffff,2016.2,False
891f0c9a293ffff,2057.6,False
891f0c9a297ffff,2392.9,False
891f0c9a29bffff,1848.4,False
891f0c9a2b3ffff,2308.3,False
891f0c9a2c3ffff,1369.0,False
891f0c9a2c7ffff,1528.5,False
891f0c9a2cbffff,1059.7,False
891f0c9a2cfffff,1208.9,False
891f0c9a2d3ffff,1337.7,False
891f0c9a2d7ffff,1674.5,False
891f0c9a2dbffff,1226.8,False
891f0c9a403ffff,1870.7,False
891f0c9a407ffff,1582.5,False
891f0c9a40bffff,1929.4,False
891f0c9a40fffff,1613.6,False
891f0c9a413ffff,2140.6,False
891f0c9a417ffff,1865.7,False
891f0c9a41bffff,2173.7,False
891f0c9a423ffff,1027.8,False
891f0c9a427ffff,792.6,False
891f0c9a42bffff,1054.8,False
891f0c9a42fffff,748.6,False
891f0c9a433ffff,1318.9,False
891f0c9a437ffff,1097.6,False
891f0c9a43bffff,1309.6,False
891f0c9a443ffff,2371.2,False
891f0c9a447ffff,2037.1,False
891f0c9a44bffff,2524.3,False
891f0c9a44fffff,2186.2,False
891f0c9a453ffff,2578.9,False
891f0c9a457ffff,2252.0,False
891f0c9a45bffff,2706.6,False
891f0c9a463ffff,1509.6,False
891f0c9a467ffff,1171.7,False
891f0c9a46bffff,1683.4,False
891f0c9a46fffff,1344.5,False
891f0c9a473ffff,1705.0,False
891f0c9a477ffff,1376.5,False
891f0c9a47bffff,1848.0,False
891f0c9a483ffff,2448.3,False
891f0c9a487ffff,2215.9,False
891f0c9a48bffff,2419.1,False
891f0c9a48fffff,2155.0,False
891f0c9a493ffff,2744.3,False
891f0c9a497ffff,2518.1,False
891f0c9a49bffff,2703.4,False
891f0c9a4a3ffff,1708.4,False
891f0c9a4a7ffff,1549.6,False
891f0c9a4abffff,1615.4,False
891f0c9a4afffff,1402.9,False
891f0c9a4b3ffff,2014.0,False
891f0c9a4b7ffff,1852.6,False
891f0c9a4bbffff,1914.8,False
891f0c9a4c3ffff,2734.2,False
891f0c9a4c7ffff,2431.9,False
891f0c9a4cbffff,2804.6,False
891f0c9a4cfffff,2486.0,False
891f0c9a4d3ffff,2993.0,False
891f0c9a4d7ffff,2700.0,False
891f0c9a4dbffff,3044.3,False
891f0c9a513ffff,1357.8,False
891f0c9a543ffff,385.3,False
891f0c9a54bffff,118.2,False
891f0c9a54fffff,127.6,False
891f0c9a553ffff,682.7,False
891f0c9a55bffff,515.3,False
891f0c9a583ffff,1799.5,False
891f0c9a587ffff,1921.0,False
891f0c9a58bffff,1505.9,False
891f0c9a58fffff,1655.6,False
891f0c9a593ffff,2007.5,False
891f0c9a597ffff,2109.6,False
891f0c9a59bffff,1715.0,False
891f0c9a5c3ffff,1173.2,False
891f0c9a5c7ffff,1208.3,False
891f0c9a5cbffff,948.7,False
891f0c9a5cfffff,901.6,False
891f0c9a5d3ffff,1453.9,False
891f0c9a5d7ffff,1434.1,False
891f0c9a5dbffff,1247.9,False
891f0c9a603ffff,1661.4,False
891f0c9a607ffff,1924.2,False
891f0c9a60bffff,1351.0,False
891f0c9a60fffff,1626.0,False
891f0c9a613ffff,1750.4,False
891f0c9a617ffff,1974.8,False
891f0c9a61bffff,1431.1,False
891f0c9a623ffff,2229.7,False
891f0c9a627ffff,2065.0,False
891f0c9a62bffff,1967.1,False
891f0c9a62fffff,2292.4,False
891f0c9a633ffff,2208.0,False
891f0c9a637ffff,2076.5,False
891f0c9a63bffff,1921.6,False
891f0c9a643ffff,793.5,False
891f0c9a647ffff,1046.1,False
891f0c9a64bffff,476.5,False
891f0c9a64fffff,753.6,False
891f0c9a653ffff,937.3,False
891f0c9a657ffff,1112.1,False
891f0c9a65bffff,628.8,False
891f0c9a663ffff,1392.9,False
891f0c9a667ffff,1723.9,False
891f0c9a66bffff,1170.8,False
891f0c9a66fffff,1509.5,False
891f0c9a673ffff,1337.6,False
891f0c9a677ffff,1647.5,False
891f0c9a67bffff,1067.2,False
891f0c9a683ffff,2203.4,False
891f0c9a687ffff,2389.2,False
891f0c9a68bffff,1885.3,False
891f0c9a68fffff,2069.8,False
891f0c9a693ffff,2356.8,False
891f0c9a697ffff,2521.9,False
891f0c9a69bffff,2057.2,False
891f0c9a6a3ffff,2228.9,False
891f0c9a6a7ffff,1894.2,False
891f0c9a6abffff,2228.4,False
891f0c9a6afffff,2132.2,False
891f0c9a6b3ffff,2361.5,False
891f0c9a6b7ffff,2022.4,False
891f0c9a6bbffff,2289.9,False
891f0c9a6c3ffff,1443.2,False
891f0c9a6c7ffff,1567.9,False
891f0c9a6cbffff,1146.5,False
891f0c9a6cfffff,1251.5,False
891f0c9a6d3ffff,1628.2,False
891f0c9a6d7ffff,1747.9,False
891f0c9a6dbffff,1391.9,False
891f0c9b003ffff,677.8,False
