hex_id,distance_m,intersects
891f0c91643ffff,14240.5,False
891f0c9164bffff,14022.7,False
891f0c91653ffff,14238.6,False
891f0c9165bffff,13998.9,False
891f0c916c3ffff,14406.1,False
891f0c916cbffff,14213.8,False
891f0c916cfffff,14421.0,False
891f0c916d3ffff,14444.6,False
891f0c916d7ffff,14660.5,False
891f0c916dbffff,14171.7,False
891f0c932c3ffff,16427.7,False
891f0c932c7ffff,16627.0,False
891f0c932cbffff,16115.0,False
891f0c932d3ffff,16443.4,False
891f0c932d7ffff,16650.9,False
891f0c932dbffff,16142.7,False
891f0c93603ffff,17070.2,False
891f0c9360bffff,16828.5,False
891f0c9360fffff,17018.6,False
891f0c93613ffff,17198.7,False
891f0c93617ffff,17298.8,False
891f0c9361bffff,16899.3,False
891f0c9362bffff,17213.1,False
891f0c9363bffff,17270.4,False
891f0c93643ffff,16283.3,False
891f0c93647ffff,16545.8,False
891f0c9364bffff,15975.9,False
891f0c9364fffff,16239.6,False
891f0c93653ffff,16332.5,False
891f0c93657ffff,16591.1,False
891f0c9365bffff,16023.6,False
891f0c93663ffff,16775.2,False
891f0c93667ffff,16950.9,False
891f0c9366bffff,16471.9,False
891f0c9366fffff,16721.0,False
891f0c93673ffff,16811.1,False
891f0c93677ffff,17080.5,False
891f0c9367bffff,16506.1,False
891f0c9368bffff,17161.6,False
891f0c9368fffff,17395.1,False
891f0c9369bffff,17270.4,False
891f0c936c3ffff,16698.0,False
891f0c936c7ffff,16944.1,False
891f0c936cbffff,16387.3,False
891f0c936cfffff,16641.8,False
891f0c936d3ffff,16759.5,False
891f0c936d7ffff,17009.0,False
891f0c936dbffff,16447.6,False
891f0c98453ffff,10690.7,False
891f0c9845bffff,10613.3,False
891f0c9849bffff,10860.7,False
891f0c984cbffff,10511.5,False
891f0c984d3ffff,10464.5,False
891f0c984dbffff,10374.9,False
891f0c98693ffff,10141.2,False
891f0c98697ffff,10389.9,False
891f0c9869bffff,9923.2,False
891f0c986c3ffff,9606.0,False
891f0c986cbffff,9489.1,False
891f0c986d3ffff,9525.8,False
891f0c986d7ffff,9758.5,False
891f0c986dbffff,9398.5,False
891f0c99483ffff,7367.7,False
891f0c99487ffff,7655.2,False
891f0c99493ffff,7095.4,False
891f0c99497ffff,7411.0,False
891f0c994a3ffff,8212.9,False
891f0c994a7ffff,8531.2,False
891f0c994afffff,8452.6,False
891f0c994b3ffff,7971.1,False
891f0c994b7ffff,8282.0,False
891f0c994bbffff,7960.5,False
891f0c99593ffff,9177.2,False
891f0c995d3ffff,8807.7,False
891f0c995dbffff,8698.4,False
891f0c9a013ffff,11712.7,False
891f0c9a017ffff,11934.1,False
891f0c9a01bffff,11244.8,False
891f0c9a043ffff,10954.8,False
891f0c9a04bffff,10771.1,False
891f0c9a04fffff,11005.6,False
891f0c9a053ffff,10850.0,False
891f0c9a057ffff,11077.9,False
891f0c9a05bffff,10636.4,False
891f0c9a083ffff,11752.7,False
891f0c9a087ffff,12043.6,False
891f0c9a08bffff,11520.3,False
891f0c9a08fffff,11853.2,False
891f0c9a093ffff,11659.2,False
891f0c9a097ffff,11989.0,False
891f0c9a09bffff,11421.5,False
891f0c9a0b3ffff,12322.7,False
891f0c9a0bbffff,12069.2,False
891f0c9a0c3ffff,10958.5,False
891f0c9a0c7ffff,11281.9,False
891f0c9a0cbffff,10733.7,False
891f0c9a0cfffff,11068.2,False
891f0c9a0d3ffff,10855.7,False
891f0c9a0d7ffff,11187.8,False
891f0c9a0dbffff,10625.0,False
891f0c9a20bffff,10086.4,False
891f0c9a213ffff,10026.4,False
891f0c9a21bffff,9952.1,False
891f0c9a243ffff,9650.9,False
891f0c9a247ffff,9989.6,False
891f0c9a24bffff,9490.0,False
891f0c9a24fffff,9827.9,False
891f0c9a253ffff,9480.5,False
891f0c9a257ffff,9819.6,False
891f0c9a25bffff,9312.3,False
891f0c9a263ffff,10460.8,False
891f0c9a26bffff,10348.3,False
891f0c9a26fffff,10675.4,False
891f0c9a273ffff,10252.2,False
891f0c9a27bffff,10165.9,False
891f0c9a283ffff,10225.7,False
891f0c9a287ffff,10525.7,False
891f0c9a28bffff,10028.3,False
891f0c9a28fffff,10242.3,False
891f0c9a293ffff,10090.3,False
891f0c9a297ffff,10428.1,False
891f0c9a29bffff,9887.1,False
891f0c9a2b3ffff,10754.2,False
891f0c9a2c3ffff,9500.1,False
891f0c9a2c7ffff,9839.4,False
891f0c9a2cbffff,9317.0,False
891f0c9a2cfffff,9656.3,False
891f0c9a2d3ffff,9351.3,False
891f0c9a2d7ffff,9690.3,False
891f0c9a2dbffff,9160.8,False
891f0c9a403ffff,11101.9,False
891f0c9a407ffff,11423.6,False
891f0c9a40bffff,10846.5,False
891f0c9a40fffff,11170.1,False
891f0c9a413ffff,11041.7,False
891f0c9a417ffff,11360.5,False
891f0c9a41bffff,10781.2,False
891f0c9a423ffff,11819.9,False
891f0c9a427ffff,12146.0,False
891f0c9a42bffff,11573.2,False
891f0c9a42fffff,11900.8,False
891f0c9a433ffff,11746.4,False
891f0c9a437ffff,12070.0,False
891f0c9a43bffff,11494.6,False
891f0c9a443ffff,10270.1,False
