hex_id,distance_m,intersects
891f0c91643ffff,26200.9,False
891f0c9164bffff,26481.9,False
891f0c91653ffff,25976.0,False
891f0c9165bffff,26260.6,False
891f0c916c3ffff,25460.6,False
891f0c916cbffff,25739.1,False
891f0c916cfffff,25726.4,False
891f0c916d3ffff,25217.8,False
891f0c916d7ffff,25181.4,False
891f0c916dbffff,25508.0,False
891f0c932c3ffff,21791.4,False
891f0c932c7ffff,21698.7,False
891f0c932cbffff,22071.7,False
891f0c932d3ffff,21575.3,False
891f0c932d7ffff,21537.3,False
891f0c932dbffff,21868.3,False
891f0c93603ffff,20320.6,False
891f0c9360bffff,20643.5,False
891f0c9360fffff,20639.8,False
891f0c93613ffff,20104.2,False
891f0c93617ffff,20129.4,False
891f0c9361bffff,20387.3,False
891f0c9362bffff,20741.4,False
891f0c9363bffff,20607.8,False
891f0c93643ffff,20981.9,False
891f0c93647ffff,20903.9,False
891f0c9364bffff,21280.2,False
891f0c9364fffff,21200.4,False
891f0c93653ffff,20765.7,False
891f0c93657ffff,20684.3,False
891f0c9365bffff,21065.2,False
891f0c93663ffff,21056.1,False
891f0c93667ffff,21003.8,False
891f0c9366bffff,21349.5,False
891f0c9366fffff,21286.6,False
891f0c93673ffff,20831.1,False
891f0c93677ffff,20761.3,False
891f0c9367bffff,21125.7,False
891f0c9368bffff,19908.2,False
891f0c9368fffff,19898.5,False
891f0c9369bffff,19679.4,False
891f0c936c3ffff,20251.8,False
891f0c936c7ffff,20179.1,False
891f0c936cbffff,20551.8,False
891f0c936cfffff,20466.9,False
891f0c936d3ffff,20039.0,False
891f0c936d7ffff,19952.4,False
891f0c936dbffff,20340.2,False
891f0c98453ffff,33743.9,False
891f0c9845bffff,33986.2,False
891f0c9849bffff,32710.9,False
891f0c984cbffff,33513.5,False
891f0c984d3ffff,32980.6,False
891f0c984dbffff,33242.9,False
891f0c98693ffff,34333.7,False
891f0c98697ffff,34241.3,False
891f0c9869bffff,34645.2,False
891f0c986c3ffff,35307.6,False
891f0c986cbffff,35541.5,False
891f0c986d3ffff,35040.1,False
891f0c986d7ffff,34950.1,False
891f0c986dbffff,35339.0,False
891f0c99483ffff,37218.7,False
891f0c99487ffff,37196.7,False
891f0c99493ffff,37094.3,False
891f0c99497ffff,37005.2,False
891f0c994a3ffff,37301.4,False
891f0c994a7ffff,37229.2,False
891f0c994afffff,37407.4,False
891f0c994b3ffff,37113.1,False
891f0c994b7ffff,37018.7,False
891f0c994bbffff,37328.8,False
