hex_id,distance_m,intersects
891f0c91643ffff,2552.9,False
891f0c9164bffff,2532.1,False
891f0c91653ffff,2388.4,False
891f0c9165bffff,2326.9,False
891f0c916c3ffff,2240.5,False
891f0c916cbffff,2189.5,False
891f0c916cfffff,2424.0,False
891f0c916d3ffff,2112.2,False
891f0c916d7ffff,2282.7,False
891f0c916dbffff,1988.7,False
891f0c932c3ffff,0.0,True
891f0c932c7ffff,173.3,False
891f0c932cbffff,216.4,False
891f0c932d3ffff,0.0,True
891f0c932d7ffff,70.3,True
891f0c932dbffff,103.0,True
891f0c93603ffff,680.2,False
891f0c9360bffff,626.9,False
891f0c9360fffff,473.9,False
891f0c93613ffff,504.8,False
891f0c93617ffff,697.0,False
891f0c9361bffff,580.5,False
891f0c9362bffff,313.3,False
891f0c9363bffff,422.3,False
891f0c93643ffff,858.4,False
891f0c93647ffff,595.7,False
891f0c9364bffff,908.6,False
891f0c9364fffff,589.2,False
891f0c93653ffff,813.8,False
891f0c93657ffff,780.3,False
891f0c9365bffff,1123.0,False
891f0c93663ffff,46.8,True
891f0c93667ffff,39.6,True
891f0c9366bffff,38.1,True
891f0c9366fffff,0.0,True
891f0c93673ffff,351.3,False
891f0c93677ffff,265.9,False
891f0c9367bffff,313.9,False
891f0c9368bffff,121.7,False
891f0c9368fffff,508.2,False
891f0c9369bffff,29.2,True
891f0c936c3ffff,335.4,False
891f0c936c7ffff,285.8,False
891f0c936cbffff,653.5,False
891f0c936cfffff,517.1,False
891f0c936d3ffff,159.4,False
891f0c936d7ffff,25.8,True
891f0c936dbffff,421.9,False
891f0c98453ffff,1134.9,False
891f0c9845bffff,1161.5,False
891f0c9849bffff,1350.2,False
891f0c984cbffff,926.2,False
891f0c984d3ffff,971.9,False
891f0c984dbffff,823.8,False
891f0c98693ffff,941.0,False
891f0c98697ffff,1104.9,False
891f0c9869bffff,1030.5,False
891f0c986c3ffff,1539.0,False
891f0c986cbffff,1457.0,False
891f0c986d3ffff,1258.8,False
891f0c986d7ffff,1234.2,False
891f0c986dbffff,1343.1,False
891f0c99483ffff,1954.7,False
891f0c99487ffff,1858.8,False
891f0c99493ffff,1940.6,False
891f0c99497ffff,1730.8,False
891f0c994a3ffff,1936.9,False
891f0c994a7ffff,1922.7,False
891f0c994afffff,2073.6,False
891f0c994b3ffff,1740.9,False
891f0c994b7ffff,1670.1,False
891f0c994bbffff,1957.6,False
891f0c99593ffff,1590.6,False
891f0c995d3ffff,1929.0,False
891f0c995dbffff,2063.2,False
891f0c9a013ffff,2851.9,False
891f0c9a017ffff,3074.4,False
891f0c9a01bffff,2427.9,False
891f0c9a043ffff,2245.0,False
891f0c9a04bffff,2125.8,False
891f0c9a04fffff,2345.4,False
891f0c9a053ffff,2067.8,False
891f0c9a057ffff,2292.0,False
891f0c9a05bffff,1932.7,False
891f0c9a083ffff,2593.0,False
891f0c9a087ffff,2708.5,False
891f0c9a08bffff,2652.1,False
891f0c9a08fffff,2898.2,False
891f0c9a093ffff,2288.1,False
891f0c9a097ffff,2457.6,False
891f0c9a09bffff,2458.3,False
891f0c9a0b3ffff,2872.8,False
891f0c9a0bbffff,2975.3,False
891f0c9a0c3ffff,2096.2,False
891f0c9a0c7ffff,2423.0,False
891f0c9a0cbffff,1900.1,False
891f0c9a0cfffff,2238.7,False
891f0c9a0d3ffff,1990.0,False
891f0c9a0d7ffff,2319.9,False
891f0c9a0dbffff,1759.6,False
891f0c9a20bffff,873.7,False
891f0c9a213ffff,1204.9,False
891f0c9a21bffff,972.8,False
891f0c9a243ffff,375.9,False
891f0c9a247ffff,661.2,False
891f0c9a24bffff,83.9,True
891f0c9a24fffff,408.0,False
891f0c9a253ffff,440.4,False
891f0c9a257ffff,689.5,False
891f0c9a25bffff,130.2,True
891f0c9a263ffff,995.0,False
891f0c9a26bffff,839.3,False
891f0c9a26fffff,1168.8,False
891f0c9a273ffff,897.4,False
891f0c9a27bffff,717.0,False
891f0c9a283ffff,1709.8,False
891f0c9a287ffff,1928.7,False
891f0c9a28bffff,1382.0,False
891f0c9a28fffff,1571.3,False
891f0c9a293ffff,1476.9,False
891f0c9a297ffff,1802.1,False
891f0c9a29bffff,1417.0,False
891f0c9a2b3ffff,2133.2,False
891f0c9a2c3ffff,890.7,False
891f0c9a2c7ffff,1072.4,False
891f0c9a2cbffff,580.5,False
891f0c9a2cfffff,754.8,False
891f0c9a2d3ffff,1083.1,False
891f0c9a2d7ffff,1205.9,False
891f0c9a2dbffff,814.6,False
891f0c9a403ffff,1279.4,False
891f0c9a407ffff,1375.4,False
891f0c9a40bffff,1523.7,False
891f0c9a40fffff,1567.7,False
891f0c9a413ffff,1000.3,False
891f0c9a417ffff,1073.1,False
891f0c9a41bffff,1248.1,False
891f0c9a423ffff,1846.9,False
891f0c9a427ffff,2049.2,False
891f0c9a42bffff,1983.4,False
891f0c9a42fffff,2152.2,False
891f0c9a433ffff,1541.6,False
891f0c9a437ffff,1748.2,False
891f0c9a43bffff,1679.1,False
891f0c9a443ffff,1705.1,False
891f0c9a447ffff,1771.9,False
891f0c9a44bffff,1387.7,False
891f0c9a44fffff,1635.2,False
891f0c9a453ffff,1530.4,False
891f0c9a457ffff,1513.4,False
891f0c9a45bffff,1505.1,False
891f0c9a463ffff,2077.7,False
891f0c9a467ffff,2158.9,False
891f0c9a46bffff,1926.9,False
891f0c9a46fffff,2242.3,False
891f0c9a473ffff,1796.2,False
891f0c9a477ffff,1861.7,False
891f0c9a47bffff,1911.2,False
891f0c9a483ffff,481.3,False
