hex_id,distance_m,intersects
891f0c91643ffff,3055.1,False
891f0c9164bffff,2759.1,False
891f0c91653ffff,3238.4,False
891f0c9165bffff,2936.4,False
891f0c916c3ffff,3720.5,False
891f0c916cbffff,3437.6,False
891f0c916cfffff,3495.9,False
891f0c916d3ffff,3945.0,False
891f0c916d7ffff,4016.6,False
891f0c916dbffff,3642.6,False
891f0c932c3ffff,7348.0,False
891f0c932c7ffff,7446.9,False
891f0c932cbffff,7067.5,False
891f0c932d3ffff,7564.5,False
891f0c932d7ffff,7603.3,False
891f0c932dbffff,7275.9,False
891f0c93603ffff,8847.4,False
891f0c9360bffff,8524.0,False
891f0c9360fffff,8506.0,False
891f0c93613ffff,8928.5,False
891f0c93617ffff,9027.0,False
891f0c9361bffff,8667.5,False
891f0c9362bffff,8398.5,False
891f0c9363bffff,8531.2,False
891f0c93643ffff,8145.6,False
891f0c93647ffff,8279.1,False
891f0c9364bffff,7891.0,False
891f0c9364fffff,8001.2,False
891f0c93653ffff,8086.8,False
891f0c93657ffff,8404.5,False
891f0c9365bffff,7825.2,False
891f0c93663ffff,8085.6,False
891f0c93667ffff,8134.9,False
891f0c9366bffff,7798.0,False
891f0c9366fffff,7852.2,False
891f0c93673ffff,8320.5,False
891f0c93677ffff,8377.7,False
891f0c9367bffff,8036.3,False
891f0c9368bffff,8775.5,False
891f0c9368fffff,9090.7,False
891f0c9369bffff,8808.6,False
891f0c936c3ffff,8311.2,False
891f0c936c7ffff,8617.0,False
891f0c936cbffff,8039.3,False
891f0c936cfffff,8352.4,False
891f0c936d3ffff,8281.1,False
891f0c936d7ffff,8586.4,False
891f0c936dbffff,8003.1,False
891f0c98453ffff,2775.6,False
891f0c9845bffff,3002.7,False
891f0c9849bffff,1828.9,False
891f0c984cbffff,2510.8,False
891f0c984d3ffff,1973.0,False
891f0c984dbffff,2219.3,False
891f0c98693ffff,3291.5,False
891f0c98697ffff,3222.4,False
891f0c9869bffff,3596.3,False
891f0c986c3ffff,4264.9,False
891f0c986cbffff,4505.3,False
891f0c986d3ffff,4003.7,False
891f0c986d7ffff,3902.5,False
891f0c986dbffff,4311.0,False
891f0c99483ffff,6630.7,False
891f0c99487ffff,6516.7,False
891f0c99493ffff,6605.8,False
891f0c99497ffff,6406.9,False
891f0c994a3ffff,6469.9,False
891f0c994a7ffff,6328.0,False
891f0c994afffff,6523.5,False
891f0c994b3ffff,6342.8,False
891f0c994b7ffff,6169.9,False
891f0c994bbffff,6560.8,False
891f0c99593ffff,5455.5,False
891f0c995d3ffff,6182.6,False
891f0c995dbffff,6399.0,False
891f0c9a013ffff,50.2,True
891f0c9a017ffff,13.8,True
891f0c9a01bffff,0.0,True
891f0c9a043ffff,0.0,True
891f0c9a04bffff,0.0,True
891f0c9a04fffff,0.0,True
891f0c9a053ffff,49.2,True
891f0c9a057ffff,0.0,True
891f0c9a05bffff,194.0,False
891f0c9a083ffff,377.2,False
891f0c9a087ffff,450.0,False
891f0c9a08bffff,116.4,True
891f0c9a08fffff,193.0,False
891f0c9a093ffff,622.4,False
891f0c9a097ffff,689.4,False
891f0c9a09bffff,422.1,False
891f0c9a0b3ffff,397.0,False
891f0c9a0bbffff,174.2,True
891f0c9a0c3ffff,359.5,False
891f0c9a0c7ffff,103.1,True
891f0c9a0cbffff,339.9,False
891f0c9a0cfffff,74.9,True
891f0c9a0d3ffff,646.2,False
891f0c9a0d7ffff,377.8,False
891f0c9a0dbffff,625.3,False
891f0c9a20bffff,997.4,False
891f0c9a213ffff,543.2,False
891f0c9a21bffff,796.9,False
891f0c9a243ffff,1411.6,False
891f0c9a247ffff,1257.5,False
891f0c9a24bffff,1731.3,False
891f0c9a24fffff,1569.1,False
891f0c9a253ffff,1307.7,False
891f0c9a257ffff,1092.0,False
891f0c9a25bffff,1623.0,False
891f0c9a263ffff,1467.7,False
891f0c9a26bffff,1709.0,False
891f0c9a26fffff,1707.6,False
891f0c9a273ffff,1224.7,False
891f0c9a27bffff,1468.8,False
891f0c9a283ffff,170.1,True
891f0c9a287ffff,0.0,True
891f0c9a28bffff,400.9,False
891f0c9a28fffff,187.3,True
891f0c9a293ffff,452.9,False
891f0c9a297ffff,245.8,False
891f0c9a29bffff,501.4,False
891f0c9a2b3ffff,0.0,True
891f0c9a2c3ffff,978.3,False
891f0c9a2c7ffff,689.7,False
891f0c9a2cbffff,1270.3,False
891f0c9a2cfffff,995.3,False
891f0c9a2d3ffff,1038.5,False
891f0c9a2d7ffff,708.5,False
891f0c9a2dbffff,1287.4,False
891f0c9a403ffff,1645.2,False
891f0c9a407ffff,1498.3,False
891f0c9a40bffff,1542.6,False
891f0c9a40fffff,1339.4,False
891f0c9a413ffff,1950.9,False
891f0c9a417ffff,1799.4,False
891f0c9a41bffff,1843.5,False
891f0c9a423ffff,1146.2,False
891f0c9a427ffff,1191.1,False
891f0c9a42bffff,905.3,False
891f0c9a42fffff,895.0,False
891f0c9a433ffff,1418.9,False
891f0c9a437ffff,1418.5,False
891f0c9a43bffff,1199.5,False
891f0c9a443ffff,1768.6,False
891f0c9a447ffff,1501.2,False
891f0c9a44bffff,1749.6,False
891f0c9a44fffff,1483.9,False
891f0c9a453ffff,2053.0,False
891f0c9a457ffff,1787.5,False
891f0c9a45bffff,2034.7,False
891f0c9a463ffff,949.9,False
891f0c9a467ffff,727.9,False
891f0c9a46bffff,931.0,False
891f0c9a46fffff,663.3,False
891f0c9a473ffff,1244.0,False
891f0c9a477ffff,1033.7,False
891f0c9a47bffff,1215.5,False
891f0c9a483ffff,2405.2,False
891f0c9a487ffff,2287.8,False
891f0c9a48bffff,2256.7,False
891f0c9a48fffff,2101.9,False
891f0c9a493ffff,2709.0,False
891f0c9a497ffff,2584.8,False
891f0c9a49bffff,2562.4,False
891f0c9a4a3ffff,1938.9,False
891f0c9a4a7ffff,1943.0,False
891f0c9a4abffff,1702.9,False
891f0c9a4afffff,1671.0,False
891f0c9a4b3ffff,2216.6,False
891f0c9a4b7ffff,2196.1,False
891f0c9a4bbffff,1993.4,False
891f0c9a4c3ffff,2373.4,False
891f0c9a4c7ffff,2145.8,False
891f0c9a4cbffff,2339.0,False
891f0c9a4cfffff,2078.6,False
891f0c9a4d3ffff,2670.6,False
891f0c9a4d7ffff,2448.9,False
891f0c9a4dbffff,2625.2,False
891f0c9a513ffff,1876.6,False
891f0c9a543ffff,876.0,False
891f0c9a54bffff,600.8,False
891f0c9a54fffff,649.6,False
891f0c9a553ffff,1170.9,False
891f0c9a55bffff,925.4,False
891f0c9a583ffff,2318.5,False
891f0c9a587ffff,2429.5,False
891f0c9a58bffff,2027.1,False
891f0c9a58fffff,2166.6,False
891f0c9a593ffff,2529.5,False
891f0c9a597ffff,2626.2,False
891f0c9a59bffff,2236.2,False
891f0c9a5c3ffff,1678.5,False
891f0c9a5c7ffff,1730.1,False
891f0c9a5cbffff,1425.5,False
891f0c9a5cfffff,1413.8,False
891f0c9a5d3ffff,1945.9,False
891f0c9a5d7ffff,1951.2,False
891f0c9a5dbffff,1707.2,False
891f0c9a603ffff,1544.7,False
891f0c9a607ffff,1216.3,False
891f0c9a60bffff,1559.7,False
891f0c9a60fffff,1288.7,False
891f0c9a613ffff,1770.0,False
891f0c9a617ffff,1456.0,False
891f0c9a61bffff,1839.3,False
891f0c9a623ffff,675.3,False
891f0c9a627ffff,341.0,False
891f0c9a62bffff,753.5,False
