hex_id,distance_m,intersects
891f0c91643ffff,219.7,False
891f0c9164bffff,173.4,False
891f0c91653ffff,167.1,False
891f0c9165bffff,62.3,True
891f0c916c3ffff,116.3,False
891f0c916cbffff,79.2,True
891f0c916cfffff,222.0,False
891f0c916d3ffff,41.3,True
891f0c916d7ffff,232.7,False
891f0c916dbffff,124.2,True
891f0c932c3ffff,291.3,False
891f0c932c7ffff,489.2,False
891f0c932cbffff,196.6,False
891f0c932d3ffff,235.8,False
891f0c932d7ffff,433.8,False
891f0c932dbffff,55.4,True
891f0c93603ffff,23.8,True
891f0c9360bffff,15.7,True
891f0c9360fffff,71.0,False
891f0c93613ffff,20.2,True
891f0c93617ffff,82.3,False
891f0c9361bffff,27.4,True
891f0c9362bffff,272.8,False
891f0c9363bffff,293.0,False
891f0c93643ffff,307.6,False
891f0c93647ffff,165.3,True
891f0c9364bffff,188.4,False
891f0c9364fffff,420.3,False
891f0c93653ffff,269.6,False
891f0c93657ffff,203.1,False
891f0c9365bffff,118.0,True
891f0c93663ffff,133.5,True
891f0c93667ffff,154.8,False
891f0c9366bffff,298.1,False
891f0c9366fffff,387.2,False
891f0c93673ffff,15.5,True
891f0c93677ffff,142.7,True
891f0c9367bffff,211.6,False
891f0c9368bffff,178.9,False
891f0c9368fffff,122.7,False
891f0c9369bffff,283.2,False
891f0c936c3ffff,113.5,True
891f0c936c7ffff,19.3,True
891f0c936cbffff,232.3,False
891f0c936cfffff,87.0,True
891f0c936d3ffff,12.2,True
891f0c936d7ffff,19.9,True
891f0c936dbffff,86.0,True
891f0c98453ffff,136.0,False
891f0c9845bffff,40.4,True
891f0c9849bffff,300.6,False
891f0c984cbffff,130.1,False
891f0c984d3ffff,49.9,True
891f0c984dbffff,49.5,True
891f0c98693ffff,147.9,True
891f0c98697ffff,121.7,False
891f0c9869bffff,309.8,False
891f0c986c3ffff,235.2,False
891f0c986cbffff,322.3,False
891f0c986d3ffff,101.2,True
891f0c986d7ffff,180.0,False
891f0c986dbffff,154.5,True
891f0c99483ffff,1059.1,False
891f0c99487ffff,836.2,False
891f0c99493ffff,1110.8,False
891f0c99497ffff,871.5,False
891f0c994a3ffff,619.0,False
891f0c994a7ffff,505.9,False
891f0c994afffff,688.4,False
891f0c994b3ffff,549.5,False
891f0c994b7ffff,321.4,False
891f0c994bbffff,746.1,False
891f0c99593ffff,803.4,False
891f0c995d3ffff,517.2,False
891f0c995dbffff,631.6,False
