hex_id,distance_m,intersects
891f0c91643ffff,3321.5,False
891f0c9164bffff,3059.0,False
891f0c91653ffff,3397.9,False
891f0c9165bffff,3110.4,False
891f0c916c3ffff,3737.3,False
891f0c916cbffff,3479.0,False
891f0c916cfffff,3630.8,False
891f0c916d3ffff,3883.7,False
891f0c916d7ffff,4037.6,False
891f0c916dbffff,3565.6,False
891f0c932c3ffff,1700.9,False
891f0c932c7ffff,1772.1,False
891f0c932cbffff,1822.4,False
891f0c932d3ffff,1405.2,False
891f0c932d7ffff,1569.9,False
891f0c932dbffff,1558.1,False
891f0c93603ffff,527.7,False
891f0c9360bffff,490.9,False
891f0c9360fffff,784.7,False
891f0c93613ffff,609.7,False
891f0c93617ffff,737.4,False
891f0c9361bffff,326.3,False
891f0c9362bffff,1206.0,False
891f0c9363bffff,1128.9,False
891f0c93643ffff,407.6,False
891f0c93647ffff,489.3,False
891f0c9364bffff,708.4,False
891f0c9364fffff,671.9,False
891f0c93653ffff,259.8,False
891f0c93657ffff,185.4,False
891f0c9365bffff,568.2,False
891f0c93663ffff,1020.1,False
891f0c93667ffff,1181.3,False
891f0c9366bffff,1099.7,False
891f0c9366fffff,1289.8,False
891f0c93673ffff,736.6,False
891f0c93677ffff,1036.4,False
891f0c9367bffff,794.4,False
891f0c9368bffff,669.1,False
891f0c9368fffff,806.5,False
891f0c9369bffff,902.6,False
891f0c936c3ffff,429.3,False
891f0c936c7ffff,400.3,False
891f0c936cbffff,394.3,False
891f0c936cfffff,126.6,True
891f0c936d3ffff,734.3,False
891f0c936d7ffff,645.7,False
891f0c936dbffff,655.8,False
891f0c98453ffff,4083.1,False
891f0c9845bffff,4050.8,False
891f0c9849bffff,4189.6,False
891f0c984cbffff,3894.9,False
891f0c984d3ffff,3877.6,False
891f0c984dbffff,3768.1,False
891f0c98693ffff,3663.6,False
891f0c98697ffff,3886.0,False
891f0c9869bffff,3546.9,False
891f0c986c3ffff,3518.8,False
891f0c986cbffff,3530.4,False
891f0c986d3ffff,3324.2,False
891f0c986d7ffff,3503.3,False
891f0c986dbffff,3349.3,False
891f0c99483ffff,3476.7,False
891f0c99487ffff,3547.7,False
891f0c99493ffff,3290.6,False
891f0c99497ffff,3292.8,False
891f0c994a3ffff,3864.0,False
891f0c994a7ffff,3960.8,False
891f0c994afffff,4063.5,False
891f0c994b3ffff,3598.5,False
891f0c994b7ffff,3666.6,False
891f0c994bbffff,3779.3,False
891f0c99593ffff,3817.4,False
891f0c995d3ffff,4040.8,False
891f0c995dbffff,4127.6,False
891f0c9a013ffff,1207.1,False
891f0c9a017ffff,1361.6,False
891f0c9a01bffff,1354.6,False
891f0c9a043ffff,1753.9,False
891f0c9a04bffff,1968.1,False
891f0c9a04fffff,1943.7,False
891f0c9a053ffff,1480.4,False
891f0c9a057ffff,1486.8,False
891f0c9a05bffff,1745.3,False
891f0c9a083ffff,904.1,False
891f0c9a087ffff,1156.1,False
891f0c9a08bffff,924.4,False
891f0c9a08fffff,1177.2,False
891f0c9a093ffff,660.3,False
891f0c9a097ffff,992.3,False
891f0c9a09bffff,626.5,False
891f0c9a0b3ffff,1429.2,False
891f0c9a0bbffff,1340.3,False
891f0c9a0c3ffff,958.3,False
891f0c9a0c7ffff,1040.5,False
891f0c9a0cbffff,1219.8,False
891f0c9a0cfffff,1240.5,False
891f0c9a0d3ffff,694.4,False
891f0c9a0d7ffff,743.8,False
891f0c9a0dbffff,985.5,False
891f0c9a20bffff,3396.5,False
891f0c9a213ffff,2864.2,False
891f0c9a21bffff,3141.2,False
891f0c9a243ffff,3204.3,False
891f0c9a247ffff,3537.3,False
891f0c9a24bffff,2980.7,False
891f0c9a24fffff,3317.5,False
891f0c9a253ffff,3117.1,False
891f0c9a257ffff,3429.3,False
891f0c9a25bffff,2872.8,False
891f0c9a263ffff,3876.7,False
891f0c9a26bffff,3793.3,False
891f0c9a26fffff,4095.6,False
891f0c9a273ffff,3640.5,False
891f0c9a27bffff,3654.8,False
891f0c9a283ffff,2317.0,False
891f0c9a287ffff,2246.8,False
891f0c9a28bffff,2625.4,False
891f0c9a28fffff,2515.8,False
891f0c9a293ffff,2103.0,False
891f0c9a297ffff,2026.1,False
891f0c9a29bffff,2410.3,False
891f0c9a2b3ffff,2178.2,False
891f0c9a2c3ffff,3032.7,False
891f0c9a2c7ffff,2916.9,False
891f0c9a2cbffff,3058.2,False
891f0c9a2cfffff,3222.6,False
891f0c9a2d3ffff,2863.0,False
891f0c9a2d7ffff,2720.5,False
891f0c9a2dbffff,3029.2,False
891f0c9a403ffff,644.1,False
891f0c9a407ffff,643.3,False
891f0c9a40bffff,503.4,False
891f0c9a40fffff,358.8,False
891f0c9a413ffff,942.3,False
891f0c9a417ffff,883.5,False
891f0c9a41bffff,803.7,False
891f0c9a423ffff,754.9,False
891f0c9a427ffff,1065.8,False
891f0c9a42bffff,491.5,False
891f0c9a42fffff,826.9,False
891f0c9a433ffff,801.9,False
891f0c9a437ffff,1050.0,False
891f0c9a43bffff,484.0,False
891f0c9a443ffff,880.2,False
891f0c9a447ffff,544.3,False
891f0c9a44bffff,1070.4,False
891f0c9a44fffff,737.1,False
891f0c9a453ffff,1092.4,False
891f0c9a457ffff,779.9,False
891f0c9a45bffff,1218.0,False
891f0c9a463ffff,171.1,False
891f0c9a467ffff,342.8,False
891f0c9a46bffff,482.9,False
891f0c9a46fffff,444.7,False
891f0c9a473ffff,218.7,False
891f0c9a477ffff,172.1,True
891f0c9a47bffff,413.8,False
891f0c9a483ffff,1440.3,False
891f0c9a487ffff,1408.7,False
891f0c9a48bffff,1244.1,False
891f0c9a48fffff,1155.0,False
891f0c9a493ffff,1732.6,False
891f0c9a497ffff,1674.9,False
891f0c9a49bffff,1547.5,False
891f0c9a4a3ffff,1263.7,False
891f0c9a4a7ffff,1440.0,False
891f0c9a4abffff,950.4,False
891f0c9a4afffff,1120.8,False
891f0c9a4b3ffff,1457.6,False
891f0c9a4b7ffff,1579.5,False
891f0c9a4bbffff,1162.1,False
891f0c9a4c3ffff,1339.1,False
891f0c9a4c7ffff,1107.0,False
891f0c9a4cbffff,1341.1,False
891f0c9a4cfffff,1052.2,False
891f0c9a4d3ffff,1632.8,False
891f0c9a4d7ffff,1411.3,False
891f0c9a4dbffff,1609.6,False
891f0c9a513ffff,2173.5,False
891f0c9a543ffff,1349.3,False
891f0c9a54bffff,1402.7,False
891f0c9a54fffff,1497.6,False
891f0c9a553ffff,1344.0,False
891f0c9a55bffff,1131.8,False
891f0c9a583ffff,2505.4,False
891f0c9a587ffff,2745.8,False
891f0c9a58bffff,2217.4,False
891f0c9a58fffff,2503.0,False
891f0c9a593ffff,2541.5,False
891f0c9a597ffff,2806.0,False
891f0c9a59bffff,2233.0,False
891f0c9a5c3ffff,1628.7,False
891f0c9a5c7ffff,1917.0,False
891f0c9a5cbffff,1338.7,False
891f0c9a5cfffff,1571.1,False
891f0c9a5d3ffff,1667.4,False
891f0c9a5d7ffff,1928.0,False
891f0c9a5dbffff,1356.2,False
891f0c9a603ffff,1890.8,False
891f0c9a607ffff,1645.6,False
891f0c9a60bffff,2200.9,False
891f0c9a60fffff,1963.0,False
891f0c9a613ffff,1866.6,False
891f0c9a617ffff,1584.5,False
891f0c9a61bffff,2026.9,False
891f0c9a623ffff,1600.6,False
891f0c9a627ffff,1503.9,False
891f0c9a62bffff,1914.1,False
891f0c9a62fffff,1800.0,False
891f0c9a633ffff,1439.1,False
891f0c9a637ffff,1290.1,False
891f0c9a63bffff,1758.5,False
891f0c9a643ffff,2244.8,False
891f0c9a647ffff,2419.7,False
891f0c9a64bffff,2410.6,False
891f0c9a64fffff,2550.1,False
891f0c9a653ffff,1939.6,False
891f0c9a657ffff,2114.6,False
891f0c9a65bffff,2110.3,False
891f0c9a663ffff,2397.6,False
891f0c9a667ffff,2229.4,False
891f0c9a66bffff,2717.2,False
891f0c9a66fffff,2545.8,False
891f0c9a673ffff,2281.0,False
891f0c9a677ffff,2078.0,False
891f0c9a67bffff,2599.4,False
891f0c9a683ffff,1636.2,False
891f0c9a687ffff,1311.8,False
891f0c9a68bffff,1707.2,False
891f0c9a68fffff,1581.3,False
891f0c9a693ffff,1507.7,False
891f0c9a697ffff,1406.5,False
891f0c9a69bffff,1437.5,False
891f0c9a6a3ffff,1015.4,False
891f0c9a6a7ffff,800.9,False
891f0c9a6abffff,1329.4,False
891f0c9a6afffff,1119.9,False
891f0c9a6b3ffff,997.4,False
891f0c9a6b7ffff,706.3,False
891f0c9a6bbffff,1284.8,False
891f0c9a6c3ffff,1505.3,False
891f0c9a6c7ffff,1729.9,False
891f0c9a6cbffff,1634.7,False
891f0c9a6cfffff,1809.7,False
891f0c9a6d3ffff,1201.6,False
891f0c9a6d7ffff,1436.7,False
891f0c9a6dbffff,1330.2,False
891f0c9b003ffff,691.7,False
891f0c9b007ffff,849.9,False
891f0c9b00bffff,927.8,False
891f0c9b00fffff,990.4,False
891f0c9b013ffff,403.8,False
891f0c9b017ffff,548.2,False
891f0c9b01bffff,681.7,False
891f0c9b023ffff,1382.8,False
891f0c9b027ffff,1650.3,False
891f0c9b02bffff,1458.7,False
891f0c9b02fffff,1677.8,False
891f0c9b033ffff,1093.9,False
891f0c9b037ffff,1378.9,False
891f0c9b03bffff,1153.9,False
891f0c9b043ffff,1296.9,False
891f0c9b047ffff,1203.3,False
891f0c9b04bffff,1611.6,False
891f0c9b04fffff,1496.5,False
891f0c9b053ffff,1145.2,False
891f0c9b057ffff,985.4,False
891f0c9b05bffff,1465.0,False
891f0c9b063ffff,1488.2,False
891f0c9b067ffff,1596.2,False
891f0c9b06bffff,1721.4,False
891f0c9b06fffff,1781.2,False
891f0c9b073ffff,1201.7,False
891f0c9b077ffff,1292.6,False
891f0c9b07bffff,1453.2,False
891f0c9b083ffff,136.0,True
891f0c9b087ffff,416.4,False
891f0c9b08bffff,186.9,False
891f0c9b08fffff,256.8,False
891f0c9b093ffff,397.7,False
891f0c9b097ffff,454.5,False
891f0c9b09bffff,306.5,False
891f0c9b0a3ffff,904.9,False
891f0c9b0a7ffff,1241.3,False
891f0c9b0abffff,817.5,False
891f0c9b0afffff,1125.4,False
891f0c9b0b3ffff,747.3,False
891f0c9b0b7ffff,1083.5,False
891f0c9b0bbffff,572.1,False
891f0c9b0c3ffff,760.9,False
891f0c9b0c7ffff,505.9,False
891f0c9b0cbffff,1062.3,False
891f0c9b0cfffff,825.5,False
891f0c9b0d3ffff,814.7,False
891f0c9b0d7ffff,483.9,False
891f0c9b0dbffff,1064.2,False
891f0c9b103ffff,2650.2,False
891f0c9b107ffff,2979.9,False
891f0c9b10bffff,2557.1,False
891f0c9b10fffff,2876.0,False
891f0c9b113ffff,2441.8,False
891f0c9b117ffff,2777.1,False
891f0c9b11bffff,2323.2,False
891f0c9b123ffff,3525.3,False
891f0c9b127ffff,3853.8,False
891f0c9b12bffff,3431.7,False
891f0c9b12fffff,3751.9,False
891f0c9b133ffff,3311.6,False
891f0c9b137ffff,3644.7,False
891f0c9b13bffff,3199.2,False
891f0c9b143ffff,2209.2,False
891f0c9b147ffff,2501.8,False
891f0c9b14bffff,2220.2,False
891f0c9b14fffff,2486.8,False
891f0c9b153ffff,1940.3,False
891f0c9b157ffff,2244.3,False
891f0c9b15bffff,1932.0,False
891f0c9b163ffff,3063.4,False
891f0c9b167ffff,3366.0,False
891f0c9b16bffff,3044.0,False
