hex_id,distance_m,intersects
891f0c91643ffff,235.4,False
891f0c9164bffff,176.6,False
891f0c91653ffff,128.9,True
891f0c9165bffff,8.3,True
891f0c916c3ffff,91.4,True
891f0c916cbffff,8.0,True
891f0c916cfffff,226.9,False
891f0c916d3ffff,31.3,True
891f0c916d7ffff,268.9,False
891f0c916dbffff,162.4,True
891f0c932c3ffff,403.3,False
891f0c932c7ffff,574.4,False
891f0c932cbffff,288.0,False
891f0c932d3ffff,172.6,True
891f0c932d7ffff,429.8,False
891f0c932dbffff,87.9,True
891f0c93603ffff,13.6,True
891f0c9360bffff,66.5,True
891f0c9360fffff,173.3,False
891f0c93613ffff,152.7,True
891f0c93617ffff,185.3,False
891f0c9361bffff,25.8,True
891f0c9362bffff,509.7,False
891f0c9363bffff,511.4,False
891f0c93643ffff,130.3,True
891f0c93647ffff,316.8,False
891f0c9364bffff,162.2,True
891f0c9364fffff,435.1,False
891f0c93653ffff,174.5,False
891f0c93657ffff,110.5,True
891f0c9365bffff,118.4,True
891f0c93663ffff,117.2,True
891f0c93667ffff,327.5,False
891f0c9366bffff,28.6,True
891f0c9366fffff,275.2,False
891f0c93673ffff,19.3,True
891f0c93677ffff,345.0,False
891f0c9367bffff,221.0,False
891f0c9368bffff,244.7,False
891f0c9368fffff,358.6,False
891f0c9369bffff,315.5,False
891f0c936c3ffff,198.0,False
891f0c936c7ffff,58.2,True
891f0c936cbffff,89.4,True
891f0c936cfffff,64.7,True
891f0c936d3ffff,102.1,True
891f0c936d7ffff,56.4,True
891f0c936dbffff,141.6,True
891f0c98453ffff,886.3,False
891f0c9845bffff,1087.2,False
891f0c9849bffff,255.8,False
891f0c984cbffff,606.1,False
891f0c984d3ffff,85.5,True
891f0c984dbffff,301.3,False
891f0c98693ffff,930.7,False
891f0c98697ffff,1177.7,False
891f0c9869bffff,727.6,False
891f0c986c3ffff,692.8,False
891f0c986cbffff,716.9,False
891f0c986d3ffff,489.6,False
891f0c986d7ffff,655.9,False
891f0c986dbffff,525.0,False
891f0c99483ffff,1124.9,False
891f0c99487ffff,955.2,False
891f0c99493ffff,957.9,False
891f0c99497ffff,937.4,False
891f0c994a3ffff,646.4,False
891f0c994a7ffff,510.4,False
