"hex_id","distance_m","intersects"
"8808000935fffff",33454.408,FALSE
"8808000937fffff",33180.633,FALSE
"8808000985fffff",33048.286,FALSE
"88080009e1fffff",33694.99,FALSE
"88080009e3fffff",33300.356,FALSE
"8808000d93fffff",18951.05,FALSE
"8808001431fffff",32315.029,FALSE
"8808001483fffff",27565.859,FALSE
"8808001495fffff",27016.734,FALSE
"880800149bfffff",26478.467,FALSE
"880800149dfffff",27357.381,FALSE
"88080016b9fffff",30618.854,FALSE
"88080016bbfffff",29886.663,FALSE
"8808004001fffff",31048.603,FALSE
"8808004003fffff",30295.629,FALSE
"8808004009fffff",31708.164,FALSE
"880800400bfffff",31239.438,FALSE
"8808004011fffff",30226.625,FALSE
"8808004013fffff",29757.533,FALSE
"8808004015fffff",29934.84,FALSE
"8808004017fffff",29454.003,FALSE
"8808004019fffff",30999.229,FALSE
"880800401bfffff",30529.257,FALSE
"880800401dfffff",30636.049,FALSE
"8808004033fffff",28388.347,FALSE
"8808004039fffff",29653.238,FALSE
"880800403bfffff",29161.592,FALSE
"8808004043fffff",32478.996,FALSE
"8808004047fffff",32247.28,FALSE
"8808004051fffff",32254.306,FALSE
"8808004053fffff",31771.812,FALSE
"8808004055fffff",31974.627,FALSE
"8808004057fffff",31507.352,FALSE
"8808004059fffff",33027.366,FALSE
"880800405bfffff",32544.371,FALSE
"880800405dfffff",32747.974,FALSE
"8808004065fffff",31513.911,FALSE
"880800406dfffff",32291.391,FALSE
"8808004081fffff",27757.64,FALSE
"8808004089fffff",28430.189,FALSE
"880800408bfffff",28069.535,FALSE
"880800408dfffff",28090.029,FALSE
"8808004091fffff",27209.161,FALSE
"8808004093fffff",26870.741,FALSE
"8808004095fffff",26839.626,FALSE
"8808004097fffff",26479.104,FALSE
"880800409bfffff",27624.473,FALSE
"88080040a1fffff",26232.178,FALSE
"88080040a3fffff",25726.921,FALSE
"88080040a5fffff",25899.511,FALSE
"88080040a7fffff",25449.467,FALSE
"88080040a9fffff",27000.908,FALSE
"88080040adfffff",26671.007,FALSE
"88080040b1fffff",25726.442,FALSE
"88080040b3fffff",25340.064,FALSE
"88080040b5fffff",25366.34,FALSE
"88080040b7fffff",25023.273,FALSE
"88080040b9fffff",26482.065,FALSE
"88080040bbfffff",26097.52,FALSE
"88080040bdfffff",26085.27,FALSE
"88080040c1fffff",29634.39,FALSE
"88080040c3fffff",29194.035,FALSE
"88080040c5fffff",29301.355,FALSE
"88080040c7fffff",28858.698,FALSE
"88080040c9fffff",30343.753,FALSE
"88080040cdfffff",30071.84,FALSE
"88080040d1fffff",29193.637,FALSE
"88080040d5fffff",28780.78,FALSE
"88080040d9fffff",29965.807,FALSE
"88080040ddfffff",29541.943,FALSE
"88080040e1fffff",28214.181,FALSE
"88080040e3fffff",27761.158,FALSE
"88080040e5fffff",27908.718,FALSE
"88080040e7fffff",27442.567,FALSE
"88080040e9fffff",28985.839,FALSE
"88080040ebfffff",28530.967,FALSE
"88080040edfffff",28681.366,FALSE
"8808004109fffff",30317.94,FALSE
"8808004111fffff",28409.192,FALSE
"8808004113fffff",27776.367,FALSE
"8808004115fffff",28164.64,FALSE
"8808004117fffff",27645.354,FALSE
"8808004121fffff",28311.575,FALSE
"8808004125fffff",28149.965,FALSE
"880800412dfffff",28905.382,FALSE
"8808004131fffff",27262.954,FALSE
"8808004133fffff",26686.526,FALSE
"8808004137fffff",26497.584,FALSE
"8808004139fffff",27905.222,FALSE
"880800413bfffff",27454.799,FALSE
"8808004141fffff",31496.974,FALSE
"8808004143fffff",30909.769,FALSE
"8808004145fffff",31330.638,FALSE
"8808004147fffff",30754.052,FALSE
"8808004149fffff",32260.971,FALSE
"880800414bfffff",31675.631,FALSE
"880800414dfffff",32092.129,FALSE
"8808004151fffff",30577.329,FALSE
"8808004155fffff",30488.386,FALSE
"8808004159fffff",31299.559,FALSE
"880800415bfffff",30741.773,FALSE
"880800415dfffff",31098.562,FALSE
"8808004161fffff",30433.991,FALSE
"8808004165fffff",30281.117,FALSE
"8808004167fffff",29655.078,FALSE
"8808004169fffff",31176.826,FALSE
"880800416bfffff",30570.692,FALSE
"880800416dfffff",31035.73,FALSE
"8808004181fffff",25516.489,FALSE
"8808004183fffff",25011.837,FALSE
"8808004185fffff",25260.915,FALSE
"8808004187fffff",24742.595,FALSE
"8808004189fffff",26290.327,FALSE
"880800418bfffff",25785.716,FALSE
"880800418dfffff",26034.361,FALSE
"8808004191fffff",24818.111,FALSE
"8808004193fffff",24356.759,FALSE
"8808004195fffff",24521.217,FALSE
"8808004197fffff",24045.483,FALSE
"8808004199fffff",25590.754,FALSE
