"hex_id","distance_m","intersects"
"8808000935fffff",1196.273,FALSE
"8808000937fffff",698.005,FALSE
"8808000985fffff",655.136,FALSE
"88080009e1fffff",1354.154,FALSE
"88080009e3fffff",760.604,FALSE
"8808000d93fffff",2609.316,FALSE
"8808001431fffff",129.757,FALSE
"8808001483fffff",3581.037,FALSE
"8808001495fffff",3055.428,FALSE
"880800149bfffff",2325.032,FALSE
"880800149dfffff",3274.577,FALSE
"88080016b9fffff",528.502,FALSE
"88080016bbfffff",214.463,FALSE
"8808004001fffff",1552.773,FALSE
"8808004003fffff",676.031,FALSE
"8808004009fffff",1847.427,FALSE
"880800400bfffff",1142.739,FALSE
"8808004011fffff",378.924,FALSE
"8808004013fffff",536.63,FALSE
"8808004015fffff",454.519,FALSE
"8808004017fffff",399.443,FALSE
"8808004019fffff",216.051,FALSE
"880800401bfffff",578.317,FALSE
"880800401dfffff",434.08,FALSE
"8808004033fffff",327.262,FALSE
"8808004039fffff",225.247,FALSE
"880800403bfffff",525.212,FALSE
"8808004043fffff",2006.33,FALSE
"8808004047fffff",1632.394,FALSE
"8808004051fffff",1281.317,FALSE
"8808004053fffff",701.421,FALSE
"8808004055fffff",1565.089,FALSE
"8808004057fffff",830.872,FALSE
"8808004059fffff",1072.824,FALSE
"880800405bfffff",649.689,FALSE
"880800405dfffff",1669.633,FALSE
"8808004065fffff",1704.257,FALSE
"880800406dfffff",980.171,FALSE
"8808004081fffff",374.755,FALSE
"8808004089fffff",974.116,FALSE
"880800408bfffff",624.628,FALSE
"880800408dfffff",1045.006,FALSE
"8808004091fffff",458.598,FALSE
"8808004093fffff",1010.029,FALSE
"8808004095fffff",196.393,FALSE
"8808004097fffff",656.176,FALSE
"880800409bfffff",1104.98,FALSE
"88080040a1fffff",439.149,FALSE
"88080040a3fffff",443.724,FALSE
"88080040a5fffff",190.853,FALSE
"88080040a7fffff",696.304,FALSE
"88080040a9fffff",1037.396,FALSE
"88080040adfffff",734.135,FALSE
"88080040b1fffff",910.306,FALSE
"88080040b3fffff",717.09,FALSE
"88080040b5fffff",416.053,FALSE
"88080040b7fffff",400.935,FALSE
"88080040b9fffff",238.484,FALSE
"88080040bbfffff",821.809,FALSE
"88080040bdfffff",559.801,FALSE
"88080040c1fffff",766.731,FALSE
"88080040c3fffff",927.778,FALSE
"88080040c5fffff",823.607,FALSE
"88080040c7fffff",1504.332,FALSE
"88080040c9fffff",269.468,FALSE
"88080040cdfffff",151.547,FALSE
"88080040d1fffff",409.101,FALSE
"88080040d5fffff",425.105,FALSE
"88080040d9fffff",335.264,FALSE
"88080040ddfffff",284,FALSE
"88080040e1fffff",1438.654,FALSE
"88080040e3fffff",1439.262,FALSE
"88080040e5fffff",1088.112,FALSE
"88080040e7fffff",1496.17,FALSE
"88080040e9fffff",1051.25,FALSE
"88080040ebfffff",1590.641,FALSE
"88080040edfffff",758.553,FALSE
"8808004109fffff",298.514,FALSE
"8808004111fffff",1815.884,FALSE
"8808004113fffff",1051.832,FALSE
"8808004115fffff",1961.357,FALSE
"8808004117fffff",1582.311,FALSE
"8808004121fffff",431.106,FALSE
"8808004125fffff",986.915,FALSE
"880800412dfffff",1178.134,FALSE
"8808004131fffff",1492.049,FALSE
"8808004133fffff",2240.272,FALSE
"8808004137fffff",1929.917,FALSE
"8808004139fffff",1462.692,FALSE
"880800413bfffff",1983.811,FALSE
"8808004141fffff",1435.496,FALSE
"8808004143fffff",883.396,FALSE
"8808004145fffff",1282.075,FALSE
"8808004147fffff",752.396,FALSE
"8808004149fffff",2184.184,FALSE
"880800414bfffff",1650.144,FALSE
"880800414dfffff",2055.89,FALSE
"8808004151fffff",632.251,FALSE
"8808004155fffff",464.522,FALSE
"8808004159fffff",1278.792,FALSE
"880800415bfffff",1189.468,FALSE
"880800415dfffff",985.509,FALSE
"8808004161fffff",560.499,FALSE
"8808004165fffff",266.244,FALSE
"8808004167fffff",481.373,FALSE
"8808004169fffff",1184.301,FALSE
"880800416bfffff",509.515,FALSE
"880800416dfffff",947.588,FALSE
"8808004181fffff",1899.723,FALSE
"8808004183fffff",1175.634,FALSE
"8808004185fffff",2075.371,FALSE
"8808004187fffff",1726.845,FALSE
"8808004189fffff",1218.867,FALSE
"880800418bfffff",1558.384,FALSE
"880800418dfffff",1306.85,FALSE
"8808004191fffff",66.946,FALSE
