hex_id,distance_m,intersects
870800092ffffff,17129.2,FALSE
870800093ffffff,15510.4,FALSE
870800098ffffff,12301.1,FALSE
87080009affffff,13845.8,FALSE
87080009effffff,13917.4,FALSE
8708000c0ffffff,0,TRUE
8708000d8ffffff,2198,FALSE
8708000d9ffffff,2539.3,FALSE
870800143ffffff,10583.1,FALSE
870800148ffffff,8668,FALSE
870800149ffffff,8220,FALSE
87080014bffffff,6691.6,FALSE
87080015affffff,7288,FALSE
87080016bffffff,12054.5,FALSE
870800400ffffff,32369.6,FALSE
870800401ffffff,30698.3,FALSE
870800402ffffff,33683.2,FALSE
870800403ffffff,32045.6,FALSE
870800404ffffff,32829.1,FALSE
870800405ffffff,31100.9,FALSE
870800406ffffff,34066.3,FALSE
870800408ffffff,28840.7,FALSE
870800409ffffff,27264.9,FALSE
87080040affffff,30254,FALSE
87080040bffffff,28717,FALSE
87080040cffffff,29056.8,FALSE
87080040dffffff,27448.9,FALSE
87080040effffff,30438.6,FALSE
870800410ffffff,35550,FALSE
870800411ffffff,34280.8,FALSE
870800412ffffff,34754.8,FALSE
870800413ffffff,33422.3,FALSE
870800414ffffff,37038,FALSE
870800415ffffff,35348.6,FALSE
870800416ffffff,36874.8,FALSE
870800418ffffff,30940.6,FALSE
870800419ffffff,29806.5,FALSE
87080041affffff,30016.3,FALSE
87080041bffffff,28807.5,FALSE
87080041cffffff,33073.6,FALSE
87080041dffffff,31831.6,FALSE
87080041effffff,32148.5,FALSE
870800420ffffff,32315.3,FALSE
870800421ffffff,30511.4,FALSE
870800422ffffff,33418.5,FALSE
870800423ffffff,31642.2,FALSE
870800424ffffff,33112.2,FALSE
870800425ffffff,31272.9,FALSE
870800426ffffff,34131.2,FALSE
870800428ffffff,28143.1,FALSE
870800429ffffff,26427.2,FALSE
87080042affffff,29395.5,FALSE
87080042bffffff,27717,FALSE
87080042cffffff,28721.4,FALSE
87080042dffffff,26948.2,FALSE
87080042effffff,29882.7,FALSE
870800430ffffff,36341.3,FALSE
870800431ffffff,34576.8,FALSE
870800432ffffff,37522.5,FALSE
870800433ffffff,35784.9,FALSE
870800434ffffff,37012.3,FALSE
870800435ffffff,35209.3,FALSE
870800436ffffff,38120.3,FALSE
870800440ffffff,21295.3,FALSE
870800441ffffff,19910.7,FALSE
870800442ffffff,22845.1,FALSE
870800443ffffff,21509,FALSE
870800444ffffff,21293.7,FALSE
870800445ffffff,19781.3,FALSE
870800446ffffff,22755.6,FALSE
870800448ffffff,19050.6,FALSE
870800449ffffff,17429.5,FALSE
87080044affffff,20816.9,FALSE
87080044bffffff,19297.1,FALSE
87080044cffffff,18618.4,FALSE
87080044dffffff,17298.3,FALSE
87080044effffff,20264.4,FALSE
870800450ffffff,25793.2,FALSE
870800451ffffff,24424.1,FALSE
870800452ffffff,26935.7,FALSE
870800453ffffff,26027,FALSE
870800454ffffff,25734.4,FALSE
870800455ffffff,24257.7,FALSE
870800456ffffff,27227.4,FALSE
870800458ffffff,23607.4,FALSE
870800459ffffff,22583.6,FALSE
87080045affffff,23581.2,FALSE
87080045bffffff,23119,FALSE
87080045cffffff,23131.4,FALSE
87080045dffffff,21928.6,FALSE
87080045effffff,24773.3,FALSE
870800461ffffff,18492,FALSE
870800462ffffff,21475.6,FALSE
870800463ffffff,19880.6,FALSE
870800464ffffff,20514.6,FALSE
870800466ffffff,21767.4,FALSE
870800468ffffff,16812.9,FALSE
870800469ffffff,15447.5,FALSE
87080046affffff,18342.5,FALSE
87080046bffffff,16995.8,FALSE
87080046cffffff,16898,FALSE
87080046dffffff,15332.9,FALSE
87080046effffff,18311.9,FALSE
870800470ffffff,24461.2,FALSE
870800471ffffff,22865.2,FALSE
870800472ffffff,25851.9,FALSE
870800473ffffff,24278.1,FALSE
870800474ffffff,24739.7,FALSE
870800475ffffff,23086.8,FALSE
870800476ffffff,26070.4,FALSE
870800480ffffff,30768.4,FALSE
870800481ffffff,29228.1,FALSE
870800482ffffff,30326.2,FALSE
870800483ffffff,28723.4,FALSE
870800484ffffff,32824.8,FALSE
870800485ffffff,31304.2,FALSE
870800486ffffff,32348.9,FALSE
870800488ffffff,25646.7,FALSE
870800489ffffff,24188.8,FALSE
87080048affffff,25105.5,FALSE
87080048bffffff,23567.1,FALSE
87080048cffffff,27734.5,FALSE
87080048dffffff,26295.5,FALSE
87080048effffff,27161.2,FALSE
870800490ffffff,31658,FALSE
870800491ffffff,29973.7,FALSE
870800492ffffff,31451.7,FALSE
870800493ffffff,29718,FALSE
870800494ffffff,33621.6,FALSE
870800495ffffff,31960.9,FALSE
870800496ffffff,33367.5,FALSE
870800498ffffff,26327,FALSE
870800499ffffff,24679.1,FALSE
87080049affffff,26069.6,FALSE
87080049bffffff,24359.4,FALSE
87080049cffffff,28318.9,FALSE
87080049dffffff,26692.5,FALSE
87080049effffff,28008.3,FALSE
8708004a0ffffff,35476.7,FALSE
8708004a1ffffff,34032.3,FALSE
8708004a2ffffff,34890.6,FALSE
8708004a3ffffff,33387.5,FALSE
8708004a4ffffff,37571,FALSE
