hex_id,distance_m,intersects
870800092ffffff,17725.5,FALSE
870800093ffffff,19487.4,FALSE
870800098ffffff,23103.8,FALSE
87080009affffff,22065.3,FALSE
87080009effffff,21273,FALSE
8708000c0ffffff,17745.3,FALSE
8708000d8ffffff,17167.8,FALSE
8708000d9ffffff,15070.3,FALSE
870800143ffffff,18514.2,FALSE
870800148ffffff,14798.3,FALSE
870800149ffffff,12959.3,FALSE
87080014bffffff,14043.2,FALSE
87080015affffff,19911.2,FALSE
87080016bffffff,15116.9,FALSE
870800400ffffff,2568,FALSE
870800401ffffff,4465.3,FALSE
870800402ffffff,2357.2,FALSE
870800403ffffff,4086.7,FALSE
870800404ffffff,2301.9,FALSE
870800405ffffff,3720.8,FALSE
870800406ffffff,730.3,TRUE
870800408ffffff,7799,FALSE
870800409ffffff,9684.5,FALSE
87080040affffff,7707.7,FALSE
87080040bffffff,9496.5,FALSE
87080040cffffff,6368.6,FALSE
87080040dffffff,8273.4,FALSE
87080040effffff,5926.7,FALSE
870800410ffffff,2298.2,FALSE
870800411ffffff,2957.9,FALSE
870800412ffffff,3717.6,FALSE
870800413ffffff,4167.7,FALSE
870800414ffffff,364.3,TRUE
870800415ffffff,824.9,TRUE
870800416ffffff,1768.5,FALSE
870800418ffffff,6462.4,FALSE
870800419ffffff,8013,FALSE
87080041affffff,7225,FALSE
87080041bffffff,8551.1,FALSE
87080041cffffff,4416.7,FALSE
87080041dffffff,5992.1,FALSE
87080041effffff,5091.4,FALSE
870800420ffffff,3455.2,FALSE
870800421ffffff,4911.4,FALSE
870800422ffffff,1923,FALSE
870800423ffffff,3699.3,FALSE
870800424ffffff,4390.9,FALSE
870800425ffffff,5136.1,FALSE
870800426ffffff,2652.6,FALSE
870800428ffffff,6710.5,FALSE
870800429ffffff,8368.5,FALSE
87080042affffff,5420.7,FALSE
87080042bffffff,7224.7,FALSE
87080042cffffff,6601.5,FALSE
87080042dffffff,8177.5,FALSE
87080042effffff,5224.9,FALSE
870800430ffffff,524.9,TRUE
870800431ffffff,1205.6,FALSE
870800432ffffff,537.1,TRUE
870800433ffffff,196.9,TRUE
870800434ffffff,1700.6,FALSE
870800435ffffff,998.3,TRUE
870800436ffffff,1217.3,FALSE
870800440ffffff,15892.5,FALSE
870800441ffffff,17796.3,FALSE
870800442ffffff,15369.5,FALSE
870800443ffffff,17268.2,FALSE
870800444ffffff,14698,FALSE
870800445ffffff,16586.3,FALSE
870800446ffffff,13988.2,FALSE
870800448ffffff,21058.4,FALSE
870800449ffffff,23023.4,FALSE
87080044affffff,20650.8,FALSE
87080044bffffff,22551.3,FALSE
87080044cffffff,19699.7,FALSE
87080044dffffff,21613.8,FALSE
87080044effffff,19167.5,FALSE
870800450ffffff,13172.7,FALSE
870800451ffffff,15035.6,FALSE
870800452ffffff,13105.4,FALSE
870800453ffffff,14903.6,FALSE
870800454ffffff,11576.5,FALSE
870800455ffffff,13472,FALSE
870800456ffffff,11323.6,FALSE
870800458ffffff,18563.2,FALSE
870800459ffffff,20382.4,FALSE
87080045affffff,18506.5,FALSE
87080045bffffff,20307.9,FALSE
87080045cffffff,16907.5,FALSE
87080045dffffff,18785.5,FALSE
87080045effffff,16725.2,FALSE
870800461ffffff,16592.2,FALSE
870800462ffffff,13732.2,FALSE
870800463ffffff,15574.9,FALSE
870800464ffffff,14309,FALSE
870800466ffffff,13045.7,FALSE
870800468ffffff,19294.7,FALSE
870800469ffffff,21124.8,FALSE
87080046affffff,18477.3,FALSE
87080046bffffff,20370.1,FALSE
87080046cffffff,18403.9,FALSE
87080046dffffff,20232,FALSE
87080046effffff,17430.4,FALSE
870800470ffffff,10936.6,FALSE
870800471ffffff,12814,FALSE
870800472ffffff,10178.5,FALSE
870800473ffffff,12083.5,FALSE
870800474ffffff,10114,FALSE
870800475ffffff,11908.3,FALSE
