hex_id,distance_m,intersects
870800092ffffff,3271.5,FALSE
870800093ffffff,2386.2,FALSE
870800098ffffff,3760.2,FALSE
87080009affffff,2293.3,FALSE
87080009effffff,2624.7,FALSE
8708000c0ffffff,17073,FALSE
8708000d8ffffff,14848.3,FALSE
8708000d9ffffff,13187.5,FALSE
870800143ffffff,20798.9,FALSE
870800148ffffff,16992.7,FALSE
870800149ffffff,15088.9,FALSE
87080014bffffff,15764.1,FALSE
87080015affffff,21187.2,FALSE
87080016bffffff,17989.5,FALSE
870800400ffffff,0,TRUE
870800401ffffff,89.3,TRUE
870800402ffffff,959,TRUE
870800403ffffff,35.7,TRUE
870800404ffffff,86.5,TRUE
870800405ffffff,0,TRUE
870800406ffffff,533.9,TRUE
870800408ffffff,0,TRUE
870800409ffffff,0,TRUE
87080040affffff,0,TRUE
87080040bffffff,147.5,TRUE
87080040cffffff,23.8,TRUE
87080040dffffff,0,TRUE
87080040effffff,88.8,TRUE
870800410ffffff,638.1,TRUE
870800411ffffff,0,TRUE
870800412ffffff,0,TRUE
870800413ffffff,0,TRUE
870800414ffffff,280.1,TRUE
870800415ffffff,0,TRUE
870800416ffffff,0,TRUE
870800418ffffff,263.8,TRUE
870800419ffffff,613.2,TRUE
87080041affffff,117.5,TRUE
87080041bffffff,553.4,TRUE
87080041cffffff,0,TRUE
87080041dffffff,0,TRUE
87080041effffff,127.1,TRUE
870800420ffffff,1640.4,FALSE
870800421ffffff,218.7,TRUE
870800422ffffff,1834.6,FALSE
870800423ffffff,289.5,TRUE
870800424ffffff,2265,FALSE
870800425ffffff,2349.6,FALSE
870800426ffffff,1548.1,FALSE
870800428ffffff,2047.7,FALSE
870800429ffffff,1534.1,FALSE
87080042affffff,597.9,TRUE
87080042bffffff,254.1,TRUE
87080042cffffff,1068.4,FALSE
87080042dffffff,2799.3,FALSE
87080042effffff,188.8,TRUE
870800430ffffff,0,TRUE
870800431ffffff,1509.8,FALSE
870800432ffffff,625.7,TRUE
870800433ffffff,1335.2,FALSE
870800434ffffff,480.5,TRUE
870800435ffffff,1238.8,FALSE
870800436ffffff,0,TRUE
870800440ffffff,2579.1,FALSE
870800441ffffff,2435.3,FALSE
870800442ffffff,869.9,TRUE
870800443ffffff,1949,FALSE
870800444ffffff,947.3,TRUE
870800445ffffff,2083.5,FALSE
870800446ffffff,738.6,TRUE
870800448ffffff,0,TRUE
870800449ffffff,571.3,TRUE
87080044affffff,0,TRUE
87080044bffffff,0,TRUE
87080044cffffff,576.9,TRUE
87080044dffffff,593.5,TRUE
87080044effffff,495.6,TRUE
870800450ffffff,380.3,TRUE
870800451ffffff,0,TRUE
870800452ffffff,0,TRUE
870800453ffffff,0,TRUE
870800454ffffff,0,TRUE
870800455ffffff,1209.2,FALSE
870800456ffffff,0,TRUE
870800458ffffff,69,TRUE
870800459ffffff,236.9,TRUE
87080045affffff,0,TRUE
87080045bffffff,0,TRUE
87080045cffffff,732.9,TRUE
87080045dffffff,138.2,TRUE
87080045effffff,0,TRUE
870800461ffffff,2428.9,FALSE
870800462ffffff,765.1,TRUE
870800463ffffff,987.1,FALSE
870800464ffffff,3863.3,FALSE
870800466ffffff,2838.3,FALSE
870800468ffffff,112.5,TRUE
870800469ffffff,1643.9,FALSE
87080046affffff,1405.3,FALSE
87080046bffffff,813.1,TRUE
87080046cffffff,1167.1,FALSE
87080046dffffff,877.1,FALSE
87080046effffff,975.6,TRUE
870800470ffffff,177.6,TRUE
870800471ffffff,327.2,TRUE
870800472ffffff,782.6,TRUE
870800473ffffff,999,FALSE
870800474ffffff,1109.5,FALSE
870800475ffffff,1142.9,FALSE
870800476ffffff,477.4,TRUE
870800480ffffff,0,TRUE
870800481ffffff,519.6,TRUE
870800482ffffff,0,TRUE
870800483ffffff,468.6,TRUE
870800484ffffff,0,TRUE
870800485ffffff,308.6,TRUE
870800486ffffff,0,TRUE
870800488ffffff,788.5,TRUE
870800489ffffff,0,TRUE
87080048affffff,1903.9,FALSE
87080048bffffff,510.4,TRUE
87080048cffffff,107.4,TRUE
