hex_id,distance_m,intersects
870800092ffffff,4884.5,FALSE
870800093ffffff,4194.7,FALSE
870800098ffffff,4863.2,FALSE
87080009affffff,3097.1,FALSE
87080009effffff,4135.9,FALSE
8708000c0ffffff,12014.3,FALSE
8708000d8ffffff,11043.7,FALSE
8708000d9ffffff,8940.5,FALSE
870800143ffffff,6045.1,FALSE
870800148ffffff,3264.7,FALSE
870800149ffffff,2930.2,FALSE
87080014bffffff,4563.4,FALSE
87080015affffff,9389.5,FALSE
87080016bffffff,2294.2,FALSE
870800400ffffff,1848.4,FALSE
870800401ffffff,302.5,TRUE
870800402ffffff,2043.5,FALSE
870800403ffffff,135.9,TRUE
870800404ffffff,1497.4,FALSE
870800405ffffff,1215.9,FALSE
870800406ffffff,2043.7,FALSE
870800408ffffff,767.1,TRUE
870800409ffffff,422.9,TRUE
87080040affffff,2330.7,FALSE
87080040bffffff,1722,FALSE
87080040cffffff,11.8,TRUE
87080040dffffff,196.9,TRUE
87080040effffff,1242.2,FALSE
870800410ffffff,1491.6,FALSE
870800411ffffff,3095.8,FALSE
870800412ffffff,976.6,TRUE
870800413ffffff,2698.3,FALSE
870800414ffffff,85.2,TRUE
870800415ffffff,1763.9,FALSE
870800416ffffff,385.1,TRUE
870800418ffffff,2459.1,FALSE
870800419ffffff,2931.2,FALSE
87080041affffff,4199.2,FALSE
87080041bffffff,3442.1,FALSE
87080041cffffff,1588.6,FALSE
87080041dffffff,828.1,TRUE
87080041effffff,3249.2,FALSE
870800420ffffff,149.1,TRUE
870800421ffffff,1445,FALSE
870800422ffffff,126.7,TRUE
870800423ffffff,315.6,TRUE
870800424ffffff,243.5,TRUE
870800425ffffff,331,TRUE
870800426ffffff,931.2,TRUE
870800428ffffff,381.7,TRUE
870800429ffffff,1668,FALSE
87080042affffff,280.5,TRUE
87080042bffffff,1034,TRUE
87080042cffffff,1308,FALSE
87080042dffffff,985.4,FALSE
87080042effffff,164.8,TRUE
870800430ffffff,805.1,TRUE
870800431ffffff,131.2,TRUE
870800432ffffff,1498.7,FALSE
870800433ffffff,1659,FALSE
870800434ffffff,249.4,TRUE
870800435ffffff,207.3,TRUE
870800436ffffff,489.1,TRUE
870800440ffffff,2062.5,FALSE
870800441ffffff,300.5,TRUE
870800442ffffff,813.5,TRUE
870800443ffffff,1418.3,FALSE
870800444ffffff,1861.5,FALSE
870800445ffffff,1967,FALSE
870800446ffffff,840.5,TRUE
870800448ffffff,265.2,TRUE
870800449ffffff,6.1,TRUE
87080044affffff,1399,FALSE
87080044bffffff,775.9,TRUE
87080044cffffff,1382.9,FALSE
87080044dffffff,524,TRUE
87080044effffff,485.6,TRUE
870800450ffffff,45.3,TRUE
870800451ffffff,275.1,TRUE
870800452ffffff,82.6,TRUE
870800453ffffff,137.2,TRUE
870800454ffffff,541.2,TRUE
870800455ffffff,284,TRUE
870800456ffffff,680.9,TRUE
870800458ffffff,899.6,TRUE
870800459ffffff,1779.8,FALSE
87080045affffff,2157.3,FALSE
87080045bffffff,1836.4,FALSE
87080045cffffff,1198,FALSE
87080045dffffff,1.5,TRUE
87080045effffff,109.9,TRUE
870800461ffffff,3383.2,FALSE
870800462ffffff,435.7,TRUE
870800463ffffff,2161.1,FALSE
870800464ffffff,3737.4,FALSE
870800466ffffff,2318.1,FALSE
870800468ffffff,811.9,TRUE
870800469ffffff,1446.5,FALSE
87080046affffff,156.6,TRUE
87080046bffffff,884.7,TRUE
87080046cffffff,2780.1,FALSE
87080046dffffff,2436.1,FALSE
87080046effffff,2008.4,FALSE
870800470ffffff,346.6,TRUE
870800471ffffff,47.3,TRUE
870800472ffffff,637.8,TRUE
870800473ffffff,200.7,TRUE
870800474ffffff,485.2,TRUE
870800475ffffff,1260.3,FALSE
870800476ffffff,171.5,TRUE
870800480ffffff,2885.4,FALSE
870800481ffffff,1713.5,FALSE
870800482ffffff,3514.3,FALSE
870800483ffffff,3321,FALSE
870800484ffffff,771.2,TRUE
870800485ffffff,1611.3,FALSE
870800486ffffff,1568.4,FALSE
870800488ffffff,1497.6,FALSE
870800489ffffff,829.2,TRUE
87080048affffff,3242,FALSE
87080048bffffff,2536.6,FALSE
87080048cffffff,606.6,TRUE
87080048dffffff,246,TRUE
87080048effffff,2346.6,FALSE
870800490ffffff,3705,FALSE
870800491ffffff,4343.1,FALSE
870800492ffffff,5359.6,FALSE
870800493ffffff,5624.5,FALSE
870800494ffffff,2225.4,FALSE
870800495ffffff,2234.4,FALSE
870800496ffffff,3989.1,FALSE
870800498ffffff,5857.5,FALSE
870800499ffffff,4987,FALSE
87080049affffff,5511.3,FALSE
87080049bffffff,5655.1,FALSE
87080049cffffff,5024.1,FALSE
87080049dffffff,4096.4,FALSE
87080049effffff,6470.2,FALSE
8708004a0ffffff,912.4,TRUE
8708004a1ffffff,673.5,TRUE
8708004a2ffffff,1058.8,TRUE
8708004a3ffffff,807.6,TRUE
8708004a4ffffff,2425.2,FALSE
8708004a5ffffff,767.6,TRUE
8708004a6ffffff,2759.3,FALSE
8708004a8ffffff,1259.7,FALSE
8708004a9ffffff,2812.8,FALSE
8708004aaffffff,144.7,TRUE
8708004abffffff,1132.6,FALSE
8708004acffffff,1511.8,FALSE
8708004adffffff,2851.7,FALSE
8708004aeffffff,5.8,TRUE
8708004b0ffffff,2059.2,FALSE
8708004b1ffffff,532.9,TRUE
8708004b2ffffff,2303.8,FALSE
8708004b3ffffff,501.5,TRUE
8708004b4ffffff,4025.5,FALSE
8708004b5ffffff,2661.1,FALSE
8708004b6ffffff,3845.9,FALSE
8708004c0ffffff,2337.2,FALSE
8708004c1ffffff,3920.5,FALSE
8708004c2ffffff,1272.2,FALSE
8708004c3ffffff,2274.8,FALSE
8708004c4ffffff,302.5,TRUE
