"hex_id","distance_m","intersects"
"8808000935fffff",2835.897,FALSE
"8808000937fffff",2263.366,FALSE
"8808000985fffff",1290.11,FALSE
"88080009e1fffff",1560.617,FALSE
"88080009e3fffff",1185.322,FALSE
"8808000d93fffff",5766.423,FALSE
"8808001431fffff",12174.606,FALSE
"8808001483fffff",7574.399,FALSE
"8808001495fffff",7126.19,FALSE
"880800149bfffff",6085.329,FALSE
"880800149dfffff",7158.449,FALSE
"88080016b9fffff",9055.459,FALSE
"88080016bbfffff",8330.47,FALSE
"8808004001fffff",1843.75,FALSE
"8808004003fffff",1062.31,FALSE
"8808004009fffff",1967.921,FALSE
"880800400bfffff",1356.387,FALSE
"8808004011fffff",849.361,FALSE
"8808004013fffff",376.197,FALSE
"8808004015fffff",653.251,FALSE
"8808004017fffff",759.927,FALSE
"8808004019fffff",315.39,FALSE
"880800401bfffff",239.574,FALSE
"880800401dfffff",928.701,FALSE
"8808004033fffff",820.426,FALSE
"8808004039fffff",550.581,FALSE
"880800403bfffff",214.38,FALSE
"8808004043fffff",2288.724,FALSE
"8808004047fffff",2674.87,FALSE
"8808004051fffff",1255.429,FALSE
"8808004053fffff",529.443,FALSE
"8808004055fffff",1526.487,FALSE
"8808004057fffff",797.949,FALSE
"8808004059fffff",1170.735,FALSE
"880800405bfffff",985.293,FALSE
"880800405dfffff",1812.021,FALSE
"8808004065fffff",3970.177,FALSE
"880800406dfffff",3270.825,FALSE
"8808004081fffff",572.308,FALSE
"8808004089fffff",534.231,FALSE
"880800408bfffff",95.604,FALSE
"880800408dfffff",1047.69,FALSE
"8808004091fffff",63.759,FALSE
"8808004093fffff",773.369,FALSE
"8808004095fffff",586.413,FALSE
"8808004097fffff",719.457,FALSE
"880800409bfffff",709.941,FALSE
"88080040a1fffff",2150.761,FALSE
"88080040a3fffff",2004.293,FALSE
"88080040a5fffff",2022.522,FALSE
"88080040a7fffff",2489.391,FALSE
"88080040a9fffff",1689.787,FALSE
"88080040adfffff",1409.179,FALSE
"88080040b1fffff",1643.239,FALSE
"88080040b3fffff",1369.309,FALSE
"88080040b5fffff",1804.505,FALSE
"88080040b7fffff",1294.171,FALSE
"88080040b9fffff",900.211,FALSE
"88080040bbfffff",1127.655,FALSE
"88080040bdfffff",1442.491,FALSE
"88080040c1fffff",232.707,FALSE
"88080040c3fffff",507.069,FALSE
"88080040c5fffff",136.946,FALSE
"88080040c7fffff",319.062,FALSE
"88080040c9fffff",133.06,FALSE
"88080040cdfffff",63.285,FALSE
"88080040d1fffff",974.214,FALSE
"88080040d5fffff",554.867,FALSE
"88080040d9fffff",243.791,FALSE
"88080040ddfffff",619.869,FALSE
"88080040e1fffff",1169.451,FALSE
"88080040e3fffff",1385.683,FALSE
"88080040e5fffff",527.834,FALSE
"88080040e7fffff",1038.373,FALSE
"88080040e9fffff",760.977,FALSE
"88080040ebfffff",691.821,FALSE
"88080040edfffff",987.333,FALSE
"8808004109fffff",4360.328,FALSE
"8808004111fffff",3654.263,FALSE
"8808004113fffff",3092.738,FALSE
"8808004115fffff",3482.729,FALSE
"8808004117fffff",3629.703,FALSE
"8808004121fffff",1882.513,FALSE
"8808004125fffff",1289.929,FALSE
"880800412dfffff",1983.99,FALSE
"8808004131fffff",2365.34,FALSE
"8808004133fffff",2642.944,FALSE
"8808004137fffff",1998.453,FALSE
"8808004139fffff",2871.528,FALSE
"880800413bfffff",3000.139,FALSE
"8808004141fffff",4696.938,FALSE
"8808004143fffff",4884.903,FALSE
"8808004145fffff",4631.852,FALSE
"8808004147fffff",4385.633,FALSE
"8808004149fffff",3936.871,FALSE
"880800414bfffff",4492.096,FALSE
"880800414dfffff",4129.598,FALSE
"8808004151fffff",4077.175,FALSE
"8808004155fffff",4724.073,FALSE
"8808004159fffff",4353.415,FALSE
"880800415bfffff",3614.857,FALSE
"880800415dfffff",4793.844,FALSE
"8808004161fffff",3486.76,FALSE
"8808004165fffff",3134.066,FALSE
"8808004167fffff",2684.238,FALSE
"8808004169fffff",4236,FALSE
"880800416bfffff",3895.317,FALSE
"880800416dfffff",3907.774,FALSE
"8808004181fffff",2449.013,FALSE
"8808004183fffff",2665.225,FALSE
"8808004185fffff",3015.319,FALSE
"8808004187fffff",3127.425,FALSE
"8808004189fffff",1847.37,FALSE
"880800418bfffff",1933.951,FALSE
"880800418dfffff",2467.275,FALSE
"8808004191fffff",2824.992,FALSE
"8808004193fffff",2239.333,FALSE
"8808004195fffff",3066.669,FALSE
"8808004197fffff",2572.501,FALSE
"8808004199fffff",2063.665,FALSE
"880800419bfffff",2691.91,FALSE
"880800419dfffff",2294.092,FALSE
"88080041a1fffff",4200.886,FALSE
"88080041a3fffff",4324.036,FALSE
"88080041a5fffff",4005.516,FALSE
"88080041a7fffff",4752.419,FALSE
"88080041a9fffff",3608.879,FALSE
"88080041abfffff",3646.277,FALSE
"88080041adfffff",3755.644,FALSE
"88080041b1fffff",3372.616,FALSE
"88080041b3fffff",2676.981,FALSE
"88080041b5fffff",3866.924,FALSE
"88080041b7fffff",3157.503,FALSE
"88080041b9fffff",3415.398,FALSE
"88080041bbfffff",2928.777,FALSE
"88080041bdfffff",3842.19,FALSE
"88080041c1fffff",1837.238,FALSE
"88080041c3fffff",1423.322,FALSE
"88080041c7fffff",2069.046,FALSE
"88080041cbfffff",1313.329,FALSE
"88080041cdfffff",2557.436,FALSE
"88080041d1fffff",757.257,FALSE
"88080041d3fffff",1317.047,FALSE
"88080041d5fffff",1254.95,FALSE
"88080041d7fffff",1522.918,FALSE
"88080041d9fffff",152.132,FALSE
"88080041dbfffff",638.753,FALSE
"88080041ddfffff",779.32,FALSE
"88080041e1fffff",3361.92,FALSE
"88080041e3fffff",3098.273,FALSE
"88080041e5fffff",3094.617,FALSE
"88080041e7fffff",3655.722,FALSE
"88080041e9fffff",3139.573,FALSE
"88080041ebfffff",2715.335,FALSE
"88080041edfffff",3288.379,FALSE
"8808004201fffff",1020.815,FALSE
"8808004203fffff",1075.199,FALSE
"8808004205fffff",718.453,FALSE
"8808004207fffff",402.442,FALSE
"8808004209fffff",681.789,FALSE
"880800420bfffff",1221.665,FALSE
"880800420dfffff",281.2,FALSE
"8808004217fffff",1588.704,FALSE
"8808004221fffff",363.623,FALSE
"8808004225fffff",994.456,FALSE
"8808004229fffff",832.661,FALSE
"880800422bfffff",241.148,FALSE
"880800422dfffff",660.494,FALSE
"8808004231fffff",1572.354,FALSE
"8808004233fffff",1212.679,FALSE
"8808004237fffff",1675.424,FALSE
"880800423bfffff",1663.189,FALSE
"8808004241fffff",424.124,FALSE
"8808004243fffff",403.185,FALSE
"8808004245fffff",1062.282,FALSE
"8808004247fffff",518.02,FALSE
"8808004249fffff",764.707,FALSE
"8808004251fffff",547.463,FALSE
"8808004253fffff",1172.077,FALSE
"8808004255fffff",460.524,FALSE
"8808004257fffff",1069.065,FALSE
"880800425bfffff",1075.942,FALSE
"8808004261fffff",1082.842,FALSE
"8808004263fffff",726.114,FALSE
"8808004267fffff",1032.896,FALSE
"8808004281fffff",185.377,FALSE
"8808004285fffff",690.68,FALSE
"8808004289fffff",89.877,FALSE
"880800428bfffff",81.542,FALSE
"880800428dfffff",549.588,FALSE
"8808004295fffff",1202.025,FALSE
"880800429bfffff",1831.148,FALSE
"880800429dfffff",787.357,FALSE
"88080042a1fffff",465.542,FALSE
"88080042a5fffff",192.787,FALSE
"88080042a9fffff",1010,FALSE
"88080042abfffff",353.715,FALSE
"88080042adfffff",882.151,FALSE
"88080042b7fffff",422.488,FALSE
"88080042c1fffff",1244.637,FALSE
"88080042c3fffff",836.948,FALSE
"88080042cbfffff",1350.997,FALSE
"88080042d7fffff",473.802,FALSE
"88080042ddfffff",1197.07,FALSE
"88080042e1fffff",223.366,FALSE
"88080042e3fffff",695.488,FALSE
"88080042e5fffff",541.251,FALSE
"88080042e7fffff",556.753,FALSE
"88080042e9fffff",976.24,FALSE
"88080042edfffff",900.429,FALSE
"8808004301fffff",1881.364,FALSE
"8808004303fffff",1918.475,FALSE
"8808004305fffff",1731.989,FALSE
"8808004307fffff",2467.693,FALSE
"8808004309fffff",1478.712,FALSE
"880800430bfffff",1359.692,FALSE
"880800430dfffff",1113.225,FALSE
"8808004311fffff",1725.443,FALSE
"8808004315fffff",2136.651,FALSE
"8808004317fffff",2614.57,FALSE
"8808004319fffff",1032.561,FALSE
"880800431dfffff",1398.278,FALSE
"8808004321fffff",2585.44,FALSE
"8808004323fffff",3183.522,FALSE
"8808004325fffff",2870.164,FALSE
"8808004327fffff",3357.081,FALSE
"8808004329fffff",1815.715,FALSE
"880800432bfffff",2443.055,FALSE
"880800432dfffff",2104.999,FALSE
"8808004331fffff",3306.892,FALSE
"8808004333fffff",3657.456,FALSE
"8808004335fffff",3786.258,FALSE
"8808004337fffff",4044.662,FALSE
"8808004339fffff",2590.247,FALSE
