hex_id,distance_m,intersects
870800092ffffff,0,TRUE
870800093ffffff,1805.9,FALSE
870800098ffffff,5608.5,FALSE
87080009affffff,5241.6,FALSE
87080009effffff,3708,FALSE
8708000c0ffffff,2316,FALSE
8708000d8ffffff,6113.7,FALSE
8708000d9ffffff,7330,FALSE
870800143ffffff,870.5,TRUE
870800148ffffff,3518,FALSE
870800149ffffff,5155.4,FALSE
87080014bffffff,5417.6,FALSE
87080015affffff,0,TRUE
87080016bffffff,2192.9,FALSE
870800400ffffff,7920.8,FALSE
870800401ffffff,8366.7,FALSE
870800402ffffff,6390.9,FALSE
870800403ffffff,6929.9,FALSE
870800404ffffff,8080.8,FALSE
870800405ffffff,9476.3,FALSE
870800406ffffff,6521.6,FALSE
870800408ffffff,4726.4,FALSE
870800409ffffff,3098.7,FALSE
87080040affffff,4327.3,FALSE
87080040bffffff,2837.5,FALSE
87080040cffffff,6700.7,FALSE
87080040dffffff,5204.1,FALSE
87080040effffff,6371.8,FALSE
870800410ffffff,3409.5,FALSE
870800411ffffff,5009.7,FALSE
870800412ffffff,2074,FALSE
870800413ffffff,3479.5,FALSE
870800414ffffff,3564.9,FALSE
870800415ffffff,4965,FALSE
870800416ffffff,2007.2,FALSE
870800418ffffff,3799.3,FALSE
870800419ffffff,3558.4,FALSE
87080041affffff,2042.2,FALSE
87080041bffffff,2831,FALSE
87080041cffffff,5234.4,FALSE
87080041dffffff,5555.8,FALSE
87080041effffff,3603.8,FALSE
870800420ffffff,6841.5,FALSE
870800421ffffff,8735.8,FALSE
870800422ffffff,6721.9,FALSE
870800423ffffff,8514.5,FALSE
870800424ffffff,5495.8,FALSE
870800425ffffff,7391.2,FALSE
870800426ffffff,4957.2,FALSE
870800428ffffff,9251.8,FALSE
870800429ffffff,7388.5,FALSE
87080042affffff,8749.2,FALSE
87080042bffffff,7324.5,FALSE
87080042cffffff,10415.2,FALSE
87080042dffffff,8508.3,FALSE
87080042effffff,10348.2,FALSE
870800430ffffff,5647.7,FALSE
870800431ffffff,6850,FALSE
870800432ffffff,4152.6,FALSE
870800433ffffff,5169,FALSE
870800434ffffff,3521.6,FALSE
870800435ffffff,5015,FALSE
870800436ffffff,4515.5,FALSE
870800440ffffff,4785.7,FALSE
870800441ffffff,5669.1,FALSE
870800442ffffff,3243.8,FALSE
870800443ffffff,4850.6,FALSE
870800444ffffff,3321.3,FALSE
870800445ffffff,3585.5,FALSE
870800446ffffff,3773.8,FALSE
870800448ffffff,8221.8,FALSE
870800449ffffff,9283.8,FALSE
87080044affffff,6441,FALSE
87080044bffffff,7376.6,FALSE
87080044cffffff,6802.7,FALSE
87080044dffffff,7970.8,FALSE
87080044effffff,6613,FALSE
870800450ffffff,268.3,TRUE
870800451ffffff,1933.3,FALSE
870800452ffffff,154.1,TRUE
870800453ffffff,1761.8,FALSE
870800454ffffff,1987.3,FALSE
870800455ffffff,2014.2,FALSE
870800456ffffff,1099.9,TRUE
870800458ffffff,4377,FALSE
870800459ffffff,4719.1,FALSE
87080045affffff,2702.1,FALSE
87080045bffffff,3163.8,FALSE
87080045cffffff,3808.9,FALSE
87080045dffffff,5703.6,FALSE
87080045effffff,3418.5,FALSE
870800461ffffff,422.3,TRUE
870800462ffffff,2283.8,FALSE
870800463ffffff,1627.4,FALSE
