hex_id,distance_m,intersects
870800092ffffff,9473.7,FALSE
870800093ffffff,8944.7,FALSE
870800098ffffff,8425.8,FALSE
87080009affffff,6718.1,FALSE
87080009effffff,8541.2,FALSE
8708000c0ffffff,10436.1,FALSE
8708000d8ffffff,10355.3,FALSE
8708000d9ffffff,8278.7,FALSE
870800143ffffff,9229.9,FALSE
870800148ffffff,5423.8,FALSE
870800149ffffff,3520.7,FALSE
87080014bffffff,4458.4,FALSE
87080015affffff,10369.2,FALSE
87080016bffffff,6870.2,FALSE
870800400ffffff,2044.5,FALSE
870800401ffffff,772.8,TRUE
870800402ffffff,1630.5,FALSE
870800403ffffff,161.2,TRUE
870800404ffffff,1613.4,FALSE
870800405ffffff,2647,FALSE
870800406ffffff,375.9,TRUE
870800408ffffff,487.6,TRUE
870800409ffffff,2274.8,FALSE
87080040affffff,89.3,TRUE
87080040bffffff,1721.1,FALSE
87080040cffffff,709.6,TRUE
87080040dffffff,1030.2,FALSE
87080040effffff,0,TRUE
870800410ffffff,649.7,TRUE
870800411ffffff,58.4,TRUE
870800412ffffff,0,TRUE
870800413ffffff,0,TRUE
870800414ffffff,0,TRUE
870800415ffffff,28,TRUE
870800416ffffff,0,TRUE
870800418ffffff,0,TRUE
870800419ffffff,0,TRUE
87080041affffff,0,TRUE
87080041bffffff,0,TRUE
87080041cffffff,0,TRUE
87080041dffffff,0,TRUE
87080041effffff,0,TRUE
870800420ffffff,170.7,TRUE
870800421ffffff,2066.6,FALSE
870800422ffffff,77.7,TRUE
870800423ffffff,1643.2,FALSE
870800424ffffff,445.1,TRUE
870800425ffffff,912.2,TRUE
870800426ffffff,65.4,TRUE
870800428ffffff,2969.7,FALSE
870800429ffffff,3623.9,FALSE
87080042affffff,1359.5,FALSE
87080042bffffff,1992.1,FALSE
87080042cffffff,3962,FALSE
87080042dffffff,4689.1,FALSE
87080042effffff,3432.2,FALSE
870800430ffffff,0,TRUE
870800431ffffff,281.6,TRUE
870800432ffffff,0,TRUE
870800433ffffff,0,TRUE
870800434ffffff,511,TRUE
870800435ffffff,272.9,TRUE
870800436ffffff,0,TRUE
870800440ffffff,4329.3,FALSE
870800441ffffff,2901.4,FALSE
870800442ffffff,3240.1,FALSE
870800443ffffff,2345.3,FALSE
870800444ffffff,6380.4,FALSE
870800445ffffff,5031.2,FALSE
870800446ffffff,5328.8,FALSE
870800448ffffff,313.1,TRUE
870800449ffffff,1104.7,TRUE
87080044affffff,0,TRUE
87080044bffffff,0,TRUE
87080044cffffff,2124.9,FALSE
87080044dffffff,1885.3,FALSE
87080044effffff,772.9,TRUE
870800450ffffff,3740.9,FALSE
870800451ffffff,2207,FALSE
870800452ffffff,2425.4,FALSE
870800453ffffff,1758.6,FALSE
870800454ffffff,4166,FALSE
870800455ffffff,4336.4,FALSE
870800456ffffff,3224.3,FALSE
870800458ffffff,288.5,TRUE
870800459ffffff,0,TRUE
87080045affffff,0,TRUE
87080045bffffff,0,TRUE
87080045cffffff,1296.6,FALSE
87080045dffffff,246.1,TRUE
87080045effffff,111.7,TRUE
870800461ffffff,8218.7,FALSE
870800462ffffff,7003.3,FALSE
870800463ffffff,7161.1,FALSE
870800464ffffff,8792.6,FALSE
870800466ffffff,7131.4,FALSE
870800468ffffff,5535.6,FALSE
870800469ffffff,5116.1,FALSE
87080046affffff,4069.5,FALSE
87080046bffffff,3629,FALSE
87080046cffffff,7465.2,FALSE
87080046dffffff,7038.7,FALSE
87080046effffff,6125.3,FALSE
870800470ffffff,4017.6,FALSE
870800471ffffff,5692.1,FALSE
870800472ffffff,2805.4,FALSE
870800473ffffff,4684.4,FALSE
870800474ffffff,4334,FALSE
870800475ffffff,5529.7,FALSE
870800476ffffff,2623.5,FALSE
870800480ffffff,0,TRUE
870800481ffffff,0,TRUE
870800482ffffff,0,TRUE
870800483ffffff,0,TRUE
870800484ffffff,0,TRUE
870800485ffffff,0,TRUE
870800486ffffff,0,TRUE
870800488ffffff,0,TRUE
870800489ffffff,0,TRUE
87080048affffff,0,TRUE
87080048bffffff,0,TRUE
87080048cffffff,0,TRUE
87080048dffffff,0,TRUE
87080048effffff,0,TRUE
870800490ffffff,0,TRUE
870800491ffffff,0,TRUE
870800492ffffff,239.5,TRUE
870800493ffffff,0,TRUE
870800494ffffff,252.9,TRUE
870800495ffffff,0,TRUE
870800496ffffff,0,TRUE
870800498ffffff,0,TRUE
870800499ffffff,0,TRUE
87080049affffff,0,TRUE
87080049bffffff,0,TRUE
87080049cffffff,0,TRUE
87080049dffffff,0,TRUE
87080049effffff,0,TRUE
8708004a0ffffff,0,TRUE
8708004a1ffffff,220.9,TRUE
8708004a2ffffff,0,TRUE
8708004a3ffffff,0,TRUE
8708004a4ffffff,0,TRUE
8708004a5ffffff,0,TRUE
8708004a6ffffff,0,TRUE
8708004a8ffffff,0,TRUE
8708004a9ffffff,0,TRUE
