hex_id,distance_m,intersects
870800092ffffff,17067.8,FALSE
870800093ffffff,18307.6,FALSE
870800098ffffff,21144.1,FALSE
87080009affffff,19614,FALSE
87080009effffff,19653.3,FALSE
8708000c0ffffff,17266.8,FALSE
8708000d8ffffff,16498.9,FALSE
8708000d9ffffff,14374.7,FALSE
870800143ffffff,17009.5,FALSE
870800148ffffff,13379.6,FALSE
870800149ffffff,11606.4,FALSE
87080014bffffff,12833.7,FALSE
87080015affffff,18765.1,FALSE
87080016bffffff,13400.4,FALSE
870800400ffffff,4860.9,FALSE
870800401ffffff,6707.7,FALSE
870800402ffffff,4063.1,FALSE
870800403ffffff,5396,FALSE
870800404ffffff,4537.9,FALSE
870800405ffffff,6072.5,FALSE
870800406ffffff,3089.2,FALSE
870800408ffffff,5454.1,FALSE
870800409ffffff,6401.3,FALSE
87080040affffff,3693.8,FALSE
87080040bffffff,4762.4,FALSE
87080040cffffff,6775.3,FALSE
87080040dffffff,7214.8,FALSE
87080040effffff,5078.6,FALSE
870800410ffffff,2010.9,FALSE
870800411ffffff,3779.3,FALSE
870800412ffffff,2382.7,FALSE
870800413ffffff,3942.8,FALSE
870800414ffffff,244.1,TRUE
870800415ffffff,2153.8,FALSE
870800416ffffff,303.6,TRUE
870800418ffffff,2047.2,FALSE
870800419ffffff,1936.8,FALSE
87080041affffff,1429.4,FALSE
87080041bffffff,262.3,TRUE
87080041cffffff,4158.6,FALSE
87080041dffffff,3447.6,FALSE
87080041effffff,3328.4,FALSE
870800420ffffff,6921.7,FALSE
870800421ffffff,7829.6,FALSE
870800422ffffff,5162.4,FALSE
870800423ffffff,6152.1,FALSE
870800424ffffff,8189,FALSE
870800425ffffff,8681.3,FALSE
870800426ffffff,6465.2,FALSE
870800428ffffff,9059.4,FALSE
870800429ffffff,10233.3,FALSE
87080042affffff,7773.9,FALSE
87080042bffffff,8498,FALSE
87080042cffffff,9053.7,FALSE
87080042dffffff,10483.5,FALSE
87080042effffff,7505,FALSE
870800430ffffff,3143.7,FALSE
870800431ffffff,3404.9,FALSE
870800432ffffff,1795.9,FALSE
870800433ffffff,1656.9,FALSE
870800434ffffff,5110.5,FALSE
870800435ffffff,4768.5,FALSE
870800436ffffff,3922.2,FALSE
870800440ffffff,12217.9,FALSE
870800441ffffff,13840.6,FALSE
870800442ffffff,10866.8,FALSE
870800443ffffff,12570.6,FALSE
870800444ffffff,12212.1,FALSE
870800445ffffff,13656.4,FALSE
870800446ffffff,10681.3,FALSE
870800448ffffff,13216.7,FALSE
870800449ffffff,13623.4,FALSE
87080044affffff,11666.9,FALSE
87080044bffffff,11857.3,FALSE
87080044cffffff,15047.3,FALSE
87080044dffffff,14830.1,FALSE
87080044effffff,13627.6,FALSE
870800450ffffff,7899.5,FALSE
870800451ffffff,9618.5,FALSE
870800452ffffff,6694,FALSE
870800453ffffff,8513.6,FALSE
870800454ffffff,7711.9,FALSE
870800455ffffff,9232,FALSE
870800456ffffff,6244.1,FALSE
870800458ffffff,10917.4,FALSE
870800459ffffff,10233.8,FALSE
87080045affffff,9224.1,FALSE
87080045bffffff,8977.2,FALSE
87080045cffffff,11385.2,FALSE
87080045dffffff,12295.6,FALSE
87080045effffff,9987.2,FALSE
870800461ffffff,15419.2,FALSE
870800462ffffff,12572.6,FALSE
870800463ffffff,13797.1,FALSE
870800464ffffff,15010,FALSE
870800466ffffff,13269.5,FALSE
870800468ffffff,16632.9,FALSE
870800469ffffff,18046.4,FALSE
87080046affffff,15201.8,FALSE
87080046bffffff,16531.8,FALSE
87080046cffffff,16716.7,FALSE
87080046dffffff,18121.1,FALSE
87080046effffff,15162.1,FALSE
870800470ffffff,9806,FALSE
870800471ffffff,10909.7,FALSE
870800472ffffff,8091.5,FALSE
870800473ffffff,9281.8,FALSE
870800474ffffff,10735.2,FALSE
870800475ffffff,11533.9,FALSE
870800476ffffff,8975.2,FALSE
870800480ffffff,2723.9,FALSE
870800481ffffff,870.2,TRUE
870800482ffffff,3342.2,FALSE
870800483ffffff,1601.6,FALSE
870800484ffffff,3512.8,FALSE
870800485ffffff,2883.7,FALSE
870800486ffffff,4596,FALSE
870800488ffffff,312.3,TRUE
870800489ffffff,1857.1,FALSE
