hex_id,distance_m,intersects
870800092ffffff,63943.2,FALSE
870800093ffffff,64688.4,FALSE
870800098ffffff,66359.8,FALSE
87080009affffff,64548.3,FALSE
87080009effffff,65458.5,FALSE
8708000c0ffffff,79359.6,FALSE
8708000d8ffffff,75222.4,FALSE
8708000d9ffffff,75811,FALSE
870800143ffffff,90885.4,FALSE
870800148ffffff,89073.1,FALSE
870800149ffffff,87862.8,FALSE
87080014bffffff,86946.3,FALSE
87080015affffff,85946.7,FALSE
87080016bffffff,92118.4,FALSE
870800400ffffff,53158.3,FALSE
870800401ffffff,53638.1,FALSE
870800402ffffff,51403.9,FALSE
870800403ffffff,51879.1,FALSE
870800404ffffff,54490.9,FALSE
870800405ffffff,54912.6,FALSE
870800406ffffff,52743.1,FALSE
870800408ffffff,53022.6,FALSE
870800409ffffff,53686.7,FALSE
87080040affffff,51260.2,FALSE
87080040bffffff,51926.1,FALSE
87080040cffffff,54180.8,FALSE
87080040dffffff,54784.3,FALSE
87080040effffff,52419.3,FALSE
870800410ffffff,49248.7,FALSE
870800411ffffff,49649.4,FALSE
870800412ffffff,47502.3,FALSE
870800413ffffff,47894.9,FALSE
870800414ffffff,50649.3,FALSE
870800415ffffff,50995.7,FALSE
870800416ffffff,48906.4,FALSE
870800418ffffff,48894.5,FALSE
870800419ffffff,49497.1,FALSE
87080041affffff,47131.2,FALSE
87080041bffffff,47733.3,FALSE
87080041cffffff,50119.6,FALSE
87080041dffffff,50657.2,FALSE
87080041effffff,48359.7,FALSE
870800420ffffff,57613.6,FALSE
870800421ffffff,57987.2,FALSE
870800422ffffff,55873,FALSE
870800423ffffff,56239,FALSE
870800424ffffff,59018.5,FALSE
870800425ffffff,59354.7,FALSE
870800426ffffff,57281.1,FALSE
870800428ffffff,57154.9,FALSE
870800429ffffff,57701.8,FALSE
87080042affffff,55396.7,FALSE
87080042bffffff,55941.6,FALSE
87080042cffffff,58420.6,FALSE
87080042dffffff,58912.5,FALSE
87080042effffff,56666.7,FALSE
870800430ffffff,53809,FALSE
870800431ffffff,54133.2,FALSE
870800432ffffff,52074.6,FALSE
870800433ffffff,52392.9,FALSE
870800434ffffff,55271,FALSE
870800435ffffff,55544.6,FALSE
870800436ffffff,53546.9,FALSE
870800440ffffff,57674.5,FALSE
870800441ffffff,58464.1,FALSE
870800442ffffff,55920.2,FALSE
870800443ffffff,56715.4,FALSE
870800444ffffff,58690.7,FALSE
870800445ffffff,59428.6,FALSE
870800446ffffff,56937.5,FALSE
870800448ffffff,58540.6,FALSE
870800449ffffff,60087,FALSE
87080044affffff,56739.2,FALSE
87080044bffffff,58220.5,FALSE
87080044cffffff,59304.2,FALSE
87080044dffffff,60343.1,FALSE
87080044effffff,57562.4,FALSE
870800450ffffff,53420.2,FALSE
870800451ffffff,54165.5,FALSE
870800452ffffff,51660.8,FALSE
870800453ffffff,52410.6,FALSE
870800454ffffff,54409.4,FALSE
870800455ffffff,55179.1,FALSE
870800456ffffff,52652.5,FALSE
870800458ffffff,54080.2,FALSE
870800459ffffff,54950.7,FALSE
87080045affffff,52340.1,FALSE
87080045bffffff,53259.1,FALSE
87080045cffffff,54966.6,FALSE
87080045dffffff,55821,FALSE
87080045effffff,53218,FALSE
870800461ffffff,62192.6,FALSE
870800462ffffff,59677.7,FALSE
870800463ffffff,60441.8,FALSE
870800464ffffff,62480.9,FALSE
870800466ffffff,60723.3,FALSE
870800468ffffff,61961.6,FALSE
870800469ffffff,62750,FALSE
87080046affffff,60212.9,FALSE
87080046bffffff,61046.3,FALSE
87080046cffffff,62935.5,FALSE
87080046dffffff,63710.1,FALSE
87080046effffff,61182.2,FALSE
870800470ffffff,57206.2,FALSE
870800471ffffff,57922,FALSE
870800472ffffff,55446.8,FALSE
870800473ffffff,56165.9,FALSE
870800474ffffff,58305.8,FALSE
870800475ffffff,58965.1,FALSE
870800476ffffff,56545.4,FALSE
870800480ffffff,40878.7,FALSE
870800481ffffff,41316.8,FALSE
870800482ffffff,39125.6,FALSE
870800483ffffff,39555.5,FALSE
870800484ffffff,42268.3,FALSE
870800485ffffff,42632.3,FALSE
870800486ffffff,40523.1,FALSE
870800488ffffff,40671.6,FALSE
870800489ffffff,41350.6,FALSE
87080048affffff,38904.4,FALSE
