hex_id,distance_m,intersects
870800092ffffff,6882.8,FALSE
870800093ffffff,8295,FALSE
870800098ffffff,6691.7,FALSE
87080009affffff,5207.8,FALSE
87080009effffff,7248.3,FALSE
8708000c0ffffff,11957.8,FALSE
8708000d8ffffff,10999.6,FALSE
8708000d9ffffff,8897.8,FALSE
870800143ffffff,15924.8,FALSE
870800148ffffff,12161.4,FALSE
870800149ffffff,10290.9,FALSE
87080014bffffff,10656,FALSE
87080015affffff,15859,FALSE
87080016bffffff,12356.1,FALSE
870800400ffffff,2386.7,FALSE
870800401ffffff,1073.2,FALSE
870800402ffffff,3888.1,FALSE
870800403ffffff,2277,FALSE
870800404ffffff,1904.4,FALSE
870800405ffffff,1417.9,FALSE
870800406ffffff,3049.1,FALSE
870800408ffffff,1652.8,FALSE
870800409ffffff,1961.3,FALSE
87080040affffff,2868.1,FALSE
87080040bffffff,2125.1,FALSE
87080040cffffff,460.5,TRUE
87080040dffffff,577.3,TRUE
87080040effffff,1026.2,FALSE
870800410ffffff,1624.8,FALSE
870800411ffffff,3534.1,FALSE
870800412ffffff,1063.1,TRUE
870800413ffffff,2938.6,FALSE
870800414ffffff,1191.8,FALSE
870800415ffffff,2729.1,FALSE
870800416ffffff,190.4,TRUE
870800418ffffff,4065.4,FALSE
870800419ffffff,3131,FALSE
87080041affffff,2915.7,FALSE
87080041bffffff,1939.9,FALSE
87080041cffffff,3755.7,FALSE
87080041dffffff,2782.2,FALSE
87080041effffff,4415.2,FALSE
870800420ffffff,153.7,TRUE
870800421ffffff,1680.1,FALSE
870800422ffffff,122.4,TRUE
870800423ffffff,1549.3,FALSE
870800424ffffff,271.5,TRUE
870800425ffffff,454.9,TRUE
870800426ffffff,791,TRUE
870800428ffffff,211.7,TRUE
870800429ffffff,1668.5,FALSE
87080042affffff,402.9,TRUE
87080042bffffff,1169.3,TRUE
87080042cffffff,1553.8,FALSE
87080042dffffff,1190.1,FALSE
87080042effffff,1699.4,FALSE
870800430ffffff,880.3,TRUE
870800431ffffff,1294.8,FALSE
870800432ffffff,1793.2,FALSE
870800433ffffff,2842.4,FALSE
870800434ffffff,519.2,TRUE
870800435ffffff,81.9,TRUE
870800436ffffff,370.8,TRUE
870800440ffffff,4098.2,FALSE
870800441ffffff,2773.2,FALSE
870800442ffffff,3329,FALSE
870800443ffffff,2186.1,FALSE
870800444ffffff,3079.6,FALSE
870800445ffffff,4889.1,FALSE
870800446ffffff,2195.2,FALSE
870800448ffffff,22.8,TRUE
870800449ffffff,85.2,TRUE
87080044affffff,1294.1,FALSE
87080044bffffff,911.1,TRUE
87080044cffffff,1780.6,FALSE
87080044dffffff,1523.2,FALSE
87080044effffff,657.1,TRUE
870800450ffffff,500.6,TRUE
870800451ffffff,2390.1,FALSE
870800452ffffff,1369.6,FALSE
870800453ffffff,2558.4,FALSE
870800454ffffff,122.6,TRUE
870800455ffffff,1529.6,FALSE
870800456ffffff,736.2,TRUE
870800458ffffff,616.1,TRUE
870800459ffffff,1631,FALSE
87080045affffff,2291,FALSE
87080045bffffff,1767.2,FALSE
87080045cffffff,1577.8,FALSE
87080045dffffff,83.8,TRUE
87080045effffff,1828.2,FALSE
