hex_id,distance_m,intersects
870800092ffffff,4112.1,FALSE
870800093ffffff,3087.2,FALSE
870800098ffffff,1777.6,FALSE
87080009affffff,12.8,TRUE
87080009effffff,2005.1,FALSE
8708000c0ffffff,12385,FALSE
8708000d8ffffff,14117.3,FALSE
8708000d9ffffff,12556.2,FALSE
870800143ffffff,6382.7,FALSE
870800148ffffff,3511.4,FALSE
870800149ffffff,2954,FALSE
87080014bffffff,4647.4,FALSE
87080015affffff,9657.4,FALSE
87080016bffffff,2592,FALSE
870800400ffffff,3101.5,FALSE
870800401ffffff,1864.7,FALSE
870800402ffffff,4643.3,FALSE
870800403ffffff,3373.7,FALSE
870800404ffffff,1268.6,FALSE
870800405ffffff,1877.7,FALSE
870800406ffffff,3006.7,FALSE
870800408ffffff,2928.8,FALSE
870800409ffffff,2481.2,FALSE
87080040affffff,4266.9,FALSE
87080040bffffff,4240.2,FALSE
87080040cffffff,851.8,TRUE
87080040dffffff,2271.8,FALSE
87080040effffff,2517.8,FALSE
870800410ffffff,6524.5,FALSE
870800411ffffff,6263.3,FALSE
870800412ffffff,8287.5,FALSE
870800413ffffff,7901.3,FALSE
870800414ffffff,5578.3,FALSE
870800415ffffff,4763.5,FALSE
870800416ffffff,7294.5,FALSE
870800418ffffff,6018.5,FALSE
870800419ffffff,5835.7,FALSE
87080041affffff,7778.6,FALSE
87080041bffffff,7492.1,FALSE
87080041cffffff,5041.5,FALSE
87080041dffffff,4262.6,FALSE
87080041effffff,6758.6,FALSE
870800420ffffff,1450.4,FALSE
870800421ffffff,2055,FALSE
870800422ffffff,967,FALSE
870800423ffffff,316.6,TRUE
870800424ffffff,3503.4,FALSE
870800425ffffff,3078.1,FALSE
870800426ffffff,2665.1,FALSE
870800428ffffff,2228.4,FALSE
870800429ffffff,2705.7,FALSE
87080042affffff,1058.8,TRUE
87080042bffffff,1124.6,FALSE
87080042cffffff,3156.1,FALSE
87080042dffffff,3874.2,FALSE
87080042effffff,1908.4,FALSE
870800430ffffff,3922.6,FALSE
870800431ffffff,2362.3,FALSE
870800432ffffff,5351.7,FALSE
870800433ffffff,3905.9,FALSE
870800434ffffff,4425.6,FALSE
870800435ffffff,2852.7,FALSE
870800436ffffff,5665.4,FALSE
870800440ffffff,2603.4,FALSE
870800441ffffff,1009.3,FALSE
870800442ffffff,3936.9,FALSE
870800443ffffff,2748.1,FALSE
870800444ffffff,3396.6,FALSE
870800445ffffff,1970.9,FALSE
870800446ffffff,3288.5,FALSE
870800448ffffff,2980.2,FALSE
870800449ffffff,2682.6,FALSE
87080044affffff,4637.8,FALSE
87080044bffffff,4171.1,FALSE
87080044cffffff,1584.5,FALSE
87080044dffffff,1191.5,FALSE
87080044effffff,2619.2,FALSE
870800450ffffff,4480.9,FALSE
870800451ffffff,5515.8,FALSE
870800452ffffff,5819.9,FALSE
870800453ffffff,6589.4,FALSE
870800454ffffff,2413.8,FALSE
870800455ffffff,3521.5,FALSE
870800456ffffff,3949.8,FALSE
870800458ffffff,5844.3,FALSE
870800459ffffff,6043.4,FALSE
87080045affffff,7557.6,FALSE
87080045bffffff,7557.3,FALSE
87080045cffffff,4503.9,FALSE
87080045dffffff,4172.1,FALSE
87080045effffff,6263.1,FALSE
870800461ffffff,3524,FALSE
870800462ffffff,1780.1,FALSE
870800463ffffff,3635.2,FALSE
870800464ffffff,2117.7,FALSE
870800466ffffff,412.3,TRUE
870800468ffffff,39.2,TRUE
870800469ffffff,926.7,TRUE
87080046affffff,436.1,TRUE
87080046bffffff,423.5,TRUE
87080046cffffff,1983.3,FALSE
87080046dffffff,1013.1,TRUE
87080046effffff,1855.3,FALSE
870800470ffffff,427.2,TRUE
870800471ffffff,1737.1,FALSE
870800472ffffff,737.3,TRUE
870800473ffffff,1475.2,FALSE
870800474ffffff,1781.2,FALSE
870800475ffffff,103,TRUE
870800476ffffff,2036.1,FALSE
870800480ffffff,14655.3,FALSE
870800481ffffff,13752.7,FALSE
870800482ffffff,16386.3,FALSE
870800483ffffff,15512.6,FALSE
870800484ffffff,13583.1,FALSE
870800485ffffff,12934.8,FALSE
870800486ffffff,15350,FALSE
870800488ffffff,14382.1,FALSE
870800489ffffff,14174.1,FALSE
87080048affffff,16129.6,FALSE
87080048bffffff,15874.5,FALSE
87080048cffffff,13069.5,FALSE
87080048dffffff,12640.8,FALSE
87080048effffff,14835.4,FALSE
870800490ffffff,18886.1,FALSE
870800491ffffff,18125.1,FALSE
870800492ffffff,20655.3,FALSE
870800493ffffff,19869.7,FALSE
870800494ffffff,17804.9,FALSE
870800495ffffff,17117.7,FALSE
870800496ffffff,19568.4,FALSE
870800498ffffff,18369.8,FALSE
870800499ffffff,17881.6,FALSE
87080049affffff,20138.2,FALSE
87080049bffffff,19637.1,FALSE
87080049cffffff,17274.7,FALSE
87080049dffffff,16602.2,FALSE
87080049effffff,19038.5,FALSE
8708004a0ffffff,10775.7,FALSE
8708004a1ffffff,10051.7,FALSE
8708004a2ffffff,12527.7,FALSE
8708004a3ffffff,11816.9,FALSE
8708004a4ffffff,10085.1,FALSE
8708004a5ffffff,9030,FALSE
8708004a6ffffff,11769,FALSE
8708004a8ffffff,10242.7,FALSE
8708004a9ffffff,9540.9,FALSE
8708004aaffffff,11995.7,FALSE
8708004abffffff,11304.6,FALSE
8708004acffffff,9546.9,FALSE
8708004adffffff,8495.6,FALSE
8708004aeffffff,11229.4,FALSE
8708004b0ffffff,15195,FALSE
8708004b1ffffff,14284,FALSE
8708004b2ffffff,16925.6,FALSE
8708004b3ffffff,16043.3,FALSE
8708004b4ffffff,14612.1,FALSE
8708004b5ffffff,13474.7,FALSE
8708004b6ffffff,16281,FALSE
8708004c0ffffff,12330.3,FALSE
8708004c1ffffff,12651.5,FALSE
8708004c2ffffff,13956.4,FALSE
8708004c3ffffff,14163.3,FALSE
8708004c4ffffff,10607.3,FALSE
8708004c5ffffff,10748.8,FALSE
8708004c6ffffff,12291.2,FALSE
8708004c8ffffff,13777.3,FALSE
8708004c9ffffff,11909.3,FALSE
8708004caffffff,14477.4,FALSE
8708004cbffffff,12589.8,FALSE
8708004ccffffff,12780.3,FALSE
8708004cdffffff,12519.6,FALSE
8708004ceffffff,14533.2,FALSE
8708004d0ffffff,15714.3,FALSE
8708004d1ffffff,15611.8,FALSE
8708004d2ffffff,17443,FALSE
8708004d3ffffff,17286.7,FALSE
8708004d4ffffff,14221.9,FALSE
8708004d5ffffff,13995.7,FALSE
8708004d6ffffff,15847.4,FALSE
8708004d8ffffff,17210.8,FALSE
8708004d9ffffff,15349.7,FALSE
8708004daffffff,18185.1,FALSE
8708004dbffffff,16367,FALSE
8708004dcffffff,15728.4,FALSE
8708004ddffffff,16070.8,FALSE
8708004deffffff,17332.7,FALSE
8708004e0ffffff,7318.3,FALSE
8708004e1ffffff,7340.4,FALSE
8708004e2ffffff,9047,FALSE
8708004e3ffffff,8950.8,FALSE
8708004e4ffffff,6001.7,FALSE
8708004e5ffffff,5612,FALSE
8708004e6ffffff,7683.9,FALSE
8708004e8ffffff,9785.6,FALSE
8708004e9ffffff,9289.6,FALSE
8708004eaffffff,11214.4,FALSE
8708004ebffffff,11031.8,FALSE
8708004ecffffff,7825.3,FALSE
8708004edffffff,8023.8,FALSE
8708004eeffffff,9234.3,FALSE
8708004f0ffffff,10839,FALSE
8708004f1ffffff,10787.7,FALSE
8708004f2ffffff,12492.8,FALSE
8708004f3ffffff,12535.7,FALSE
8708004f4ffffff,9189.2,FALSE
8708004f5ffffff,9227.4,FALSE
8708004f6ffffff,10908.3,FALSE
870800502ffffff,2823,FALSE
870800503ffffff,2577.3,FALSE
870800508ffffff,4765.9,FALSE
87080050affffff,3555,FALSE
87080050bffffff,4862.5,FALSE
87080050effffff,3322,FALSE
870800510ffffff,1462,FALSE
870800511ffffff,1169.4,FALSE
870800512ffffff,978.8,FALSE
870800513ffffff,485,TRUE
870800514ffffff,3583.2,FALSE
870800515ffffff,2876.2,FALSE
870800516ffffff,2828.2,FALSE
870800518ffffff,1216.8,FALSE
870800519ffffff,2959.8,FALSE
87080051affffff,2358.4,FALSE
87080051bffffff,3329.7,FALSE
87080051cffffff,982.7,TRUE
87080051dffffff,1777,FALSE
87080051effffff,518.4,TRUE
870800532ffffff,4054.8,FALSE
870800548ffffff,5222,FALSE
87080054affffff,3556.7,FALSE
87080054bffffff,3869,FALSE
87080054effffff,5440.1,FALSE
870800552ffffff,3735.8,FALSE
870800553ffffff,4740.8,FALSE
870800556ffffff,4800.2,FALSE
870800558ffffff,3301.8,FALSE
870800559ffffff,2051.2,FALSE
87080055affffff,3291.5,FALSE
87080055bffffff,1396.1,FALSE
87080055dffffff,4142.2,FALSE
87080055effffff,4986.3,FALSE
870800580ffffff,6840.8,FALSE
870800581ffffff,6719.7,FALSE
870800582ffffff,8594.5,FALSE
870800583ffffff,8366.6,FALSE
870800584ffffff,5719.1,FALSE
870800585ffffff,5096.2,FALSE
870800586ffffff,7467.1,FALSE
870800588ffffff,8343.1,FALSE
870800589ffffff,6844.4,FALSE
87080058affffff,9819.1,FALSE
87080058bffffff,8435.4,FALSE
87080058cffffff,7129.1,FALSE
87080058dffffff,6912.4,FALSE
87080058effffff,8570.3,FALSE
870800590ffffff,10981.8,FALSE
870800591ffffff,10352.8,FALSE
870800592ffffff,12743.9,FALSE
870800593ffffff,12114.2,FALSE
870800594ffffff,10176.9,FALSE
870800595ffffff,9222.4,FALSE
870800596ffffff,11889.1,FALSE
870800598ffffff,11723.1,FALSE
870800599ffffff,11366.3,FALSE
87080059affffff,13371.7,FALSE
87080059bffffff,12970.1,FALSE
87080059cffffff,10054.3,FALSE
87080059dffffff,10115.1,FALSE
87080059effffff,11765.6,FALSE
8708005a0ffffff,3863.6,FALSE
8708005a1ffffff,2305.5,FALSE
8708005a2ffffff,5265.8,FALSE
8708005a3ffffff,3987,FALSE
8708005a4ffffff,2171.5,FALSE
8708005a5ffffff,2890.1,FALSE
8708005a6ffffff,3626,FALSE
8708005a8ffffff,3764.8,FALSE
8708005a9ffffff,3868,FALSE
8708005aaffffff,5152.6,FALSE
8708005abffffff,5517.1,FALSE
8708005acffffff,1736.6,FALSE
8708005adffffff,2173.1,FALSE
8708005aeffffff,3373.4,FALSE
8708005b0ffffff,6979.4,FALSE
8708005b1ffffff,6838.5,FALSE
8708005b2ffffff,8709.6,FALSE
8708005b3ffffff,8487.8,FALSE
8708005b4ffffff,5671.5,FALSE
8708005b5ffffff,5273.6,FALSE
8708005b6ffffff,7435.3,FALSE
870800602ffffff,3066.1,FALSE
870800606ffffff,4741.4,FALSE
870800608ffffff,1994.8,FALSE
870800609ffffff,3284.8,FALSE
87080060affffff,552.9,TRUE
87080060bffffff,1534.6,FALSE
87080060cffffff,3439.6,FALSE
87080060dffffff,3825.1,FALSE
87080060effffff,2205.5,FALSE
870800610ffffff,4098.3,FALSE
870800611ffffff,2269.4,FALSE
870800612ffffff,4386.1,FALSE
870800613ffffff,2859.7,FALSE
870800614ffffff,5624.5,FALSE
870800615ffffff,3998.8,FALSE
870800616ffffff,4461.3,FALSE
87080061affffff,1464.6,FALSE
87080061cffffff,1413.7,FALSE
87080061effffff,729.7,TRUE
870800628ffffff,6401.5,FALSE
87080062affffff,5078.8,FALSE
87080062bffffff,4969.6,FALSE
87080062cffffff,7966.9,FALSE
87080062dffffff,7958.1,FALSE
87080062effffff,6729.6,FALSE
870800630ffffff,7504.2,FALSE
870800631ffffff,6461.5,FALSE
870800632ffffff,6983.8,FALSE
870800633ffffff,5748.7,FALSE
870800634ffffff,9261.7,FALSE
870800636ffffff,7685.2,FALSE
870800640ffffff,4917,FALSE
870800641ffffff,3441.9,FALSE
870800642ffffff,3014.7,FALSE
870800643ffffff,4318.1,FALSE
870800644ffffff,5651.9,FALSE
870800645ffffff,4735.5,FALSE
870800646ffffff,3826.6,FALSE
870800648ffffff,122.6,TRUE
870800649ffffff,770.9,TRUE
87080064affffff,1836.9,FALSE
87080064bffffff,710.4,TRUE
87080064cffffff,1336.8,FALSE
87080064dffffff,510.4,TRUE
87080064effffff,2188.5,FALSE
870800650ffffff,1374.4,FALSE
870800651ffffff,1132.1,FALSE
870800653ffffff,248.1,TRUE
870800654ffffff,3040,FALSE
870800655ffffff,2149.9,FALSE
870800658ffffff,3752.3,FALSE
870800659ffffff,3744.1,FALSE
87080065affffff,2715.2,FALSE
87080065bffffff,4765.4,FALSE
87080065cffffff,3062.4,FALSE
87080065dffffff,3634.6,FALSE
87080065effffff,1664.4,FALSE
870800660ffffff,7890.2,FALSE
870800661ffffff,6335.9,FALSE
870800662ffffff,6777.7,FALSE
870800663ffffff,6263.4,FALSE
870800664ffffff,9565.2,FALSE
870800665ffffff,8083.9,FALSE
870800666ffffff,8133.2,FALSE
870800668ffffff,3465.5,FALSE
870800669ffffff,3346.1,FALSE
87080066affffff,2889.4,FALSE
87080066bffffff,1805.6,FALSE
87080066cffffff,5194.7,FALSE
87080066dffffff,4778.7,FALSE
87080066effffff,4597.9,FALSE
870800672ffffff,4777.4,FALSE
870800673ffffff,3767.3,FALSE
870800680ffffff,1418.2,FALSE
870800681ffffff,3423.7,FALSE
870800682ffffff,2234.2,FALSE
870800683ffffff,3101,FALSE
870800684ffffff,581.2,TRUE
870800685ffffff,2520.4,FALSE
870800686ffffff,1180.1,FALSE
870800688ffffff,6793.8,FALSE
870800689ffffff,7437.6,FALSE
87080068affffff,6419,FALSE
87080068bffffff,8248.7,FALSE
