hex_id,distance_m,intersects
870800092ffffff,2990.8,FALSE
870800093ffffff,4786.4,FALSE
870800098ffffff,8499.3,FALSE
87080009affffff,8354.9,FALSE
87080009effffff,6640.9,FALSE
8708000c0ffffff,0,TRUE
8708000d8ffffff,3041.9,FALSE
8708000d9ffffff,3329.5,FALSE
870800143ffffff,11771,FALSE
870800148ffffff,9643.8,FALSE
870800149ffffff,8965.7,FALSE
87080014bffffff,7588,FALSE
87080015affffff,8196.7,FALSE
87080016bffffff,12986.8,FALSE
870800400ffffff,8934.8,FALSE
870800401ffffff,7310.3,FALSE
870800402ffffff,10301.5,FALSE
870800403ffffff,8804.6,FALSE
870800404ffffff,7539.6,FALSE
870800405ffffff,7657.4,FALSE
870800406ffffff,8914.4,FALSE
870800408ffffff,6412.4,FALSE
870800409ffffff,5706.6,FALSE
87080040affffff,8155.8,FALSE
87080040bffffff,7462.8,FALSE
87080040cffffff,5860,FALSE
87080040dffffff,4683.9,FALSE
87080040effffff,7497.5,FALSE
870800410ffffff,11974.8,FALSE
870800411ffffff,11774.6,FALSE
870800412ffffff,13591,FALSE
870800413ffffff,13319.1,FALSE
870800414ffffff,10238.5,FALSE
870800415ffffff,10407.4,FALSE
870800416ffffff,11921.5,FALSE
870800418ffffff,10858.4,FALSE
870800419ffffff,9906.7,FALSE
87080041affffff,12568.8,FALSE
87080041bffffff,11661.9,FALSE
87080041cffffff,10383.9,FALSE
87080041dffffff,9168.9,FALSE
87080041effffff,12015.2,FALSE
870800420ffffff,4232.2,FALSE
870800421ffffff,5481.9,FALSE
870800422ffffff,5507.8,FALSE
870800423ffffff,6353.6,FALSE
870800424ffffff,2130,FALSE
870800425ffffff,3406.3,FALSE
870800426ffffff,3594.4,FALSE
870800428ffffff,4686.9,FALSE
870800429ffffff,2992.5,FALSE
87080042affffff,5962,FALSE
87080042bffffff,4322.2,FALSE
87080042cffffff,5485.9,FALSE
87080042dffffff,3613.3,FALSE
87080042effffff,6440,FALSE
870800430ffffff,6951.8,FALSE
870800431ffffff,6995.8,FALSE
870800432ffffff,8681.4,FALSE
870800433ffffff,8588.9,FALSE
870800434ffffff,5655.5,FALSE
870800435ffffff,5245.4,FALSE
870800436ffffff,7416.8,FALSE
870800440ffffff,6054.6,FALSE
870800441ffffff,7557.2,FALSE
870800442ffffff,6912.4,FALSE
870800443ffffff,8167.4,FALSE
870800444ffffff,3957.7,FALSE
870800445ffffff,5572.3,FALSE
870800446ffffff,4786.1,FALSE
870800448ffffff,11128.2,FALSE
870800449ffffff,12603.9,FALSE
87080044affffff,11655.3,FALSE
87080044bffffff,12930.9,FALSE
87080044cffffff,9209.1,FALSE
87080044dffffff,10887.3,FALSE
87080044effffff,9604.7,FALSE
870800450ffffff,7418.1,FALSE
870800451ffffff,8062,FALSE
870800452ffffff,8949.5,FALSE
870800453ffffff,9395.5,FALSE
870800454ffffff,5556.3,FALSE
870800455ffffff,6008.6,FALSE
870800456ffffff,7205.3,FALSE
870800458ffffff,11170.8,FALSE
870800459ffffff,12395.9,FALSE
87080045affffff,12249.4,FALSE
87080045bffffff,13301.2,FALSE
87080045cffffff,9041.1,FALSE
87080045dffffff,10282.9,FALSE
87080045effffff,10147.7,FALSE
870800461ffffff,3536.5,FALSE
870800462ffffff,1935.5,FALSE
870800463ffffff,3710,FALSE
870800464ffffff,0,TRUE
870800466ffffff,93.9,TRUE
870800468ffffff,7014.5,FALSE
870800469ffffff,8556.8,FALSE
87080046affffff,7325.3,FALSE
87080046bffffff,9103,FALSE
87080046cffffff,4954,FALSE
87080046dffffff,6619.5,FALSE
87080046effffff,5489.6,FALSE
870800470ffffff,2224.4,FALSE
870800471ffffff,2667.2,FALSE
870800472ffffff,3956.4,FALSE
870800473ffffff,4004.9,FALSE
870800474ffffff,1344.5,FALSE
870800475ffffff,602.3,TRUE
870800476ffffff,2992.8,FALSE
870800480ffffff,13775.8,FALSE
870800481ffffff,14274.5,FALSE
870800482ffffff,12998.6,FALSE
870800483ffffff,12684.8,FALSE
870800484ffffff,12901,FALSE
870800485ffffff,14724.8,FALSE
870800486ffffff,11899.3,FALSE
870800488ffffff,12699.5,FALSE
870800489ffffff,13130.7,FALSE
87080048affffff,10965.1,FALSE
87080048bffffff,11365.1,FALSE
87080048cffffff,14230.4,FALSE
87080048dffffff,14441.2,FALSE
87080048effffff,12547.4,FALSE
870800490ffffff,10518.5,FALSE
870800491ffffff,11689.7,FALSE
870800492ffffff,10224.6,FALSE
870800493ffffff,10406,FALSE
870800494ffffff,9182.9,FALSE
870800495ffffff,11090.2,FALSE
