hex_id,population,source_cell_count
88080009adfffff,2,1
8808000c01fffff,1,1
8808004019fffff,4,1
880800401bfffff,8,2
880800403bfffff,2,1
8808004083fffff,4,1
880800408bfffff,15,3
8808004091fffff,5,1
88080040c1fffff,3,1
88080040c5fffff,2,1
88080040c7fffff,6,2
88080040c9fffff,55,3
88080040cdfffff,40,3
88080040d9fffff,2,1
88080040dbfffff,5,2
88080041d9fffff,1,1
880800420dfffff,5,1
880800422bfffff,7,2
880800424bfffff,4,2
880800425dfffff,10,4
8808004281fffff,5,3
8808004287fffff,1,1
8808004289fffff,14,3
880800428bfffff,19,4
88080042a5fffff,16,3
88080042a7fffff,23,4
88080042abfffff,3,1
88080042b3fffff,8,1
88080042b5fffff,2,2
88080042b7fffff,6,1
88080042e1fffff,2,1
8808004345fffff,2,1
8808004353fffff,1,1
880800436bfffff,2,1
8808004499fffff,1,1
880800449bfffff,17,3
88080044b3fffff,22,4
88080044bbfffff,8,2
88080044d3fffff,3,1
88080044d9fffff,4,1
88080044e3fffff,8,2
8808004501fffff,69,4
8808004503fffff,137,5
8808004507fffff,12,1
8808004509fffff,89,4
880800450bfffff,72,4
880800450dfffff,56,3
8808004515fffff,3,1
8808004519fffff,2,1
880800451dfffff,5,2
880800453bfffff,6,2
8808004541fffff,4,1
8808004543fffff,19,4
8808004547fffff,6,2
880800454bfffff,4,1
8808004555fffff,64,1
880800455bfffff,2,1
8808004563fffff,31,2
8808004581fffff,6,4
8808004589fffff,4,2
88080045c7fffff,4,1
8808004625fffff,1,1
8808004703fffff,5,1
880800470bfffff,11,1
880800470dfffff,2,1
8808004721fffff,1,1
880800472bfffff,6,3
8808004731fffff,1,1
8808004737fffff,2,1
8808004761fffff,8,3
8808004765fffff,1,1
8808004845fffff,14,3
880800484dfffff,2,1
8808004a11fffff,8,2
8808004a15fffff,9,3
8808004a17fffff,2,1
8808004ac5fffff,2,1
8808004ae9fffff,1,1
8808004b13fffff,4,2
8808004b33fffff,4,2
8808004b3bfffff,5,1
8808004c83fffff,12,2
