hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
881f0c9165fffff,8,9,5,8.2,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c916dfffff,8,9,6,16.3,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9325fffff,8,9,1,9.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9329fffff,8,9,1,10.7,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c932dfffff,8,9,6,15.2,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9361fffff,8,9,6,18.6,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
881f0c9363fffff,8,9,2,6.7,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9365fffff,8,9,7,23.8,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9367fffff,8,9,7,9.3,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9369fffff,8,9,4,10.3,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c936dfffff,8,9,7,14.0,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9845fffff,8,9,3,23.5,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9849fffff,8,9,1,13.7,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c984dfffff,8,9,5,21.3,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9869fffff,8,9,4,22.9,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c986dfffff,8,9,5,20.1,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9941fffff,8,9,7,17.3,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9943fffff,8,9,2,14.6,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9949fffff,8,9,7,21.3,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c994bfffff,8,9,7,13.0,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c994dfffff,8,9,6,22.8,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9959fffff,8,9,2,14.1,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c995dfffff,8,9,3,14.9,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
881f0c9a01fffff,8,9,7,14.1,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
881f0c9a05fffff,8,9,7,5.1,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
881f0c9a07fffff,8,9,2,2.7,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9a09fffff,8,9,7,14.8,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
881f0c9a0bfffff,8,9,3,18.5,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
881f0c9a0dfffff,8,9,7,17.0,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
881f0c9a21fffff,8,9,4,19.4,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9a25fffff,8,9,7,15.6,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
881f0c9a27fffff,8,9,7,19.2,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
