hex_id,h3_resolution,source_resolution,source_child_count,solar_score,solar_class,solar_class_label,solar_color,high_potential_share,class_km,landscape_type
891f0c9a673ffff,9,9,1,63.5,medium,Medel,#e2c85f,0.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6c993ffff,9,9,1,23.5,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
891f2a70a0fffff,9,9,1,21.6,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
891f2a75b2fffff,9,9,1,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6060bffff,9,9,1,9.0,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
891f2a74a8bffff,9,9,1,66.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a64687ffff,9,9,1,9.2,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f0c9b503ffff,9,9,1,68.4,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6e8c7ffff,9,9,1,30.2,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
891f2a7591bffff,9,9,1,29.8,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
891f2a65517ffff,9,9,1,7.0,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f2a74877ffff,9,9,1,13.4,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
891f2a64473ffff,9,9,1,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6e6b3ffff,9,9,1,23.3,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
891f2a633cfffff,9,9,1,22.0,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
891f0c9a24bffff,9,9,1,12.6,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
891f2a6232bffff,9,9,1,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6744bffff,9,9,1,6.0,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f2a663a7ffff,9,9,1,67.9,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a65303ffff,9,9,1,66.7,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a74663ffff,9,9,1,23.1,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
891f0c9b0dbffff,9,9,1,27.5,low,Låg,#d88752,0.0,3,Flygsands- och låglänta kuststråk
891f2a631bbffff,9,9,1,19.6,very_low,Mycket låg,#8c3b3b,0.0,1,Tätorts- och verksamhetskärnor
891f2a7763bffff,9,9,1,24.4,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
891f2a62117ffff,9,9,1,70.0,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a67237ffff,9,9,1,68.2,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a66193ffff,9,9,1,17.9,very_low,Mycket låg,#8c3b3b,0.0,4,Brant relief och dalpräglat inland
891f2a7444fffff,9,9,1,68.3,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a6404bffff,9,9,1,1.0,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f2a77427ffff,9,9,1,68.6,high,Hög,#79b46b,1.0,2,Vardagslandskap med blandad bakgrundskaraktär
891f2a67023ffff,9,9,1,5.8,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f2a0db17ffff,9,9,1,24.1,very_low,Mycket låg,#8c3b3b,0.0,3,Flygsands- och låglänta kuststråk
891f2a64edbffff,9,9,1,13.2,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
891f2a7423bffff,9,9,1,10.5,very_low,Mycket låg,#8c3b3b,0.0,5,Skogligt skyddsinland och habitatkärnor
