hex_id,h3_resolution,acceptance_low,acceptance_medium,acceptance_high,data_status,method_version
870800092ffffff,7,0.197,0.359,0.581,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800093ffffff,7,0.5,0.685,0.864,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800098ffffff,7,0.346,0.499,0.722,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080009affffff,7,0.33,0.514,0.731,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080009effffff,7,0.351,0.56,0.762,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708000c0ffffff,7,0.327,0.511,0.735,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708000d8ffffff,7,0.344,0.553,0.74,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
8708000d9ffffff,7,0.261,0.46,0.669,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800143ffffff,7,0.272,0.442,0.619,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800148ffffff,7,0.168,0.365,0.585,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800149ffffff,7,0.108,0.312,0.496,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080014bffffff,7,0.226,0.377,0.578,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080015affffff,7,0.445,0.618,0.847,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080016bffffff,7,0.0,0.158,0.357,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800400ffffff,7,0.385,0.584,0.76,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800401ffffff,7,0.284,0.452,0.676,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800402ffffff,7,0.383,0.558,0.744,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800403ffffff,7,0.194,0.385,0.566,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800404ffffff,7,0.116,0.306,0.515,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800405ffffff,7,0.291,0.469,0.664,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800406ffffff,7,0.096,0.258,0.452,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800408ffffff,7,0.391,0.556,0.753,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800409ffffff,7,0.407,0.559,0.777,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080040affffff,7,0.272,0.426,0.604,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080040bffffff,7,0.307,0.463,0.682,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080040cffffff,7,0.418,0.592,0.805,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080040dffffff,7,0.231,0.406,0.576,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080040effffff,7,0.502,0.697,0.877,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800410ffffff,7,0.088,0.29,0.508,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800411ffffff,7,0.361,0.57,0.768,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800412ffffff,7,0.398,0.59,0.818,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800413ffffff,7,0.157,0.331,0.553,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800414ffffff,7,0.385,0.562,0.769,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800415ffffff,7,0.458,0.639,0.839,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800416ffffff,7,0.158,0.365,0.58,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800418ffffff,7,0.238,0.396,0.573,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800419ffffff,7,0.411,0.564,0.785,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080041affffff,7,0.11,0.314,0.493,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080041bffffff,7,0.351,0.517,0.739,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080041cffffff,7,0.312,0.491,0.69,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080041dffffff,7,0.305,0.47,0.682,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080041effffff,7,0.239,0.429,0.64,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800420ffffff,7,0.33,0.495,0.724,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800421ffffff,7,0.475,0.652,0.839,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800422ffffff,7,0.21,0.385,0.589,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800423ffffff,7,0.413,0.573,0.771,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800424ffffff,7,0.417,0.609,0.822,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800425ffffff,7,0.435,0.618,0.847,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800426ffffff,7,0.366,0.525,0.697,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800428ffffff,7,0.369,0.568,0.791,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800429ffffff,7,0.244,0.454,0.683,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080042affffff,7,0.397,0.565,0.742,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080042bffffff,7,0.445,0.653,0.843,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080042cffffff,7,0.404,0.614,0.807,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080042dffffff,7,0.367,0.575,0.762,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
87080042effffff,7,0.268,0.448,0.648,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800430ffffff,7,0.213,0.379,0.596,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800431ffffff,7,0.39,0.547,0.775,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
870800432ffffff,7,0.275,0.464,0.679,synthetic_test_data_not_research,trondelag_synthetic_social_acceptance_v0
