hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,wind_eligible,solar_eligible,wind_hard_stop,solar_hard_stop,wind_establishment_placement_score,solar_establishment_placement_score,wind_hard_stop_reasons,solar_hard_stop_reasons,wind_exclusion_reason,solar_exclusion_reason,grid_component,road_component,wind_settlement_component,solar_settlement_component,protected_component,culture_component,coastal_component,aviation_component,military_component,grid_distance_m,road_distance_m,settlement_distance_m,protected_distance_m,culture_distance_m,coastal_hard_distance_m,coastal_zone_distance_m,aviation_bird_distance_m,military_distance_m
891f0c91643ffff,9,10,4,False,False,True,True,53.11,56.98,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,0.754,1.0,0.0,0.2978,0.0,1.0,0.0,1.0,1.0,2230.2,326.0,263.8,44.4,924.8,71.8,44.4,12529.6,14317.3
891f0c9164bffff,9,10,6,False,False,True,True,51.19,52.61,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,0.777,1.0,0.0,0.1595,0.0,0.6792,0.0,1.0,1.0,2115.2,224.4,187.7,0.0,611.3,0.0,0.0,12347.4,14057.7
891f0c91653ffff,9,10,7,False,False,True,True,54.31,52.91,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.7969,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2015.6,154.3,113.4,0.0,1047.8,0.0,0.0,12375.2,14262.4
891f0c9165bffff,9,10,7,False,False,True,True,40.24,35.1,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.8199,0.0553,0.0,0.0,0.0,0.8133,0.0,1.0,1.0,1900.6,8.3,15.8,16.9,732.0,0.0,0.0,12190.3,13998.9
891f0c916c3ffff,9,10,6,False,False,True,True,54.87,53.5,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.8168,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1916.0,176.5,122.5,13.7,1406.3,13.7,13.7,12414.0,14483.2
891f0c916cbffff,9,10,7,False,False,True,True,42.26,37.15,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.8398,0.0533,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1801.0,8.0,14.8,16.5,1235.8,0.0,0.0,12223.8,14213.8
891f0c916cfffff,9,10,3,False,False,True,True,53.67,56.14,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,protected_areas;strand_protection,0.7739,1.0,0.0,0.2182,0.0,1.0,0.0,1.0,1.0,2130.6,331.2,220.0,84.5,1365.3,95.8,84.5,12562.9,14528.1
891f0c916d3ffff,9,10,7,False,False,True,True,44.99,40.55,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.8597,0.2087,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1701.4,31.3,22.6,0.0,1281.3,0.0,0.0,12268.0,14444.6
891f0c916d7ffff,9,10,4,False,False,True,True,54.23,52.81,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.7938,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2031.0,370.1,154.4,69.6,1510.8,89.3,69.6,12606.8,14754.6
891f0c916dbffff,9,10,7,False,False,True,True,49.1,45.69,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,buildings_low;protected_areas;strand_protection,0.8827,0.456,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1586.4,68.4,97.7,173.9,1067.1,0.0,0.0,12075.0,14171.7
