hex_id,h3_resolution,source_h3_resolution,aggregation_method,source_child_hex_count,class_km,class_k8,landscape_type_id,landscape_type_name,landscape_type,landscape_source,qgis_fill,dominant_area_m2,dominant_area_km2,dominant_area_share_pct,total_classified_area_m2,classified_hex_share_pct,hex_area_m2,type_count,second_type_id,second_area_m2,review_flag,review_flag_tie,review_flag_low_dominance,review_flag_low_hex_coverage,review_flag_overlap_possible,legacy_v10_type_id,legacy_v10_type_name,legacy_v10_confidence,F1,F2,F3,F4,F5,centroid_ost_m,centroid_nord_m,befolkning_antal,stor_vag_langd_m,bebyggelsecentrum_andel,gles_bebyggelse_andel,industri_verksamhet_andel,jordbruksmark_andel,skog_andel,fredskov_andel,sjo_andel,vatmark_andel,vattendrag_langd_m,skyddade_vattendrag_langd_m,kustlinje_langd_m,kustnara_zon_andel,sanddyn_andel,ekologisk_forbindelse_andel,fredade_omraden_andel,natura_habitat_andel,natura_fagelskydd_andel,strandbeskyddelse_andel,kulturhistoriskt_bevarandevarde_andel,vardefull_kulturmiljo_andel,militart_omrade_andel,inflygningszon_andel,relief_m,hogsta_hojd_m,medelhojd_kontur_m,medellutning_kontur_grader,total_vag_langd_m,hogspanning_langd_m,vindkraftverk_antal,solpark_antal,elstation_antal,beskyttede_naturtyper_andel,natur_viltreservat_andel,natura_sarskilt_utpekad_mark_andel,skyddad_natur_andel,skyddad_natur_max_komponent_andel,skyddad_natur_komponent_antal,skyddad_natur_finns
891f0c91643ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,4,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,50869.07666902337,0.05086907666902337,100.0,50869.07666902337,99.99999999999817,50869.0766690243,1,,0.0,,False,False,False,False,LT01,Klippigt kustlandskap,hög,1.9454,1.7974,-0.7915,0.1282,0.6469,892782.476843501,6121301.04459623,0,0.0,0.0,0.0,0.0,0.0132002668803574,0.0548241343671027,0.0,0.0075594036231884,0.0,0.0,0.0,876.340181115251,0.416755431995497,0.0,0.629137923133342,0.453986205271801,0.0,0.0,0.234788972573114,0.0,0.0,0.0,0.0,2.5,5.0,3.98346890566344,1.03125308505272,0.0,0.0,0,0,0,0.411570854001167,0.0,0.0,0.865557059272968,0.453986205271801,2,True
891f0c9164bffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,6,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,60442.49096272327,0.06044249096272327,87.67724649301235,68937.48763830122,90.34863284651338,76301.63895829394,2,LT05,8494.996675577946,,False,False,False,False,LT01,Klippigt kustlandskap,hög,2.0111,1.3826,-0.6909,0.1022,1.1699,892646.28635351,6121011.34498069,0,0.0,0.0,0.0,0.0,0.0,0.0543337372152358,0.0,0.0,0.0,249.837638482458,0.0,564.818835956193,0.650554322633333,0.0,0.848739346294038,0.639807857598301,0.0,0.0,0.538682999430202,0.0,0.0,0.0,0.0,10.0,12.5,5.83837797636019,1.7142817794275,0.0,0.0,0,0,0,0.458434687450515,0.0,0.0,1.0,0.639807857598301,2,True
891f0c91653ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,7,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,61926.61248420272,0.06192661248420272,78.01621452638571,79376.59223809,89.17857536465489,89008.58969042264,2,LT05,17449.97975388728,,False,False,False,False,LT01,Klippigt kustlandskap,hög,1.9878,1.305,-0.6923,0.2263,0.6815,892583.560076559,6121533.9913113,0,191.175409430663,0.0,0.0,0.0,0.387919996403735,0.197377642217504,0.0,0.0,0.0,393.24953984253,0.0,619.205261992111,0.862311713253862,0.0,0.990844742070227,0.836174682355838,0.0,0.0,0.733763686052213,0.0,0.0,0.0,0.0,12.5,15.0,7.44016377059663,2.15172286452019,191.175409430663,0.0,0,0,0,0.528454624517836,0.0,0.0,1.0,0.836174682355838,2,True
891f0c9165bffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,7,5,5,LT05,Slätt- och jordbrukslandskap,Slätt- och jordbrukslandskap,LABLAB PDF dominant R10 aggregated to R9,#C7D84C,70060.7254119385,0.0700607254119385,91.25225937580355,76776.97614412801,86.2558934532018,89010.70184355974,2,LT01,6716.25073218951,low_dominant_share,False,True,False,False,LT01,Klippigt kustlandskap,hög,1.4782,0.8414,-0.7995,0.1015,1.0334,892447.370051515,6121244.30291063,4,332.879897012728,0.0,0.0,0.0,0.435369208786932,0.0549719616262584,0.0,0.0023768224960304,0.0,33.0874487802025,0.0,0.0,0.999999999999583,0.0,0.5426305627257,0.459533622885059,0.0,0.0,0.664552022915505,0.0,0.0,0.0,0.0,17.5,22.5,14.9451029052945,2.64652231001536,332.879897012728,0.0,0,0,0,0.379145110601015,0.0,0.0,0.838678733486074,0.459533622885059,2,True
891f0c916c3ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,6,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,66924.5382923712,0.0669245382923712,100.0,66924.5382923712,87.72659120923088,76287.63111603633,1,,0.0,,False,False,False,False,LT01,Klippigt kustlandskap,hög,2.4211,1.1714,-0.8917,0.2695,0.4577,892520.836401542,6122056.59378332,0,9.10549831452904,0.0,0.0,0.0,0.112999729699412,0.166110210887692,0.0,0.0,0.0,0.0,0.0,752.808378441253,0.573125485872738,0.0,0.624245665392262,0.563592954347603,0.0,0.0,0.625819250324687,0.0,0.0,0.0,0.0,15.0,17.5,7.62202441494907,2.83765760328423,9.10549831452904,0.0,0,0,0,0.250871681216492,0.0,0.0,0.814464635564095,0.563592954347603,2,True
891f0c916cbffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,7,5,5,LT05,Slätt- och jordbrukslandskap,Slätt- och jordbrukslandskap,LABLAB PDF dominant R10 aggregated to R9,#C7D84C,60985.004496773705,0.06098500449677371,75.41971843229746,80860.82229479356,90.85805384928528,88996.86804752052,2,LT01,19875.817798019852,,False,False,False,False,LT01,Klippigt kustlandskap,hög,1.9366,0.6172,-0.8406,0.3555,0.4711,892384.652430426,6121766.92632954,2,557.960937728014,0.0,0.0,0.0,0.351761737009405,0.128760432540347,0.0,0.0017640394934104,0.0,0.0,0.0,0.0,0.999999999999583,0.0,0.42709490187031,0.438426681342402,0.0,0.0,0.90924677398682,0.0,0.0,0.0,0.0,27.5,30.0,18.4728384186373,4.08080925607837,557.960937728014,0.0,0,0,0,0.219609370674007,0.0,0.0,0.658036052016409,0.438426681342402,2,True
891f0c916cfffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,3,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,38154.01703819074,0.03815401703819074,100.0,38154.01703819074,100.00000000003905,38154.017038175836,1,,0.0,,False,False,False,False,LT01,Klippigt kustlandskap,hög,2.3774,1.4778,-0.8802,0.181,0.662,892719.744512128,6121823.66998031,0,0.0,0.0,0.0,0.0,0.0,0.0152851788925449,0.0,0.0,0.0,0.0,0.0,627.328675494972,0.231792012848943,0.0,0.394912941079975,0.259707798381217,0.0,0.0,0.167444402875166,0.0,0.0,0.0,0.0,5.0,7.5,4.59611560263829,1.44070382926054,0.0,0.0,0,0,0,0.213227984391033,0.0,0.0,0.47293578277225,0.259707798381217,2,True
891f0c916d3ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,7,5,5,LT05,Slätt- och jordbrukslandskap,Slätt- och jordbrukslandskap,LABLAB PDF dominant R10 aggregated to R9,#C7D84C,39685.53850439191,0.03968553850439191,55.33810957816215,71714.6624756637,80.58495176714044,88992.62319209613,2,LT01,32029.123971271794,low_dominant_share,False,True,False,False,LT01,Jordbruksdominerat sprickdalslandskap,hög,1.7914,0.6218,-0.6071,0.4302,-0.0174,892321.937412382,6122289.50588975,2,314.779523594205,0.0,0.0,0.0,0.338635259095447,0.0581188916437876,0.0,0.0,0.0,162.690258425717,0.0,0.0,1.00000000000058,0.0,0.39961951557526,0.595205884582656,0.0,0.0,0.914555528321594,0.0,0.0,0.0,0.0,12.5,22.5,15.5490299988653,2.51818988313404,314.779523594205,0.0,0,0,0,0.181822458531928,0.0,0.0,0.777028343114584,0.595205884582656,2,True
891f0c916d7ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,4,5,5,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,50857.01417317148,0.05085701417317148,100.0,50857.01417317148,100.00000000000183,50857.01417317055,1,,0.0,,False,False,False,False,LT01,Klippigt kustlandskap,hög,2.1083,1.1781,-0.4452,0.6075,-0.258,892657.014782855,6122346.25150438,0,0.0,0.0,0.0,0.0,0.0,0.0309733514634389,0.0,0.0,0.0,143.893094633466,0.0,564.60011088495,0.335593146235458,0.0,0.42869976804816,0.340899848607263,0.0,0.0,0.201375395263013,0.0,0.0,0.0,0.0,7.5,10.0,5.0668250287333,1.45943396252744,0.0,0.0,0,0,0,0.284214602960785,0.0,0.0,0.625114451568048,0.340899848607263,2,True
891f0c916dbffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,7,2,2,LT05,Slätt- och jordbrukslandskap,Slätt- och jordbrukslandskap,LABLAB PDF dominant R10 aggregated to R9,#C7D84C,88997.19749601372,0.08899719749601372,100.0,88997.19749601372,99.99999999998954,88997.19749602303,1,,0.0,,False,False,False,False,LT03,Jordbruksdominerat sprickdalslandskap,hög,1.4331,0.361,-1.1632,0.1599,0.4125,892185.753905468,6121999.8496512,4,658.015425328636,0.0,0.0,0.0,0.691417269894307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00000000000008,0.0,0.0,0.0033136774749725,0.0,0.0,0.552663068449207,0.0,0.0,0.0,0.0,22.5,37.5,25.2838139273839,3.25785143429321,658.015425328636,0.0,0,0,0,0.0,0.0,0.0,0.0033136774749725,0.0033136774749725,1,True
891f0c932c3ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,6,8,8,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,73994.63525264291,0.07399463525264291,100.0,73994.63525264291,97.09688758450653,76207.01043402962,1,,0.0,,False,False,False,False,LT02,Sandigt kustlandskap,hög,1.5255,1.698,-0.3292,0.6838,-0.2614,892081.84363778,6125713.58291915,0,0.0,0.0,0.0,0.0,0.0090078473003976,0.310923257315051,0.0,0.0,0.0,0.0,0.0,1076.15297436253,0.739928963113085,0.0,0.948030485695498,0.742148278423936,0.0,0.0,0.542086932007911,0.0,0.72793783583333,0.0,0.0,7.5,10.0,5.12034499678637,1.39508706017645,0.0,0.0,0,0,0,0.375282034978717,0.0,0.0,1.0,0.742148278423936,2,True
891f0c932c7ffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,2,8,8,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,25406.1812858209,0.0254061812858209,100.0,25406.1812858209,100.0,25406.1812858209,1,,0.0,,False,False,False,False,LT02,Sandigt kustlandskap,hög,1.4208,1.9232,-0.5368,0.6511,-0.3984,892416.82758978,6125770.3417678,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.155545560752,0.062554238315114,0.0,0.204059220341786,0.0726435573082085,0.0,0.0,0.0,0.0,0.0387356520246127,0.0,0.0,0.0,0.0,3.30209509321782,0.62047781960074,0.0,0.0,0,0,0,0.0383861856061534,0.0,0.0,0.111029742914362,0.0726435573082085,2,True
891f0c932cbffff,9,10,R10 child hexes aggregated to R9 parent; dominant landscape/class by summed dominant_area_m2; F1-F5 by area-weighted mean.,5,8,8,LT01,Klippigt kustlandskap,Klippigt kustlandskap,LABLAB PDF dominant R10 aggregated to R9,#627A93,63521.75962694455,0.06352175962694455,100.0,63521.75962694455,100.00000000000733,63521.75962693989,1,,0.0,,False,False,False,False,LT02,Sandigt kustlandskap,hög,1.0541,1.3596,0.033,1.2637,-0.0025,891945.702039486,6125424.062133,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.2998078079837,0.0,1191.29966405499,0.261967528242016,0.0,0.628020209109813,0.253507248095422,0.0,0.0,0.0599853417581092,0.0,0.133506279761107,0.0,0.0,0.0,2.5,3.42450729425162,0.596538500607403,0.0,0.0,0,0,0,0.127797293158209,0.0,0.0,0.381304541253631,0.253507248095422,2,True
