hex_id,h3_resolution,source_h3_resolution,source_child_hex_count,acceptance_low,acceptance_medium,acceptance_high
891f0c91643ffff,9,10,4,0.302,0.4677,0.669
891f0c9164bffff,9,10,6,0.3373,0.519,0.7265
891f0c91653ffff,9,10,7,0.2689,0.4484,0.6476
891f0c9165bffff,9,10,7,0.2959,0.4759,0.6809
891f0c916c3ffff,9,10,6,0.2702,0.453,0.6553
891f0c916cbffff,9,10,7,0.2626,0.448,0.6433
891f0c916cfffff,9,10,3,0.2927,0.471,0.6567
891f0c916d3ffff,9,10,7,0.304,0.4726,0.6693
891f0c916d7ffff,9,10,4,0.1552,0.3175,0.5208
891f0c916dbffff,9,10,7,0.3516,0.5343,0.7234
891f0c932c3ffff,9,10,6,0.153,0.329,0.5333
891f0c932c7ffff,9,10,2,0.411,0.5695,0.795
891f0c932cbffff,9,10,5,0.108,0.2726,0.48
891f0c932d3ffff,9,10,7,0.2241,0.41,0.6211
891f0c932d7ffff,9,10,5,0.1438,0.326,0.528
891f0c932dbffff,9,10,7,0.1387,0.3034,0.4883
891f0c93603ffff,9,10,5,0.1106,0.2964,0.4992
891f0c9360bffff,9,10,7,0.1743,0.345,0.5429
891f0c9360fffff,9,10,5,0.1488,0.3284,0.5368
891f0c93613ffff,9,10,7,0.0703,0.2056,0.4073
891f0c93617ffff,9,10,2,0.019,0.2215,0.421
891f0c9361bffff,9,10,7,0.1714,0.349,0.5581
891f0c9362bffff,9,10,2,0.0205,0.176,0.362
891f0c9363bffff,9,10,2,0.0255,0.1375,0.3235
891f0c93643ffff,9,10,7,0.2429,0.4144,0.621
891f0c93647ffff,9,10,7,0.0637,0.2463,0.4457
891f0c9364bffff,9,10,7,0.4377,0.6121,0.8001
891f0c9364fffff,9,10,7,0.3046,0.4813,0.6784
891f0c93653ffff,9,10,7,0.2681,0.4393,0.6303
891f0c93657ffff,9,10,7,0.2019,0.3816,0.5791
891f0c9365bffff,9,10,7,0.4373,0.6306,0.8191
891f0c93663ffff,9,10,7,0.0709,0.2516,0.4646
891f0c93667ffff,9,10,4,0.0943,0.2685,0.4788
891f0c9366bffff,9,10,7,0.3011,0.4741,0.6793
891f0c9366fffff,9,10,7,0.1454,0.3306,0.5236
891f0c93673ffff,9,10,7,0.1037,0.2634,0.4727
891f0c93677ffff,9,10,7,0.0601,0.2177,0.4189
891f0c9367bffff,9,10,7,0.1387,0.3196,0.5099
891f0c9368bffff,9,10,5,0.1038,0.2768,0.472
891f0c9368fffff,9,10,4,0.072,0.1973,0.3977
891f0c9369bffff,9,10,7,0.0834,0.2323,0.4314
891f0c936c3ffff,9,10,7,0.1313,0.2829,0.4756
891f0c936c7ffff,9,10,7,0.0961,0.2767,0.4784
891f0c936cbffff,9,10,7,0.2426,0.412,0.6104
891f0c936cfffff,9,10,7,0.1061,0.2841,0.482
891f0c936d3ffff,9,10,7,0.1159,0.3003,0.5016
891f0c936d7ffff,9,10,7,0.1339,0.3079,0.5116
891f0c936dbffff,9,10,7,0.1634,0.3374,0.54
891f0c98453ffff,9,10,5,0.4066,0.585,0.7744
891f0c9845bffff,9,10,7,0.3473,0.521,0.7134
891f0c9849bffff,9,10,1,0.03,0.225,0.412
891f0c984c3ffff,9,10,1,0.015,0.195,0.377
891f0c984cbffff,9,10,6,0.2862,0.459,0.6685
891f0c984d3ffff,9,10,6,0.1852,0.3612,0.557
891f0c984dbffff,9,10,7,0.1863,0.3506,0.545
891f0c98693ffff,9,10,7,0.3523,0.5399,0.7353
891f0c98697ffff,9,10,5,0.331,0.5072,0.701
891f0c9869bffff,9,10,5,0.3616,0.5456,0.7446
891f0c986c3ffff,9,10,3,0.2613,0.4433,0.651
891f0c986cbffff,9,10,2,0.161,0.334,0.5445
891f0c986d3ffff,9,10,7,0.2579,0.4323,0.6311
891f0c986d7ffff,9,10,4,0.2042,0.3835,0.5735
891f0c986dbffff,9,10,7,0.1867,0.3634,0.5779
891f0c99483ffff,9,10,7,0.476,0.6604,0.8564
