region_id,hex_id,analysis_h3_resolution,display_h3_resolution,road_distance_m_before,road_distance_m_after,establishment_class_before,establishment_class_after,wind_suitable_before,wind_suitable_after,solar_suitable_before,solar_suitable_after,wind_potential_score_before,wind_potential_score_after,wind_potential_area_km2_before,wind_potential_area_km2_after,wind_area_delta_km2,solar_potential_score_before,solar_potential_score_after,solar_potential_area_km2_before,solar_potential_area_km2_after,solar_area_delta_km2,class_changed,wind_suitable_changed,solar_suitable_changed
bornholm,881f0c9b01fffff,10,8,300.0,400.0,wind_and_solar,not_suitable,True,False,True,False,0.9,0.0,0.0064553783183880055,0.0,-0.0064553783183880055,0.9,0.0,0.0064553783183880055,0.0,-0.0064553783183880055,True,True,True
bornholm,881f0c9b0bfffff,10,8,300.0,400.0,wind_and_solar,not_suitable,True,False,True,False,1.2,0.0,0.008607171091184009,0.0,-0.008607171091184009,1.2,0.0,0.008607171091184007,0.0,-0.008607171091184007,True,True,True
bornholm,881f2a6021fffff,10,8,300.0,400.0,wind_and_solar,not_suitable,True,False,True,False,0.6,0.0,0.004303585545592004,0.0,-0.004303585545592004,0.6,0.0,0.0043035855455920025,0.0,-0.0043035855455920025,True,True,True
bornholm,881f2a60e5fffff,10,8,300.0,400.0,wind_and_solar,not_suitable,True,False,True,False,0.3,0.0,0.002151792772796002,0.0,-0.002151792772796002,0.3,0.0,0.0021517927727960013,0.0,-0.0021517927727960013,True,True,True
bornholm,881f2a6219fffff,10,8,300.0,400.0,wind_and_solar,not_suitable,True,False,True,False,1.2,0.0,0.008607171091184009,0.0,-0.008607171091184009,0.9,0.0,0.006455378318388004,0.0,-0.006455378318388004,True,True,True
trondelag,870800474ffffff,7,7,300.0,400.0,wind_and_solar,wind_only,True,True,True,False,100.0,100.0,5.161293359717191,5.161293359717191,0.0,100.0,95.9,5.161293359717191,4.949680331968787,-0.2116130277484034,True,False,True
trondelag,87080050bffffff,7,7,300.0,400.0,wind_and_solar,wind_only,True,True,True,False,59.9,59.9,3.0926160133823823,3.0926160133823823,0.0,100.0,98.0,5.161293359717191,5.058067492522847,-0.10322586719434401,True,False,True
trondelag,8708005a9ffffff,7,7,300.0,400.0,wind_and_solar,wind_only,True,True,True,False,4.3,4.3,0.22445432562738146,0.22445432562738146,0.0,100.0,95.9,5.161293359717191,4.949680331968787,-0.2116130277484034,True,False,True
trondelag,8708021a9ffffff,7,7,300.0,400.0,wind_and_solar,wind_only,True,True,True,False,13.8,13.8,0.7134352585269882,0.7134352585269882,0.0,100.0,95.9,5.161293359717191,4.949680331968787,-0.2116130277484034,True,False,True
trondelag,870806573ffffff,7,7,300.0,400.0,wind_and_solar,wind_only,True,True,True,False,6.2,6.2,0.3203614788376457,0.3203614788376457,0.0,100.0,98.0,5.161293359717191,5.058067492522847,-0.10322586719434401,True,False,True
