gc_name,source_name,display_name,geometry_type,theme,selection_note
gc_fastboende_count,fastboendebefolkningmapinfo_count,Permanent population,Point count,Settlement,Retained from 26-layer baseline to capture settlement intensity
gc_roads_medium_length_m,roads_simplified_gd_v_vej_road_merged_bol_33_length_m_medium,Road length (medium),Line length,Access,Retained from 26-layer baseline to capture intermediate road structure
gc_roads_large_length_m,roads_simplified_gd_v_vej_road_merged_bol_33_length_m_large,Road length (large),Line length,Access,Retained from 26-layer baseline to capture major access corridors
gc_ecology_connectivity_share,ecology_connectivity_pdk_oekologiskforbindelse_bor_32_area_share,Ecological connectivity,Polygon area share,Blue-green,Retained from 26-layer baseline to represent ecological structure
gc_cultural_historical_conservation_share,cultural_and_historical_conservation_values_kulturhistoriske_bevaringsvardier_pdk_kulturhistoriskebevaringsvardier_bor_32_area_share,Cultural and historical conservation values,Polygon area share,Culture,Retained from 26-layer baseline as core cultural landscape signal
gc_fredskov_share,fredskov_miljostyrelsen_gds_mat2_fredskov_bor_32_area_share,Fredskov,Polygon area share,Vegetation,Retained from 26-layer baseline as protected forest structure
gc_agricultural_land_share,markblokke_2026_bornholm_area_share,Agricultural land (Markblokke),Polygon area share,Land use,Retained from 26-layer baseline as open productive landscape signal
gc_relief_m,dhm_hoejdekurver_relief_m,Relief,Continuous metric,Topography,Retained from 26-layer baseline as terrain variation
gc_protected_watercourses_length_m,protected_watercourses_miljostyrelsen_length_m,Protected watercourses,Line length,Blue-green,Retained from 26-layer baseline to capture linear hydrological structure
gc_lake_share,lake_gd_v_soe_lake_bol_33_area_share,Lake,Polygon area share,Blue-green,Retained from 26-layer baseline to capture still-water landscape elements
gc_wetland_share,wetland_gd_v_vaadomr_wetland_bol_33_area_share,Wetland,Polygon area share,Blue-green,Retained from 26-layer baseline to capture wet lowland structure and moisture gradients
gc_moor_hede_share,moor_hede_gd_v_hede_moor_bol_33_area_share,Moor and hede,Polygon area share,Blue-green,Retained from 26-layer baseline to represent open semi-natural landscape
