"active","parent_run_order","parent_layer_key","parent_display_name","child_order","child_key","child_display_name","split_field","split_value","metric_family","child_output_column","input_filter_mode","render_under_parent","notes"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","1","bes_naturtyper_overdrev","BES_NATURTYPER - Overdrev","Natyp_navn","Overdrev","area_share","bes_naturtyper_area_share_overdrev","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","2","bes_naturtyper_hede","BES_NATURTYPER - Hede","Natyp_navn","Hede","area_share","bes_naturtyper_area_share_hede","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","3","bes_naturtyper_eng","BES_NATURTYPER - Eng","Natyp_navn","Eng","area_share","bes_naturtyper_area_share_eng","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","4","bes_naturtyper_soe","BES_NATURTYPER - Sø","Natyp_navn","Sø","area_share","bes_naturtyper_area_share_so","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","5","bes_naturtyper_mose","BES_NATURTYPER - Mose","Natyp_navn","Mose","area_share","bes_naturtyper_area_share_mose","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","11","bes_naturtyper","BES_NATURTYPER","6","bes_naturtyper_strandeng","BES_NATURTYPER - Strandeng","Natyp_navn","Strandeng","area_share","bes_naturtyper_area_share_strandeng","field_equals","TRUE","Chosen naturtype subcategory kept under original layer"
"TRUE","17","river_gd_v_vand_river_centre_bol_33","River","1","river_midtebredd_0_2_5","River - midtebredd 0-2.5","midtebredd","0-2.5","length_m","river_gd_v_vand_river_centre_bol_33_length_m_0_2_5","field_equals","TRUE","Chosen river width class kept under original layer"
"TRUE","17","river_gd_v_vand_river_centre_bol_33","River","2","river_midtebredd_2_5_12","River - midtebredd 2.5-12","midtebredd","2.5-12","length_m","river_gd_v_vand_river_centre_bol_33_length_m_2_5_12","field_equals","TRUE","Chosen river width class kept under original layer"
"TRUE","17","river_gd_v_vand_river_centre_bol_33","River","3","river_midtebredd_ukendt","River - midtebredd Ukendt","midtebredd","Ukendt","length_m","river_gd_v_vand_river_centre_bol_33_length_m_ukendt","field_equals","TRUE","Chosen river width class kept under original layer"
"TRUE","28","roads_simplified_gd_v_vej_road_merged_bol_33","Roads Simplified","1","roads_medium","Roads Simplified - Mellan vagar","vejkategor","medium","length_m","roads_simplified_gd_v_vej_road_merged_bol_33_length_m_medium","derived_road_class","TRUE","Existing special case to keep under original layer"
"TRUE","28","roads_simplified_gd_v_vej_road_merged_bol_33","Roads Simplified","2","roads_large","Roads Simplified - Stora vagar","vejkategor","large","length_m","roads_simplified_gd_v_vej_road_merged_bol_33_length_m_large","derived_road_class","TRUE","Existing special case to keep under original layer"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","1","ml_moraeneler","Jordart 1:25 000 v7.1 - ML - Moræneler","tsym","ML","area_share","jordart_25000_v7_1_area_share_ml_moraeneler","field_equals","TRUE","Kept as one of the five largest Bornholm jordart classes by clipped area"
"TRUE","45","jordart_25000_v7_1","Jordart 1:25 000 v7.1","2","ms_moraensand","Jordart 1:25 000 v7.1 - MS - Morænsand","tsym","MS","area_share","jordart_25000_v7_1_area_share_ms_moraensand","field_equals","TRUE","Kept as one of the five largest Bornholm jordart classes by clipped area"
